START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: JP3XHV
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: JP3XHV
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2024.
QSO: 21272 PH 2024-03-30 0030 JP3XHV        59 RW0CN         59 20
QSO: 21214 PH 2024-03-30 0033 JP3XHV        59 002 R0CY          59 019
QSO: 21208 PH 2024-03-30 0037 JP3XHV        59 0003 YC2BST        59 0011
QSO: 21220 PH 2024-03-30 0042 JP3XHV        59 0004 BD7MM         59 0088
QSO: 21226 PH 2024-03-30 0043 JP3XHV        59 0005 BD4UNT        59 0064
QSO: 21235 PH 2024-03-30 0046 JP3XHV        59 006 BY1AS         59 019
QSO: 21240 PH 2024-03-30 0051 JP3XHV        59 0007 9M2M          59 0100
QSO: 21306 PH 2024-03-30 0056 JP3XHV        59 0008 BA3MM         59 0056
QSO: 28397 PH 2024-03-30 0103 JP3XHV        59 0009 BD7DT         59 0081
QSO: 28429 PH 2024-03-30 0107 JP3XHV        59 0010 BY8DX         59 0031
QSO: 28445 PH 2024-03-30 0120 JP3XHV        59 0011 4F1EBD        59 0086
QSO: 28475 PH 2024-03-30 0125 JP3XHV        59 0012 VR2XYL        59 0073
QSO: 28496 PH 2024-03-30 0127 JP3XHV        59 0013 DV1DLX        59 0035
QSO: 28513 PH 2024-03-30 0128 JP3XHV        59 014 4E1A          59 045
QSO: 28518 PH 2024-03-30 0132 JP3XHV        59 0015 BD7LMD        59 0094
QSO: 28543 PH 2024-03-30 0134 JP3XHV        59 0016 4I1EAY        59 0127
QSO: 28549 PH 2024-03-30 0138 JP3XHV        59 0017 DW7EVQ        59 0090
QSO: 28596 PH 2024-03-30 0147 JP3XHV        59 018 DU3T          59 0204
QSO: 28592 PH 2024-03-30 0150 JP3XHV        59 0019 DV3SB         59 0042
QSO: 14265 PH 2024-03-30 0301 JP3XHV        59 020 RM9I          59 375
QSO: 21205 PH 2024-03-30 0335 JP3XHV        59 021 OH5Z          59 024
QSO: 21363 PH 2024-03-30 0356 JP3XHV        59 023 RO9O          59 426
QSO: 28322 PH 2024-03-30 0538 JP3XHV        59 0024 UN4Q          59 0217
QSO: 28350 PH 2024-03-30 0543 JP3XHV        59 025 OM7M          59 078
QSO: 28392 PH 2024-03-30 0547 JP3XHV        59 026 P33W          59 0049
QSO: 28397 PH 2024-03-30 0551 JP3XHV        59 027 LZ5R          59 789
QSO: 28437 PH 2024-03-30 0557 JP3XHV        59 0029 SN7D          59 0059
QSO: 28442 PH 2024-03-30 0559 JP3XHV        59 030 OL9Z          59 146
QSO: 21205 PH 2024-03-30 0736 JP3XHV        59 031 YT0C          59 0234
QSO: 21000 PH 2024-03-30 0741 JP3XHV        59 0032 BD3TE         59 0163
QSO: 21230 PH 2024-03-30 0743 JP3XHV        59 032 M6T           59 0334
QSO: 21000 PH 2024-03-30 0748 JP3XHV        59 034 IK3UNA        59 462
QSO: 21248 PH 2024-03-30 0754 JP3XHV        59 035 R5AJ          59 0870
QSO: 21257 PH 2024-03-30 0801 JP3XHV        59 0036 VL4U          59 0691
QSO: 21281 PH 2024-03-30 0807 JP3XHV        59 038 RU1A          59 0424
QSO: 21293 PH 2024-03-30 0817 JP3XHV        59 039 9A100V        59 0148
QSO: 21354 PH 2024-03-30 0827 JP3XHV        59 040 OG9X          59 288
QSO: 21370 PH 2024-03-30 0830 JP3XHV        59 041 SJ2W          59 1031
QSO: 21380 PH 2024-03-30 0835 JP3XHV        59 042 CR6T          59 520
QSO: 21393 PH 2024-03-30 0838 JP3XHV        59 0043 ZM4T          59 0555
QSO:  7163 PH 2024-03-30 0906 JP3XHV        59 044 ND7K          59 1553
QSO:  7141 PH 2024-03-30 0913 JP3XHV        59 0045 WZ7F          59 1269
QSO:  7135 PH 2024-03-30 0918 JP3XHV        59 0046 NR6O          59 0499
