START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: NK7U
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: NK7U
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2025.
QSO: 28307 PH 2025-03-29 1433 NK7U          59 8P5A          59 2327
QSO: 28317 PH 2025-03-29 1436 NK7U          59 002 9A73A         59 1079
QSO: 28359 PH 2025-03-29 1438 NK7U          59 3 P43L          59 259
QSO: 28372 PH 2025-03-29 1440 NK7U          59 004 5K4X          59 0643
QSO: 28437 PH 2025-03-29 1444 NK7U          59 005 HK1T          59 2002
QSO: 28510 PH 2025-03-29 1450 NK7U          59 0006 KW7MM         59 0622
QSO: 28548 PH 2025-03-29 1455 NK7U          59 0007 WP3C          59 1867
QSO: 28603 PH 2025-03-29 1457 NK7U          59 008 PJ2T          59 1353
QSO: 28627 PH 2025-03-29 1458 NK7U          59 0009 TI8/N7ZG      59 0691
QSO: 28460 PH 2025-03-29 1500 NK7U          59 0013 HC5AI         59 0221
QSO: 28540 PH 2025-03-29 1500 NK7U          59 0010 KY7M          59 0230
QSO: 28519 PH 2025-03-29 1501 NK7U          59 0011 FM5BH         59 1454
QSO: 28473 PH 2025-03-29 1502 NK7U          59 012 P40L          59 921
QSO: 14162 PH 2025-03-29 1520 NK7U          59 0015 NC7M          59 0156
QSO: 28352 PH 2025-03-29 1526 NK7U          59 016 ND7K          59 580
QSO: 28366 PH 2025-03-29 1527 NK7U          59 0017 VE5MX         59 0479
QSO: 28000 PH 2025-03-29 1528 NK7U          59 0018 VE3VY         59 0220
QSO: 28523 PH 2025-03-30 2341 NK7U          59 0019 ZY2B          59 2506
QSO: 28335 PH 2025-03-30 2345 NK7U          59 0020 HC8M          59 5918
END-OF-LOG:
