START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-SSB
CALLSIGN: WB4MBV
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: WB4MBV
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-SSB CQWPX/ph/2026.
QSO: 14000 PH 2026-03-28 0121 WB4MBV        59 N6OKU         59 065
QSO: 14234 PH 2026-03-28 0131 WB4MBV        59 002 CT3KN         59 350
QSO: 14227 PH 2026-03-28 0140 WB4MBV        59 003 CQ7X          59 409
QSO: 14251 PH 2026-03-28 0157 WB4MBV        59 0005 HI3LT         59 0142
QSO: 14257 PH 2026-03-28 0213 WB4MBV        59 6 WC6H          59 368
QSO: 14267 PH 2026-03-28 0225 WB4MBV        59 0007 K0XF          59 0126
QSO: 14273 PH 2026-03-28 0232 WB4MBV        59 008 LP1H          59 540
QSO: 14282 PH 2026-03-28 0243 WB4MBV        59 009 TI7W          59 695
QSO: 14289 PH 2026-03-28 0248 WB4MBV        59 0010 VE7WO         59 0080
QSO:  7179 PH 2026-03-28 0300 WB4MBV        59 0011 NR6O          59 0125
QSO:  7188 PH 2026-03-28 0316 WB4MBV        59 0012 OM8A          59 0395
QSO:  7190 PH 2026-03-28 0327 WB4MBV        59 014 IO4X          59 367
QSO:  7196 PH 2026-03-28 0332 WB4MBV        59 015 EI7M          59 408
QSO:  7190 PH 2026-03-28 1145 WB4MBV        59 0016 WM7A          59 0146
QSO:  7224 PH 2026-03-28 1150 WB4MBV        59 018 W8MJ          59 0732
QSO: 14227 PH 2026-03-28 1200 WB4MBV        59 0019 HQ9UM         59 0968
QSO: 14230 PH 2026-03-28 1206 WB4MBV        59 0020 VK6NC         59 0413
QSO: 14247 PH 2026-03-28 1216 WB4MBV        59 0022 VK4A          59 0995
QSO: 14259 PH 2026-03-28 1223 WB4MBV        59 0023 XE1YL         59 0222
QSO: 14278 PH 2026-03-28 1242 WB4MBV        59 0024 VK4KW         59 1023
QSO: 14302 PH 2026-03-28 1246 WB4MBV        59 0025 NH8S          59 0517
QSO: 14286 PH 2026-03-28 1342 WB4MBV        59 0027 NX9T          59 0600
QSO: 14275 PH 2026-03-28 1348 WB4MBV        59 0028 NR6O          59 0662
QSO: 14253 PH 2026-03-28 1356 WB4MBV        59 0029 KV0I          59 0392
QSO: 14253 PH 2026-03-28 1356 WB4MBV        59 29 N0JLM         59 59
QSO: 14252 PH 2026-03-28 2358 WB4MBV        59 31 NV4T          59 282
QSO: 14262 PH 2026-03-29 0003 WB4MBV        59 0032 IB9T          59 2877
QSO: 14265 PH 2026-03-29 0006 WB4MBV        59 033 HC2PY         59 625
QSO: 14268 PH 2026-03-29 0008 WB4MBV        59 34 WC8VOA        59 156
QSO: 14274 PH 2026-03-29 0014 WB4MBV        59 0035 TI5RTZ        59 0218
QSO: 14286 PH 2026-03-29 0018 WB4MBV        59 0035 WR2G          59 0706
QSO: 14290 PH 2026-03-29 0020 WB4MBV        59 036 IO9A          59 2449
QSO: 14293 PH 2026-03-29 0023 WB4MBV        59 0037 WA3AER        59 0432
QSO: 14327 PH 2026-03-29 0043 WB4MBV        59 0038 4U1WB         59 0475
QSO: 14330 PH 2026-03-29 0044 WB4MBV        59 39 8P5A          59 4376
QSO: 14333 PH 2026-03-29 0047 WB4MBV        59 0040 PW2F          59 0273
END-OF-LOG:
