START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WPX-RTTY
CALLSIGN: K7RF
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: K7RF
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WPX-RTTY CQWPXRTTY/2022.
QSO: 21079 RY 2022-02-12 0006 K7RF          599 KH6TU         599 8
QSO: 21109 RY 2022-02-12 0013 K7RF          599 0002 JM1XCW        599 0009
QSO: 21080 RY 2022-02-12 0014 K7RF          599 0003 KZ7X          599 0025
QSO: 21094 RY 2022-02-12 0019 K7RF          599 0004 N5HC          599 0030
QSO: 21095 RY 2022-02-12 0021 K7RF          599 0005 JE1LFX        599 0016
QSO: 21101 RY 2022-02-12 0025 K7RF          599 0006 3G1B          599 0006
QSO: 21103 RY 2022-02-12 0026 K7RF          599 7 JR4OZR        599 41
QSO: 14087 RY 2022-02-12 0231 K7RF          599 8 AG1RL         599 112
QSO: 14092 RY 2022-02-12 0232 K7RF          599 0009 KT7E          599 0136
QSO: 14099 RY 2022-02-12 0233 K7RF          599 0010 KH6CJJ        599 0122
QSO: 14104 RY 2022-02-12 0235 K7RF          599 011 JH7QXJ        599 091
QSO: 14085 RY 2022-02-12 0240 K7RF          599 0012 WN6W          599 0062
QSO:  7087 RY 2022-02-12 0245 K7RF          599 13 KC8YDS        599 077
QSO:  7086 RY 2022-02-12 0246 K7RF          599 0014 N1RR          599 0134
QSO:  7086 RY 2022-02-12 0247 K7RF          599 0014 N1RR          599 0135
QSO:  7096 RY 2022-02-12 0251 K7RF          599 0015 VE6BBP        599 0133
QSO:  7105 RY 2022-02-12 0254 K7RF          599 0016 AE1P          599 0033
QSO:  7111 RY 2022-02-12 0316 K7RF          599 0017 WT3K          599 0120
QSO:  7032 RY 2022-02-12 0321 K7RF          599 0018 AA5AU         599 0147
QSO:  7045 RY 2022-02-12 0323 K7RF          599 0019 KC7V          599 0273
QSO:  7097 RY 2022-02-12 0326 K7RF          599 0020 KO7SS         599 0194
QSO:  7106 RY 2022-02-12 0329 K7RF          599 0021 WP3C          599 0237
QSO:  7046 RY 2022-02-12 0553 K7RF          599 0022 KT7E          599 0219
QSO:  7057 RY 2022-02-12 0555 K7RF          599 0023 WV4P          599 0326
QSO:  7057 RY 2022-02-12 0556 K7RF          599 0024 NA5NN         599 0263
QSO:  7070 RY 2022-02-12 0603 K7RF          599 0025 ZM4T          599 0202
QSO: 21079 RY 2022-02-12 2246 K7RF          599 0027 KU1CW         599 0917
QSO: 21091 RY 2022-02-12 2248 K7RF          599 0028 KT7E          599 0508
QSO: 28104 RY 2022-02-12 2251 K7RF          599 0029 5W1SA         599 0178
QSO: 28104 RY 2022-02-12 2256 K7RF          599 0031 W5PR          599 0186
QSO: 21127 RY 2022-02-12 2301 K7RF          599 0033 K3DNE         599 0062
QSO: 21106 RY 2022-02-12 2305 K7RF          599 0035 WK1Q          599 0776
QSO: 21109 RY 2022-02-12 2305 K7RF          599 0034 K0AP          599 0304
QSO: 21103 RY 2022-02-12 2307 K7RF          599 0036 NK5P          599 1150
QSO: 21095 RY 2022-02-12 2310 K7RF          599 0037 KO7SS         599 0925
QSO: 21086 RY 2022-02-12 2314 K7RF          599 0038 WX2NJ         599 0511
