START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-CW
CALLSIGN: JA7UES/1
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: JA7UES/1
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-CW CQWW/cw/2008.
QSO: 14000 CW 2008-11-29 0805 JA7UES/1      599 25 YT1BB         599 15
QSO: 14020 CW 2008-11-29 0818 JA7UES/1      599 25 UZ1H          599 16
QSO: 14027 CW 2008-11-29 0830 JA7UES/1      599 25 BU2AI         599 24
QSO: 14065 CW 2008-11-29 0838 JA7UES/1      599 25 9M6/N2BB      599 28
QSO: 14069 CW 2008-11-29 2200 JA7UES/1      599 25 VE5ZX         599 4
QSO: 14066 CW 2008-11-29 2201 JA7UES/1      599 25 K4SSU         599 5
QSO: 14000 CW 2008-11-29 2204 JA7UES/1      599 25 K0DEQ         599 4
QSO: 14055 CW 2008-11-29 2209 JA7UES/1      599 25 N7WA          599 3
QSO: 14052 CW 2008-11-29 2211 JA7UES/1      599 25 W4UAT         599 03
QSO: 14047 CW 2008-11-29 2217 JA7UES/1      599 25 ZM1A          599 32
QSO: 14045 CW 2008-11-29 2219 JA7UES/1      599 25 K0RF          599 4
QSO: 14040 CW 2008-11-29 2227 JA7UES/1      599 25 VE3TA         599 04
QSO: 14039 CW 2008-11-29 2229 JA7UES/1      599 25 W7VJ          599 3
QSO: 14037 CW 2008-11-29 2232 JA7UES/1      599 25 NQ4I          599 05
QSO: 14037 CW 2008-11-29 2233 JA7UES/1      599 25 AB7E          599 3
QSO: 14036 CW 2008-11-29 2234 JA7UES/1      599 25 W6OAT         599 03
QSO: 14032 CW 2008-11-29 2238 JA7UES/1      599 25 K9BGL         599 04
QSO: 14033 CW 2008-11-29 2238 JA7UES/1      599 25 KG7H          599 3
QSO: 14029 CW 2008-11-29 2247 JA7UES/1      599 25 KL7CQ         599 01
QSO: 14028 CW 2008-11-29 2250 JA7UES/1      599 25 K6ANP         599 03
QSO: 14000 CW 2008-11-29 2252 JA7UES/1      599 25 KV0Q          599 04
QSO: 14020 CW 2008-11-29 2253 JA7UES/1      599 25 WA0MHJ        599 04
QSO: 14018 CW 2008-11-29 2254 JA7UES/1      599 25 W6YX          599 3
QSO: 14016 CW 2008-11-29 2255 JA7UES/1      599 25 N2IC          599 4
QSO: 14000 CW 2008-11-29 2300 JA7UES/1      599 25 K7ZZ          599 3
QSO: 14009 CW 2008-11-29 2305 JA7UES/1      599 25 VE7SV         599 3
QSO: 14068 CW 2008-11-29 2357 JA7UES/1      599 25 K7GS          599 3
QSO: 14000 CW 2008-11-30 0016 JA7UES/1      599 25 N7TT          599 03
QSO: 14054 CW 2008-11-30 0019 JA7UES/1      599 25 HC8N          599 10
QSO: 14047 CW 2008-11-30 0025 JA7UES/1      599 25 N7BV          599 3
QSO: 14047 CW 2008-11-30 0027 JA7UES/1      599 25 K7GK          599 3
QSO: 14039 CW 2008-11-30 0034 JA7UES/1      599 25 VE7GL         599 3
QSO: 14038 CW 2008-11-30 0035 JA7UES/1      599 25 N6XI          599 3
QSO: 14036 CW 2008-11-30 0037 JA7UES/1      599 25 NW7DX         599 3
QSO: 14033 CW 2008-11-30 0038 JA7UES/1      599 25 W0YK          599 3
QSO: 14000 CW 2008-11-30 0055 JA7UES/1      599 25 W7SW          599 03
QSO: 14004 CW 2008-11-30 0057 JA7UES/1      599 25 K7RL          599 3
QSO: 14000 CW 2008-11-30 0059 JA7UES/1      599 25 AJ6V          599 3
QSO: 14000 CW 2008-11-30 0102 JA7UES/1      599 25 KL8DX         599 01
QSO: 14056 CW 2008-11-30 0222 JA7UES/1      599 25 KH7X          599 31
QSO: 14051 CW 2008-11-30 0224 JA7UES/1      599 25 KH6LC         599 31
QSO: 14000 CW 2008-11-30 0226 JA7UES/1      599 25 RA0CL         599 19
QSO: 14040 CW 2008-11-30 0228 JA7UES/1      599 25 RX0QA         599 19
QSO: 14043 CW 2008-11-30 0229 JA7UES/1      599 25 UA0AGI        599 18
QSO: 14000 CW 2008-11-30 0230 JA7UES/1      599 25 JT1CS         599 23
QSO: 14090 CW 2008-11-30 0231 JA7UES/1      599 25 B4TB          599 24
QSO: 14028 CW 2008-11-30 0232 JA7UES/1      599 25 UA0SDX        599 18
QSO: 14000 CW 2008-11-30 0234 JA7UES/1      599 25 UA0YAY        599 23
QSO: 14000 CW 2008-11-30 0241 JA7UES/1      599 25 JT1BV         599 23
QSO: 14053 CW 2008-11-30 2142 JA7UES/1      599 25 W6PH          599 3
QSO: 14000 CW 2008-11-30 2145 JA7UES/1      599 25 WY7I          599 04
QSO: 14041 CW 2008-11-30 2148 JA7UES/1      599 25 N0NI          599 4
QSO: 14000 CW 2008-11-30 2157 JA7UES/1      599 25 W6RJ          599 3
QSO: 14023 CW 2008-11-30 2157 JA7UES/1      599 25 N7AP          599 3
QSO: 14018 CW 2008-11-30 2202 JA7UES/1      599 25 W0AIH         599 04
QSO: 14015 CW 2008-11-30 2203 JA7UES/1      599 25 N5LZ          599 3
END-OF-LOG:
