START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-CW
CALLSIGN: KD2RD
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: KD2RD
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-CW CQWW/cw/2010.
QSO: 21002 CW 2010-11-27 1500 KD2RD         599 05 K1AR          599 05
QSO: 21005 CW 2010-11-27 1501 KD2RD         599 5 VP5CW         599 8
QSO: 21006 CW 2010-11-27 1501 KD2RD         599 05 DL1QQ         599 14
QSO: 21014 CW 2010-11-27 1502 KD2RD         599 05 IR9Y          599 15
QSO: 21016 CW 2010-11-27 1503 KD2RD         599 05 K1RM          599 5
QSO: 21018 CW 2010-11-27 1504 KD2RD         599 05 EF8N          599 33
QSO: 21020 CW 2010-11-27 1505 KD2RD         599 05 SO9Q          599 15
QSO: 21023 CW 2010-11-27 1505 KD2RD         599 05 GJ2A          599 14
QSO: 21024 CW 2010-11-27 1506 KD2RD         599 05 4O3A          599 15
QSO: 21027 CW 2010-11-27 1507 KD2RD         599 05 G0ORH         599 14
QSO: 21029 CW 2010-11-27 1507 KD2RD         599 05 GM3WUX        599 14
QSO: 21033 CW 2010-11-27 1508 KD2RD         599 05 IM0/OL5Y      599 15
QSO: 21034 CW 2010-11-27 1509 KD2RD         599 05 TM6M          599 14
QSO: 21035 CW 2010-11-27 1510 KD2RD         599 05 HK1R          599 9
QSO: 21036 CW 2010-11-27 1511 KD2RD         599 05 ZA3HA         599 15
QSO: 21040 CW 2010-11-27 1512 KD2RD         599 05 DQ4W          599 14
QSO: 21038 CW 2010-11-27 1513 KD2RD         599 05 ED9M          599 33
QSO: 21038 CW 2010-11-27 1513 KD2RD         599 05 OL8M          599 15
QSO: 21040 CW 2010-11-27 1516 KD2RD         599 05 IU9T          599 15
QSO: 21045 CW 2010-11-27 1518 KD2RD         599 05 CR2X          599 14
QSO: 21045 CW 2010-11-27 1519 KD2RD         599 05 CR2X          599 14
QSO: 21047 CW 2010-11-27 1520 KD2RD         599 05 9A5MT         599 15
QSO: 21000 CW 2010-11-27 1521 KD2RD         599 05 9A1A          599 15
QSO: 21050 CW 2010-11-27 1521 KD2RD         599 05 OL1C          599 15
QSO: 21051 CW 2010-11-27 1522 KD2RD         599 05 DK2GZ         599 14
QSO: 21053 CW 2010-11-27 1523 KD2RD         599 05 D4C           599 35
QSO: 21054 CW 2010-11-27 1523 KD2RD         599 05 IO5O          599 15
QSO: 21025 CW 2010-11-27 1524 KD2RD         599 05 5C5T          599 33
QSO: 21055 CW 2010-11-27 1524 KD2RD         599 05 DP4T          599 14
QSO: 21056 CW 2010-11-27 1526 KD2RD         599 5 S50A          599 15
QSO: 21057 CW 2010-11-27 1528 KD2RD         599 05 M3W           599 14
QSO: 21058 CW 2010-11-27 1528 KD2RD         599 05 EA6FO         599 14
QSO: 21062 CW 2010-11-27 1529 KD2RD         599 05 G5O           599 14
QSO: 21063 CW 2010-11-27 1530 KD2RD         599 05 DK5DQ         599 14
QSO: 21063 CW 2010-11-27 1531 KD2RD         599 05 P40W          599 9
QSO: 21068 CW 2010-11-27 1533 KD2RD         599 05 GM5X          599 14
QSO: 21072 CW 2010-11-27 1546 KD2RD         599 05 EA4KD         599 14
QSO: 21085 CW 2010-11-27 1553 KD2RD         599 05 KP2M          599 8
QSO: 21087 CW 2010-11-27 1554 KD2RD         599 5 K5BG          599 4
QSO: 21095 CW 2010-11-27 1555 KD2RD         599 05 CT3KN         599 33
QSO: 21106 CW 2010-11-27 1555 KD2RD         599 05 DK0MM         599 14
QSO: 21000 CW 2010-11-27 1557 KD2RD         599 05 LZ9W          599 20
QSO: 21000 CW 2010-11-27 1559 KD2RD         599 05 PA0MIR        599 14
QSO: 21062 CW 2010-11-27 1559 KD2RD         599 05 PA0LSK        599 14
QSO: 14004 CW 2010-11-27 1654 KD2RD         599 05 S51F          599 15
QSO: 14006 CW 2010-11-27 1656 KD2RD         599 05 K9IMM         599 4
QSO: 14007 CW 2010-11-27 1657 KD2RD         599 05 GM3X          599 14
QSO: 14008 CW 2010-11-27 1658 KD2RD         599 05 DR4A          599 14
QSO: 14009 CW 2010-11-27 1658 KD2RD         599 05 EA2EA         599 14
QSO: 14008 CW 2010-11-27 1700 KD2RD         599 05 KT3Y          599 5
QSO: 14011 CW 2010-11-27 1700 KD2RD         599 5 S50K          599 15
QSO: 14012 CW 2010-11-27 1700 KD2RD         599 05 T70A          599 15
QSO: 14014 CW 2010-11-27 1701 KD2RD         599 05 G5D           599 14
QSO: 14014 CW 2010-11-27 1702 KD2RD         599 05 PI4CC         599 14
QSO: 14015 CW 2010-11-27 1845 KD2RD         599 05 CS5NRA        599 14
QSO: 14016 CW 2010-11-27 1848 KD2RD         599 05 TM6M          599 14
QSO: 14017 CW 2010-11-27 1849 KD2RD         599 05 M6T           599 14
QSO: 14017 CW 2010-11-27 1849 KD2RD         599 05 P33W          599 20
QSO: 14019 CW 2010-11-27 1850 KD2RD         599 05 CN3A          599 33
QSO: 14021 CW 2010-11-27 1851 KD2RD         599 05 LX7I          599 14
QSO: 14032 CW 2010-11-27 1851 KD2RD         599 05 TM4Q          599 14
QSO: 14000 CW 2010-11-27 1852 KD2RD         599 05 IR4M          599 15
QSO: 14028 CW 2010-11-27 1852 KD2RD         599 05 PI4W          599 14
QSO: 14032 CW 2010-11-27 1852 KD2RD         599 05 OH2BH         599 15
QSO: 14032 CW 2010-11-27 1853 KD2RD         599 05 E7DX          599 15
QSO: 14034 CW 2010-11-27 1853 KD2RD         599 05 P3N           599 20
