START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-CW
CALLSIGN: SP7MC
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: SP7MC
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-CW CQWW/cw/2011.
QSO: 28004 CW 2011-11-27 1220 SP7MC         599 15 P3J           599 20
QSO: 28006 CW 2011-11-27 1222 SP7MC         599 15 UP0L          599 17
QSO: 28011 CW 2011-11-27 1225 SP7MC         599 15 EF5F          599 14
QSO: 28000 CW 2011-11-27 1229 SP7MC         599 15 RU9CK         599 17
QSO: 28021 CW 2011-11-27 1237 SP7MC         599 15 9A3IH         599 15
QSO: 28023 CW 2011-11-27 1239 SP7MC         599 15 RK9QWM        599 17
QSO: 28024 CW 2011-11-27 1243 SP7MC         599 15 NR4M          599 5
QSO: 28025 CW 2011-11-27 1254 SP7MC         599 15 W4UH          599 5
QSO: 28035 CW 2011-11-27 1257 SP7MC         599 15 K1RU          599 5
QSO: 28043 CW 2011-11-27 1304 SP7MC         599 15 9A7A          599 15
QSO: 28046 CW 2011-11-27 1332 SP7MC         599 15 OH2XX         599 15
QSO: 28049 CW 2011-11-27 1334 SP7MC         599 15 N2UN          599 5
QSO: 28052 CW 2011-11-27 1338 SP7MC         599 15 VE3EK         599 4
QSO: 28000 CW 2011-11-27 1341 SP7MC         599 15 W2AW          599 05
QSO: 28053 CW 2011-11-27 1341 SP7MC         599 15 W1WEF         599 5
QSO: 28056 CW 2011-11-27 1344 SP7MC         599 15 KB1W          599 5
QSO: 28057 CW 2011-11-27 1359 SP7MC         599 15 K1FWE         599 5
QSO: 28059 CW 2011-11-27 1403 SP7MC         599 15 K8PO          599 5
QSO: 28061 CW 2011-11-27 1405 SP7MC         599 15 CN2R          599 33
QSO: 28063 CW 2011-11-27 1408 SP7MC         599 15 W4ZV          599 5
QSO: 28064 CW 2011-11-27 1410 SP7MC         599 15 N3RS          599 5
QSO: 28067 CW 2011-11-27 1413 SP7MC         599 15 K3CR          599 5
QSO: 28068 CW 2011-11-27 1416 SP7MC         599 15 AA4CF         599 5
END-OF-LOG:
