START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-CW
CALLSIGN: JA7EPO
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: JA7EPO
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-CW CQWW/cw/2013.
QSO: 21049 CW 2013-11-23 0004 JA7EPO        599 25 W2FU          599 5
QSO: 21048 CW 2013-11-23 0005 JA7EPO        599 25 WA7LNW        599 3
QSO: 21044 CW 2013-11-23 0013 JA7EPO        599 25 NL7G          599 01
QSO: 21065 CW 2013-11-23 0015 JA7EPO        599 25 K0RF          599 4
QSO: 21064 CW 2013-11-23 0016 JA7EPO        599 25 K4TCG         599 4
QSO: 21000 CW 2013-11-23 0018 JA7EPO        599 25 W0ZA          599 04
QSO: 21050 CW 2013-11-23 0025 JA7EPO        599 25 N7DR          599 4
QSO: 21053 CW 2013-11-23 0034 JA7EPO        599 25 KE2VB         599 3
QSO: 21002 CW 2013-11-23 0036 JA7EPO        599 25 K3LR          599 05
QSO: 21013 CW 2013-11-23 0044 JA7EPO        599 25 W7VJ          599 3
QSO: 21020 CW 2013-11-23 0047 JA7EPO        599 25 N7AT          599 3
QSO: 21076 CW 2013-11-23 0053 JA7EPO        599 25 PY2NA         599 11
QSO: 21075 CW 2013-11-23 0054 JA7EPO        599 25 K9NW          599 4
QSO: 21058 CW 2013-11-23 0101 JA7EPO        599 25 K9CT          599 4
QSO: 21057 CW 2013-11-23 0108 JA7EPO        599 25 W7ZR          599 3
QSO: 21034 CW 2013-11-23 0110 JA7EPO        599 25 VE7IO         599 3
QSO: 28018 CW 2013-11-23 0124 JA7EPO        599 25 KH7XX         599 31
QSO: 28042 CW 2013-11-23 0145 JA7EPO        599 25 CX2BR         599 13
QSO: 28000 CW 2013-11-23 0150 JA7EPO        599 25 LO4D          599 13
QSO: 28008 CW 2013-11-23 0152 JA7EPO        599 25 TX8B          599 32
QSO: 28034 CW 2013-11-23 0156 JA7EPO        599 25 ZM4T          599 32
QSO: 28000 CW 2013-11-23 0158 JA7EPO        599 25 CW0A          599 13
QSO: 28000 CW 2013-11-23 0203 JA7EPO        599 25 AH0S/KH2      599 27
QSO: 28052 CW 2013-11-23 0208 JA7EPO        599 25 LU7YWC        599 13
QSO: 28011 CW 2013-11-23 0212 JA7EPO        599 25 UA0ZS         599 19
QSO: 28033 CW 2013-11-23 0222 JA7EPO        599 25 AH0K          599 27
QSO: 28052 CW 2013-11-23 0225 JA7EPO        599 25 NH2T          599 27
QSO: 28053 CW 2013-11-23 0232 JA7EPO        599 25 CW5W          599 13
QSO: 28000 CW 2013-11-23 0237 JA7EPO        599 25 JT1CD         599 23
QSO: 28000 CW 2013-11-23 0241 JA7EPO        599 25 JT1E          599 23
QSO: 28038 CW 2013-11-23 0241 JA7EPO        599 25 RZ9UO         599 18
QSO: 28015 CW 2013-11-23 0256 JA7EPO        599 25 N8A           599 32
QSO: 28030 CW 2013-11-23 0301 JA7EPO        599 25 JT1BV         599 23
QSO: 21000 CW 2013-11-23 0333 JA7EPO        599 25 V6A           599 27
QSO: 14011 CW 2013-11-23 0349 JA7EPO        599 25 KL7SB         599 1
QSO: 14022 CW 2013-11-23 0353 JA7EPO        599 25 W7RG          599 3
QSO: 28000 CW 2013-11-23 0521 JA7EPO        599 25 A45XR         599 21
QSO: 28013 CW 2013-11-23 0530 JA7EPO        599 25 RW9JZ         599 17
QSO: 28026 CW 2013-11-23 0536 JA7EPO        599 25 UA9R          599 17
QSO: 28028 CW 2013-11-23 0537 JA7EPO        599 25 RN3F          599 16
QSO: 28034 CW 2013-11-23 0539 JA7EPO        599 25 UA4M          599 16
QSO: 28043 CW 2013-11-23 0543 JA7EPO        599 25 UT2IV         599 16
QSO: 28007 CW 2013-11-23 0611 JA7EPO        599 25 P3Z           599 20
QSO: 28010 CW 2013-11-23 0615 JA7EPO        599 25 LZ9W          599 20
QSO: 28012 CW 2013-11-23 0617 JA7EPO        599 25 RT4RO         599 16
QSO: 28017 CW 2013-11-23 0620 JA7EPO        599 25 RW4W          599 16
QSO: 28021 CW 2013-11-23 0623 JA7EPO        599 25 RY9C          599 17
QSO: 28027 CW 2013-11-23 0626 JA7EPO        599 25 UA4CC         599 16
QSO: 28035 CW 2013-11-23 0636 JA7EPO        599 25 RL3A          599 16
QSO: 28057 CW 2013-11-23 0729 JA7EPO        599 25 JA7BME        599 25
QSO: 14069 CW 2013-11-23 0747 JA7EPO        599 25 OL1C          599 15
QSO: 28061 CW 2013-11-23 0806 JA7EPO        599 25 AH2R          599 27
QSO: 14004 CW 2013-11-23 1101 JA7EPO        599 25 AH0K          599 27
QSO: 21066 CW 2013-11-23 1107 JA7EPO        599 25 VK3TDX        599 30
QSO: 21082 CW 2013-11-23 1109 JA7EPO        599 25 ZM4T          599 32
QSO: 21025 CW 2013-11-23 1113 JA7EPO        599 25 XV2RZ         599 26
QSO: 14029 CW 2013-11-23 1131 JA7EPO        599 25 YE2C          599 28
END-OF-LOG:
