START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-CW
CALLSIGN: E76WO
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: E76WO
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-CW CQWW/cw/2015.
QSO: 14000 CW 2015-11-28 0001 E76WO         599 15 YN2CC         599 7
QSO: 14000 CW 2015-11-28 0003 E76WO         599 15 CO8CY         599 8
QSO: 14020 CW 2015-11-28 0010 E76WO         599 15 YW4D          599 9
QSO: 14020 CW 2015-11-28 0011 E76WO         599 15 N4WW          599 5
QSO: 14034 CW 2015-11-28 0012 E76WO         599 15 KP2Q          599 8
QSO: 14043 CW 2015-11-28 0024 E76WO         599 15 RK9AX         599 17
QSO: 14059 CW 2015-11-28 0025 E76WO         599 15 WO4O          599 5
QSO: 14047 CW 2015-11-28 0027 E76WO         599 15 HI3K          599 8
QSO: 14023 CW 2015-11-28 0031 E76WO         599 15 PJ2T          599 09
QSO: 14006 CW 2015-11-28 0035 E76WO         599 15 W9IU          599 04
QSO: 14037 CW 2015-11-28 0044 E76WO         599 15 K9CT          599 4
QSO: 14052 CW 2015-11-28 0049 E76WO         599 15 K4TCG         599 4
QSO: 14000 CW 2015-11-28 0104 E76WO         599 15 NR5M          599 04
QSO: 14060 CW 2015-11-28 0107 E76WO         599 15 BA1GN/8       599 24
QSO: 14055 CW 2015-11-28 0114 E76WO         599 15 VE7VR         599 3
QSO: 14038 CW 2015-11-28 0126 E76WO         599 15 KP2M          599 8
QSO: 14000 CW 2015-11-28 0218 E76WO         599 15 J6/K9AW       599 08
QSO: 14066 CW 2015-11-28 0218 E76WO         599 15 PR2F          599 11
QSO: 14073 CW 2015-11-28 0220 E76WO         599 15 JH4UYB        599 25
QSO: 14066 CW 2015-11-28 0224 E76WO         599 15 PR2F          599 11
QSO: 14053 CW 2015-11-28 0226 E76WO         599 15 KH6LC         599 31
QSO: 14052 CW 2015-11-28 0229 E76WO         599 15 D4C           599 35
QSO: 14052 CW 2015-11-28 0229 E76WO         599 15 NP2P          599 08
QSO: 14054 CW 2015-11-28 0233 E76WO         599 15 AD4Z          599 5
