START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-CW
CALLSIGN: PY6TV
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: PY6TV
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-CW CQWW/cw/2021.
QSO: 14059 CW 2021-11-27 0205 PY6TV         599 11 ZM4T          599 32
QSO: 28025 CW 2021-11-27 1110 PY6TV         599 11 UT5EL         599 16
QSO: 28000 CW 2021-11-27 1111 PY6TV         599 11 UW5KW         599 16
QSO: 28025 CW 2021-11-27 1112 PY6TV         599 11 ON4TTT        599 14
QSO: 28025 CW 2021-11-27 1117 PY6TV         599 11 GM4FDM        599 14
QSO: 28024 CW 2021-11-27 1210 PY6TV         599 11 EA8URL        599 33
QSO: 28025 CW 2021-11-27 1237 PY6TV         599 11 CR3W          599 33
QSO: 28025 CW 2021-11-27 1240 PY6TV         599 11 OH6AC         599 15
QSO: 28020 CW 2021-11-28 1400 PY6TV         599 11 LT7D          599 13
QSO: 28020 CW 2021-11-28 1400 PY6TV         599 11 LW8DXR        599 13
QSO: 28000 CW 2021-11-28 1403 PY6TV         599 11 IT9SSI        599 15
QSO: 28019 CW 2021-11-28 1404 PY6TV         599 11 R7LV          599 16
QSO: 28000 CW 2021-11-28 1407 PY6TV         599 11 UR5FIL        599 16
QSO: 28020 CW 2021-11-28 1409 PY6TV         599 11 UR7EZ         599 16
QSO: 28020 CW 2021-11-28 1410 PY6TV         599 11 YT1X          599 15
QSO: 28000 CW 2021-11-28 1503 PY6TV         599 11 LT3V          599 13
QSO: 28000 CW 2021-11-28 1508 PY6TV         599 11 LQ3D          599 13
QSO: 28025 CW 2021-11-28 1508 PY6TV         599 11 LU1MA         599 13
QSO: 28011 CW 2021-11-28 1509 PY6TV         599 11 LT6M          599 13
QSO: 28020 CW 2021-11-28 1515 PY6TV         599 11 UA7K          599 16
QSO: 28020 CW 2021-11-28 1616 PY6TV         599 11 AY8A          599 13
END-OF-LOG:
