START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-CW
CALLSIGN: SP3OCC
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: SP3OCC
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-CW CQWW/cw/2022.
QSO: 21031 CW 2022-11-26 1058 SP3OCC        599 15 E2X           599 26
QSO: 21066 CW 2022-11-26 1100 SP3OCC        599 15 OH8Z          599 15
QSO: 21068 CW 2022-11-26 1101 SP3OCC        599 15 LP1H          599 13
QSO: 21000 CW 2022-11-26 1104 SP3OCC        599 15 TA2DA         599 20
QSO: 21039 CW 2022-11-26 1105 SP3OCC        599 15 VU2XE         599 22
QSO: 21062 CW 2022-11-26 1106 SP3OCC        599 15 3B8M          599 39
QSO: 21057 CW 2022-11-26 1109 SP3OCC        599 15 A44A          599 21
QSO: 21004 CW 2022-11-26 1117 SP3OCC        599 15 TM7A          599 14
QSO: 21058 CW 2022-11-26 1119 SP3OCC        599 15 TY5AF         599 35
QSO: 21001 CW 2022-11-26 1121 SP3OCC        599 15 PX2A          599 11
QSO: 21041 CW 2022-11-26 1122 SP3OCC        599 15 CN3A          599 33
QSO: 21027 CW 2022-11-26 1123 SP3OCC        599 15 PJ4A          599 9
QSO: 21068 CW 2022-11-26 1124 SP3OCC        599 15 V26K          599 8
QSO: 21064 CW 2022-11-26 1125 SP3OCC        599 15 UP5B          599 17
QSO: 21049 CW 2022-11-26 1126 SP3OCC        599 15 VY2TT         599 5
QSO: 21000 CW 2022-11-26 1149 SP3OCC        599 15 HC2AO         599 10
QSO: 21039 CW 2022-11-26 1206 SP3OCC        599 15 V31CQ         599 7
QSO: 21039 CW 2022-11-26 1209 SP3OCC        599 15 EW5A          599 16
QSO: 21027 CW 2022-11-26 1347 SP3OCC        599 15 XL3T          599 04
QSO: 21053 CW 2022-11-26 1349 SP3OCC        599 15 V47T          599 08
QSO: 21045 CW 2022-11-26 1350 SP3OCC        599 15 VP5Y          599 8
QSO: 21070 CW 2022-11-26 1351 SP3OCC        599 15 OX7AM         599 40
QSO: 21058 CW 2022-11-26 1352 SP3OCC        599 15 HG7T          599 15
QSO: 21099 CW 2022-11-26 1354 SP3OCC        599 15 P3AA          599 20
QSO: 21031 CW 2022-11-26 1400 SP3OCC        599 15 GI5I          599 14
QSO: 21010 CW 2022-11-26 1401 SP3OCC        599 15 SP1NY         599 15
QSO: 21004 CW 2022-11-26 1402 SP3OCC        599 15 CR3DX         599 33
QSO: 21019 CW 2022-11-26 1403 SP3OCC        599 15 YR8D          599 20
QSO: 21022 CW 2022-11-26 1405 SP3OCC        599 15 LA0GE         599 14
QSO: 21033 CW 2022-11-26 1406 SP3OCC        599 15 PJ2T          599 9
QSO: 21025 CW 2022-11-26 1407 SP3OCC        599 15 EF6T          599 14
QSO: 21030 CW 2022-11-26 1407 SP3OCC        599 15 9A7A          599 15
QSO: 21009 CW 2022-11-26 1408 SP3OCC        599 15 YL2VW         599 15
QSO: 21024 CW 2022-11-26 1408 SP3OCC        599 15 S52ZW         599 15
QSO: 21025 CW 2022-11-26 1409 SP3OCC        599 15 EF6T          599 14
QSO: 21037 CW 2022-11-26 1410 SP3OCC        599 15 ED8M          599 33
QSO: 21040 CW 2022-11-26 1412 SP3OCC        599 15 HG3A          599 15
QSO: 21040 CW 2022-11-26 1413 SP3OCC        599 15 IO1T          599 15
QSO: 21000 CW 2022-11-26 1417 SP3OCC        599 15 CT7/DL6IAK    599 14
QSO: 21023 CW 2022-11-26 1418 SP3OCC        599 15 LZ1RW         599 20
QSO: 21046 CW 2022-11-26 1418 SP3OCC        599 15 IT9KCD        599 15
QSO: 21050 CW 2022-11-26 1420 SP3OCC        599 15 Z68EE         599 15
QSO: 21058 CW 2022-11-26 1421 SP3OCC        599 15 9H6WW         599 15
QSO: 21046 CW 2022-11-26 1422 SP3OCC        599 15 EA5O          599 14
QSO: 21054 CW 2022-11-26 1422 SP3OCC        599 15 YT0Z          599 15
QSO: 21056 CW 2022-11-26 1424 SP3OCC        599 15 OL3Z          599 15
QSO: 21051 CW 2022-11-26 1425 SP3OCC        599 15 DP7D          599 14
QSO: 21042 CW 2022-11-26 1432 SP3OCC        599 15 5R8CG         599 39
QSO: 21005 CW 2022-11-26 1436 SP3OCC        599 15 4Z4AK         599 20
QSO: 21061 CW 2022-11-26 1438 SP3OCC        599 15 OM7K          599 15
