START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-SSB
CALLSIGN: DF6YC
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: DF6YC
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-SSB CQWW/ph/2006.
QSO: 14196 PH 2006-10-29 0744 DF6YC         59 14 UT7ND         59 16
QSO: 14181 PH 2006-10-29 0810 DF6YC         59 14 SV1CIB        59 20
QSO: 28455 PH 2006-10-29 0955 DF6YC         59 14 9A5KV         59 15
QSO: 28444 PH 2006-10-29 0959 DF6YC         59 14 IK0EIE        59 15
QSO: 28000 PH 2006-10-29 1003 DF6YC         59 14 Z36W          59 15
QSO: 28476 PH 2006-10-29 1007 DF6YC         59 14 J48RT         59 20
QSO: 21167 PH 2006-10-29 1010 DF6YC         59 14 G0MTN         59 14
QSO: 21000 PH 2006-10-29 1011 DF6YC         59 14 4N0W          59 15
QSO: 21000 PH 2006-10-29 1013 DF6YC         59 14 9A8M          59 15
QSO: 21000 PH 2006-10-29 1013 DF6YC         59 14 YT9X          59 15
QSO: 21242 PH 2006-10-29 1015 DF6YC         59 14 MI0JZZ        59 14
QSO: 21258 PH 2006-10-29 1017 DF6YC         59 14 GM0B          59 14
QSO: 21000 PH 2006-10-29 1020 DF6YC         59 14 4O2A          59 15
QSO: 21327 PH 2006-10-29 1021 DF6YC         59 14 IR4X          59 15
QSO: 21178 PH 2006-10-29 1025 DF6YC         59 14 GM7V          59 14
QSO: 14118 PH 2006-10-29 1027 DF6YC         59 14 CN2ZR         59 33
QSO: 14140 PH 2006-10-29 1030 DF6YC         59 14 V26B          59 8
QSO: 14000 PH 2006-10-29 1036 DF6YC         59 14 YZ2A          59 15
QSO: 14000 PH 2006-10-29 1041 DF6YC         59 14 HG1A          59 15
QSO: 14264 PH 2006-10-29 1041 DF6YC         59 14 HB0/HB9AON    59 14
QSO: 14138 PH 2006-10-29 1044 DF6YC         59 14 P40A          59 9
QSO: 14212 PH 2006-10-29 1048 DF6YC         59 14 K4ZW          59 5
QSO: 14000 PH 2006-10-29 1049 DF6YC         59 14 YT2T          59 15
QSO: 14301 PH 2006-10-29 1051 DF6YC         59 14 S57AL         59 15
QSO: 28000 PH 2006-10-29 1055 DF6YC         59 14 IW7EGQ        59 15
END-OF-LOG:
