START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-SSB
CALLSIGN: DL6BBT
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: DL6BBT
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-SSB CQWW/ph/2006.
QSO:  7000 PH 2006-10-28 0649 DL6BBT        59 14 OH1F          59 15
QSO: 14268 PH 2006-10-29 0832 DL6BBT        59 14 ZY7C          59 11
QSO: 14000 PH 2006-10-29 0835 DL6BBT        59 14 UA9JMB        59 17
QSO: 14000 PH 2006-10-29 0837 DL6BBT        59 14 EA8KL         59 33
QSO: 14000 PH 2006-10-29 0838 DL6BBT        59 14 BY1DX         59 24
QSO: 14130 PH 2006-10-29 0947 DL6BBT        59 14 CQ9T          59 33
QSO: 14000 PH 2006-10-29 0954 DL6BBT        59 14 UA9MC         59 17
QSO: 14222 PH 2006-10-29 1547 DL6BBT        59 14 ZC4T          59 20
QSO: 14000 PH 2006-10-29 1552 DL6BBT        59 14 VE3EJ         59 04
QSO: 14151 PH 2006-10-29 1556 DL6BBT        59 14 W2AX          59 5
QSO: 14000 PH 2006-10-29 1559 DL6BBT        59 14 K1IM          59 05
QSO: 14159 PH 2006-10-29 1559 DL6BBT        59 14 K1KI          59 5
QSO: 14165 PH 2006-10-29 1602 DL6BBT        59 14 K2NG          59 5
QSO: 14177 PH 2006-10-29 1733 DL6BBT        59 14 W4RM          59 5
QSO: 14181 PH 2006-10-29 1737 DL6BBT        59 14 VY2TT         59 5
QSO: 14212 PH 2006-10-29 1746 DL6BBT        59 14 5B/AJ2O       59 20
QSO: 14000 PH 2006-10-29 1748 DL6BBT        59 14 N3UM          59 05
QSO: 14221 PH 2006-10-29 1751 DL6BBT        59 14 K4ZW          59 5
QSO: 14227 PH 2006-10-29 1752 DL6BBT        59 14 W6AAN         59 5
QSO: 14229 PH 2006-10-29 1753 DL6BBT        59 14 PJ2T          59 9
QSO: 14236 PH 2006-10-29 1755 DL6BBT        59 14 K7RL          59 3
QSO: 14239 PH 2006-10-29 1757 DL6BBT        59 14 WB9Z          59 4
END-OF-LOG:
