START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-SSB
CALLSIGN: IK6PTH
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: IK6PTH
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-SSB CQWW/ph/2006.
QSO: 21448 PH 2006-10-28 1744 IK6PTH        59 15 XF4DL         59 06
QSO: 21000 PH 2006-10-29 1004 IK6PTH        59 15 TA2IB         59 20
QSO: 28606 PH 2006-10-29 1005 IK6PTH        59 15 2 RK2FWA        59 15
QSO: 28581 PH 2006-10-29 1016 IK6PTH        59 15 LB8IB         59 14
QSO: 28541 PH 2006-10-29 1019 IK6PTH        59 15 OM0M          59 15
QSO: 28535 PH 2006-10-29 1024 IK6PTH        59 15 5B/AJ2O       59 20
QSO: 28400 PH 2006-10-29 1026 IK6PTH        59 15 LY6M          59 15
QSO: 28000 PH 2006-10-29 1027 IK6PTH        59 15 TM6M          59 14
QSO: 28000 PH 2006-10-29 1031 IK6PTH        59 15 Z36A          59 15
QSO: 28484 PH 2006-10-29 1035 IK6PTH        59 15 MD4K          59 14
QSO: 28417 PH 2006-10-29 1049 IK6PTH        59 15 MU5W          59 14
QSO: 21178 PH 2006-10-29 1101 IK6PTH        59 15 8R1EA         59 9
QSO: 21000 PH 2006-10-29 1108 IK6PTH        59 15 VR2BG         59 24
QSO: 21140 PH 2006-10-29 1114 IK6PTH        59 15 IM0/IK0FMB    59 15
QSO: 28000 PH 2006-10-29 1117 IK6PTH        59 15 SV8CRI        59 20
QSO: 21000 PH 2006-10-29 1124 IK6PTH        59 15 VK9AA         59 29
QSO: 21119 PH 2006-10-29 1234 IK6PTH        59 15 CN8SG         59 33
QSO: 21122 PH 2006-10-29 1234 IK6PTH        59 15 CT9L          59 33
QSO: 21132 PH 2006-10-29 1236 IK6PTH        59 15 ZX2B          59 11
QSO: 21175 PH 2006-10-29 1241 IK6PTH        59 15 PS2T          59 11
QSO: 21000 PH 2006-10-29 1244 IK6PTH        59 15 LT1A          59 13
QSO: 21168 PH 2006-10-29 1244 IK6PTH        59 15 EA7RM         59 14
QSO: 21187 PH 2006-10-29 1244 IK6PTH        59 15 M8C           59 14
QSO: 21000 PH 2006-10-29 1247 IK6PTH        59 15 EA1FDI        59 14
QSO: 21000 PH 2006-10-29 1248 IK6PTH        59 15 PA0IJM        59 14
QSO: 21210 PH 2006-10-29 1250 IK6PTH        59 15 4X0WV         59 20
QSO: 21221 PH 2006-10-29 1251 IK6PTH        59 15 SO5O          59 15
QSO: 21224 PH 2006-10-29 1252 IK6PTH        59 15 5B/AJ2O       59 20
QSO: 21232 PH 2006-10-29 1253 IK6PTH        59 15 LB8IB         59 14
QSO: 21000 PH 2006-10-29 1254 IK6PTH        59 15 3V6T          59 33
QSO: 21246 PH 2006-10-29 1254 IK6PTH        59 15 EI7M          59 14
QSO: 21254 PH 2006-10-29 1256 IK6PTH        59 15 DR1A          59 14
QSO: 21000 PH 2006-10-29 1257 IK6PTH        59 15 LY2T          59 15
QSO: 21262 PH 2006-10-29 1301 IK6PTH        59 15 PY2NY         59 11
QSO: 21021 PH 2006-10-29 1303 IK6PTH        59 15 YB0KYM        59 28
QSO: 21276 PH 2006-10-29 1303 IK6PTH        59 15 EA8AH         59 33
QSO: 21000 PH 2006-10-29 1307 IK6PTH        59 15 9N7JO         59 22
QSO: 21000 PH 2006-10-29 1307 IK6PTH        59 15 ZX5J          59 11
QSO: 28000 PH 2006-10-29 1307 IK6PTH        59 15 GM6NX         59 14
QSO: 21306 PH 2006-10-29 1311 IK6PTH        59 15 CQ9T          59 33
QSO: 21000 PH 2006-10-29 1312 IK6PTH        59 15 CU2CR         59 14
QSO: 21320 PH 2006-10-29 1313 IK6PTH        59 15 GM7V          59 14
QSO: 21000 PH 2006-10-29 1316 IK6PTH        59 15 TC2T          59 20
QSO: 21357 PH 2006-10-29 1317 IK6PTH        59 15 GM3WOJ        59 14
QSO: 21359 PH 2006-10-29 1317 IK6PTH        59 15 MI0LLL        59 14
QSO: 21000 PH 2006-10-29 1324 IK6PTH        59 15 SP0PZK        59 15
QSO: 28425 PH 2006-10-29 1330 IK6PTH        59 15 PZ5RA         59 09
QSO: 28000 PH 2006-10-29 1335 IK6PTH        59 15 F6DZU         59 14
QSO: 28000 PH 2006-10-29 1336 IK6PTH        59 15 4Z5QQ         59 20
QSO: 28466 PH 2006-10-29 1339 IK6PTH        59 15 7W2W          59 33
QSO: 28480 PH 2006-10-29 1403 IK6PTH        59 15 VQ9X          59 39
QSO: 28000 PH 2006-10-29 1406 IK6PTH        59 15 EA2BI         59 14
QSO: 28526 PH 2006-10-29 1408 IK6PTH        59 15 OE4A          59 15
END-OF-LOG:
