START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-SSB
CALLSIGN: W6DCC
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: W6DCC
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-SSB CQWW/ph/2008.
QSO:  7214 PH 2008-10-25 0418 W6DCC         59 03 HK3O          59 09
QSO:  7204 PH 2008-10-25 0430 W6DCC         59 03 FY5KE         59 09
QSO: 21201 PH 2008-10-25 2204 W6DCC         59 03 K3LR          59 5
QSO: 21000 PH 2008-10-25 2211 W6DCC         59 3 ZX5J          59 11
QSO: 21200 PH 2008-10-25 2212 W6DCC         59 03 V31MX         59 07
QSO: 21254 PH 2008-10-25 2212 W6DCC         59 3 ZW5B          59 11
QSO: 21264 PH 2008-10-25 2213 W6DCC         59 03 KH6LC         59 31
QSO: 21000 PH 2008-10-25 2215 W6DCC         59 03 VA3YP         59 04
QSO: 21286 PH 2008-10-25 2216 W6DCC         59 3 AH7C          59 31
QSO: 21319 PH 2008-10-25 2220 W6DCC         59 03 CX7TT         59 13
QSO: 21336 PH 2008-10-25 2221 W6DCC         59 03 LT1F          59 13
QSO: 21253 PH 2008-10-25 2223 W6DCC         59 3 PJ2T          59 9
QSO: 21000 PH 2008-10-25 2224 W6DCC         59 03 PY3DX         59 11
QSO: 21292 PH 2008-10-25 2227 W6DCC         59 03 CE1W          59 12
QSO: 21304 PH 2008-10-25 2229 W6DCC         59 03 XR6T          59 12
QSO: 21300 PH 2008-10-25 2232 W6DCC         59 03 PY3UEB        59 11
