START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-SSB
CALLSIGN: W0WP
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: W0WP
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-SSB CQWW/ph/2010.
QSO: 21000 PH 2010-10-30 1443 W0WP          59 04 CE1TT         59 12
QSO: 21350 PH 2010-10-30 1447 W0WP          59 04 OH8X          59 15
QSO: 21320 PH 2010-10-30 1547 W0WP          59 4 PJ2T          59 9
QSO: 21238 PH 2010-10-30 1709 W0WP          59 4 ZS9X          59 38
QSO: 21285 PH 2010-10-30 1710 W0WP          59 04 F8DBF         59 14
QSO: 21000 PH 2010-10-30 1712 W0WP          59 04 AM1A          59 14
QSO: 21301 PH 2010-10-30 1719 W0WP          59 04 5R8X          59 39
QSO: 21328 PH 2010-10-30 1721 W0WP          59 04 CR3A          59 33
QSO: 21435 PH 2010-10-30 1728 W0WP          59 04 EA8/DL6MHW    59 33
QSO: 21000 PH 2010-10-30 1730 W0WP          59 04 9Y4W          59 09
QSO: 21000 PH 2010-10-30 1730 W0WP          59 04 EA1BP         59 14
QSO: 21418 PH 2010-10-30 1730 W0WP          59 05 CQ9T          59 33
QSO: 21000 PH 2010-10-30 1732 W0WP          59 04 LZ9W          59 20
QSO: 21375 PH 2010-10-30 1732 W0WP          59 04 G5E           59 14
QSO: 21000 PH 2010-10-30 1733 W0WP          59 04 VE2GSO        59 02
QSO: 21195 PH 2010-10-30 1734 W0WP          59 04 EA5EA         59 14
QSO: 21364 PH 2010-10-30 1734 W0WP          59 04 GI0KVQ        59 14
QSO: 21000 PH 2010-10-30 1736 W0WP          59 04 EA7ISH        59 14
QSO: 21295 PH 2010-10-30 1737 W0WP          59 4 VE7GL         59 3
QSO: 21319 PH 2010-10-30 1737 W0WP          59 04 EA1DR         59 14
QSO: 21255 PH 2010-10-30 1739 W0WP          59 4 VY2TT         59 5
QSO: 21241 PH 2010-10-31 1438 W0WP          59 04 DK5FF         59 14
QSO: 21222 PH 2010-10-31 1440 W0WP          59 04 DL0CS         59 14
QSO: 21000 PH 2010-10-31 1442 W0WP          59 04 IR9W          59 15
QSO: 21209 PH 2010-10-31 1443 W0WP          59 04 HG10P         59 15
QSO: 21239 PH 2010-10-31 1445 W0WP          59 04 DA2C          59 14
QSO: 21234 PH 2010-10-31 1446 W0WP          59 04 HG1Z          59 15
QSO: 21248 PH 2010-10-31 1447 W0WP          59 04 LN3Z          59 14
QSO: 21000 PH 2010-10-31 1448 W0WP          59 4 HG0R          59 15
QSO: 21261 PH 2010-10-31 1449 W0WP          59 4 9A5D          59 15
QSO: 21276 PH 2010-10-31 1449 W0WP          59 04 HG6N          59 15
QSO: 21000 PH 2010-10-31 1450 W0WP          59 04 TM7F          59 14
QSO: 21295 PH 2010-10-31 1450 W0WP          59 4 IQ1RY         59 15
QSO: 21311 PH 2010-10-31 1451 W0WP          59 04 IO5O          59 15
QSO: 21335 PH 2010-10-31 1451 W0WP          59 04 GI5K          59 14
QSO: 21298 PH 2010-10-31 1453 W0WP          59 04 EE2W          59 14
QSO: 21306 PH 2010-10-31 1453 W0WP          59 04 F4EGD         59 14
QSO: 21310 PH 2010-10-31 1454 W0WP          59 04 SJ2W          59 14
QSO: 21000 PH 2010-10-31 1455 W0WP          59 04 IU9T          59 15
QSO: 21283 PH 2010-10-31 1455 W0WP          59 04 HB0/HB9AON    59 14
QSO: 21328 PH 2010-10-31 1456 W0WP          59 04 PA5A          59 14
QSO: 21334 PH 2010-10-31 1457 W0WP          59 4 S53MM         59 15
QSO: 21339 PH 2010-10-31 1459 W0WP          59 04 PA1T          59 14
QSO: 21000 PH 2010-10-31 1500 W0WP          59 04 EE7D          59 14
QSO: 21000 PH 2010-10-31 1501 W0WP          59 4 YT7Z          59 15
QSO: 21358 PH 2010-10-31 1501 W0WP          59 04 G4BUO         59 14
QSO: 21369 PH 2010-10-31 1502 W0WP          59 04 S50R          59 15
QSO: 21382 PH 2010-10-31 1502 W0WP          59 04 S52ZW         59 15
QSO: 21000 PH 2010-10-31 1503 W0WP          59 04 9A5Y          59 15
QSO: 21000 PH 2010-10-31 1503 W0WP          59 4 SK6AW         59 14
END-OF-LOG:
