START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-SSB
CALLSIGN: WM0G
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: WM0G
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-SSB CQWW/ph/2010.
QSO: 21418 PH 2010-10-30 1556 WM0G          59 04 CQ9T          59 33
QSO:  7147 PH 2010-10-31 0531 WM0G          59 04 CN3A          59 33
QSO:  7139 PH 2010-10-31 0534 WM0G          59 04 CR3L          59 33
QSO:  7191 PH 2010-10-31 0607 WM0G          59 04 CR2X          59 14
QSO:  7199 PH 2010-10-31 0608 WM0G          59 04 CR3A          59 33
QSO:  7203 PH 2010-10-31 0634 WM0G          59 04 AA4V/VP9      59 5
QSO:  7000 PH 2010-10-31 0636 WM0G          59 04 ZW8T          59 11
QSO:  7000 PH 2010-10-31 0638 WM0G          59 04 TO7A          59 8
QSO:  7170 PH 2010-10-31 0640 WM0G          59 04 P49Y          59 09
QSO:  7157 PH 2010-10-31 0642 WM0G          59 04 VK4KW         59 30
QSO:  7206 PH 2010-10-31 0655 WM0G          59 4 VP5DX         59 08
QSO:  7139 PH 2010-10-31 0701 WM0G          59 04 NP4DX         59 08
QSO:  7194 PH 2010-10-31 0707 WM0G          59 4 JA0JHA        59 25
QSO:  7176 PH 2010-10-31 0709 WM0G          59 05 EF8R          59 33
QSO:  7202 PH 2010-10-31 0714 WM0G          59 04 PW7T          59 11
QSO:  7188 PH 2010-10-31 0727 WM0G          59 4 2 VK4UC         59 30
QSO:  7000 PH 2010-10-31 0728 WM0G          59 04 HK1J          59 09
QSO:  7000 PH 2010-10-31 0730 WM0G          59 04 FY5KE         59 9
QSO:  7228 PH 2010-10-31 0733 WM0G          59 4 PJ2T          59 9
QSO:  7169 PH 2010-10-31 0753 WM0G          59 04 EA7KW         59 14
QSO:  7210 PH 2010-10-31 0827 WM0G          59 04 VK1CC         59 30
QSO:  7121 PH 2010-10-31 0832 WM0G          59 04 YW4D          59 9
QSO:  7130 PH 2010-10-31 0842 WM0G          59 04 NP2B          59 8
QSO:  7177 PH 2010-10-31 0850 WM0G          59 04 KP2M          59 8
QSO:  7188 PH 2010-10-31 0859 WM0G          59 04 AH0BT         59 27
QSO:  7208 PH 2010-10-31 0905 WM0G          59 04 PJ4X          59 09
QSO:  7000 PH 2010-10-31 0907 WM0G          59 04 TI5N          59 7
QSO:  7000 PH 2010-10-31 0914 WM0G          59 4 JA7YRR        59 25
QSO:  7158 PH 2010-10-31 0924 WM0G          59 04 V31BD         59 7
END-OF-LOG:
