START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-SSB
CALLSIGN: ZS2EC
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: ZS2EC
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-SSB CQWW/ph/2010.
QSO:  3790 PH 2010-10-30 0102 ZS2EC         59 38 ZS9X          59 38
QSO: 21150 PH 2010-10-30 0537 ZS2EC         59 38 4S7AB         59 22
QSO: 21353 PH 2010-10-30 0724 ZS2EC         59 38 5R8X          59 39
QSO: 28472 PH 2010-10-30 0848 ZS2EC         59 38 BH7OZG        59 24
QSO: 28480 PH 2010-10-30 0857 ZS2EC         59 38 B7P           59 24
QSO: 28400 PH 2010-10-30 0900 ZS2EC         59 38 A73A          59 21
QSO: 28400 PH 2010-10-30 0907 ZS2EC         59 38 A73A          59 21
QSO: 28000 PH 2010-10-30 0912 ZS2EC         59 38 VR2ZQZ/P      59 24
QSO: 28498 PH 2010-10-30 0924 ZS2EC         59 38 A65CA         59 21
QSO: 28000 PH 2010-10-30 1012 ZS2EC         59 38 9Q6CC         59 36
QSO: 28400 PH 2010-10-30 1116 ZS2EC         59 38 A73A          59 21
QSO: 28450 PH 2010-10-30 1220 ZS2EC         59 38 PW7T          59 11
QSO: 14226 PH 2010-10-30 1240 ZS2EC         59 38 B7P           59 24
QSO: 21170 PH 2010-10-30 1247 ZS2EC         59 38 B7P           59 24
QSO: 21000 PH 2010-10-30 1254 ZS2EC         59 38 YE0X          59 28
QSO: 21000 PH 2010-10-30 1332 ZS2EC         59 38 YB1C          59 28
QSO: 21220 PH 2010-10-30 1335 ZS2EC         59 38 BX5AA         59 24
QSO: 21000 PH 2010-10-30 1615 ZS2EC         59 38 HI3K          59 8
QSO: 21000 PH 2010-10-31 0811 ZS2EC         59 38 9M6BOB        59 28
QSO: 21000 PH 2010-10-31 1048 ZS2EC         59 38 DX1DBT        59 27
QSO: 28477 PH 2010-10-31 1053 ZS2EC         59 38 BA7IY         59 24
QSO: 28461 PH 2010-10-31 1135 ZS2EC         59 38 NH2T          59 27
QSO: 28000 PH 2010-10-31 1211 ZS2EC         59 38 9Y4D          59 09
QSO: 28000 PH 2010-10-31 1221 ZS2EC         59 38 YC0NSI        59 28
QSO: 28447 PH 2010-10-31 1233 ZS2EC         59 38 ZW5B          59 11
QSO: 28000 PH 2010-10-31 1234 ZS2EC         59 38 5R8UI         59 39
QSO: 28000 PH 2010-10-31 1237 ZS2EC         59 38 A65BB         59 21
QSO: 28000 PH 2010-10-31 1245 ZS2EC         59 38 PW5G          59 11
QSO: 28000 PH 2010-10-31 1246 ZS2EC         59 38 VR2ZQZ/P      59 24
QSO: 21000 PH 2010-10-31 1304 ZS2EC         59 38 YE2R          59 28
QSO: 28477 PH 2010-10-31 1333 ZS2EC         59 38 PY1NB         59 11
QSO: 28502 PH 2010-10-31 1347 ZS2EC         59 38 P40W          59 9
QSO: 28472 PH 2010-10-31 1414 ZS2EC         59 38 YV5LI         59 09
QSO: 21300 PH 2010-10-31 1432 ZS2EC         59 38 3W1M          59 26
QSO: 21195 PH 2010-10-31 1509 ZS2EC         59 38 HS0ZCX        59 26
END-OF-LOG:
