START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-SSB
CALLSIGN: S57W
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: S57W
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-SSB CQWW/ph/2011.
QSO:  3500 PH 2011-10-30 2202 S57W          59 15 IQ8MD         59 15
QSO: 14100 PH 2011-10-30 2214 S57W          59 15 TO5A          59 08
QSO: 14107 PH 2011-10-30 2216 S57W          59 15 VE3RTU        59 4
QSO: 14122 PH 2011-10-30 2217 S57W          59 15 VY2ZM         59 5
QSO: 14135 PH 2011-10-30 2217 S57W          59 15 VE3JM         59 4
QSO: 14129 PH 2011-10-30 2218 S57W          59 15 EA8ZS         59 33
QSO: 14284 PH 2011-10-30 2220 S57W          59 15 CN3A          59 33
QSO: 14000 PH 2011-10-30 2226 S57W          59 15 VC2Z          59 05
QSO: 14148 PH 2011-10-30 2228 S57W          59 15 VC3R          59 4
QSO: 14153 PH 2011-10-30 2228 S57W          59 15 W3LPL         59 5
QSO: 14157 PH 2011-10-30 2229 S57W          59 15 K1LZ          59 05
QSO: 14195 PH 2011-10-30 2232 S57W          59 15 W9RE          59 04
QSO: 14251 PH 2011-10-30 2236 S57W          59 15 W2RE          59 5
QSO: 14307 PH 2011-10-30 2239 S57W          59 15 W4RM          59 5
QSO: 14117 PH 2011-10-30 2252 S57W          59 15 VP2MDG        59 8
QSO: 14150 PH 2011-10-30 2258 S57W          59 15 K3LR          59 05
QSO: 14163 PH 2011-10-30 2300 S57W          59 15 K3CR          59 5
QSO: 14166 PH 2011-10-30 2301 S57W          59 15 NQ4I          59 05
QSO: 14188 PH 2011-10-30 2303 S57W          59 15 K4SSU         59 5
QSO: 14000 PH 2011-10-30 2304 S57W          59 15 WA2NHA        59 05
QSO: 14000 PH 2011-10-30 2305 S57W          59 15 KB3UHN        59 05
QSO: 14253 PH 2011-10-30 2306 S57W          59 15 W3FW          59 05
QSO: 14256 PH 2011-10-30 2307 S57W          59 15 W2PV          59 5
QSO: 14272 PH 2011-10-30 2307 S57W          59 15 CR3A          59 33
QSO: 14180 PH 2011-10-30 2314 S57W          59 15 W3UA          59 5
QSO: 14199 PH 2011-10-30 2315 S57W          59 15 W5CT          59 04
QSO: 14220 PH 2011-10-30 2322 S57W          59 15 K5KG          59 5
QSO: 14222 PH 2011-10-30 2324 S57W          59 15 NR5M          59 04
QSO: 14348 PH 2011-10-30 2331 S57W          59 15 8Q7DV         59 22
QSO: 14142 PH 2011-10-30 2354 S57W          59 15 YV5NEA        59 09
QSO: 14121 PH 2011-10-30 2355 S57W          59 15 V26B          59 8
QSO: 14165 PH 2011-10-30 2356 S57W          59 15 NP4Z          59 8
QSO: 14235 PH 2011-10-30 2357 S57W          59 15 EF8R          59 33
END-OF-LOG:
