START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-SSB
CALLSIGN: OL8W
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: OL8W
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-SSB CQWW/ph/2013.
QSO: 28499 PH 2013-10-26 1137 OL8W          59 15 7O2A          59 37
QSO: 28532 PH 2013-10-26 1312 OL8W          59 15 CE3CT         59 12
QSO: 28000 PH 2013-10-26 1314 OL8W          59 15 LA8UHA        59 14
QSO: 28518 PH 2013-10-26 1314 OL8W          59 15 W3IUU         59 5
QSO: 28518 PH 2013-10-26 1315 OL8W          59 15 N8RA          59 5
QSO: 28548 PH 2013-10-26 1320 OL8W          59 15 XE2B          59 6
QSO: 28548 PH 2013-10-26 1322 OL8W          59 15 N1YX          59 5
QSO: 28548 PH 2013-10-26 1322 OL8W          59 15 R7HL          59 16
QSO: 28548 PH 2013-10-26 1324 OL8W          59 15 W3OU          59 5
QSO: 28547 PH 2013-10-26 1325 OL8W          59 15 P3N           59 20
QSO: 28548 PH 2013-10-26 1325 OL8W          59 15 KK4IMJ        59 4
QSO: 28548 PH 2013-10-26 1325 OL8W          59 15 N4ZC          59 5
QSO: 28548 PH 2013-10-26 1326 OL8W          59 15 NE3F          59 5
QSO: 28000 PH 2013-10-26 1328 OL8W          59 15 W9SE          59 04
QSO: 28262 PH 2013-10-26 1339 OL8W          59 15 TF3CY         59 40
QSO: 28374 PH 2013-10-26 1345 OL8W          59 15 F4GVZ         59 14
QSO: 28374 PH 2013-10-26 1345 OL8W          59 15 K0CF          59 04
QSO: 28000 PH 2013-10-26 1346 OL8W          59 15 K2JMY         59 5
QSO: 28000 PH 2013-10-26 1347 OL8W          59 15 NA8V          59 4
QSO: 28374 PH 2013-10-26 1349 OL8W          59 15 AJ4VE         59 05
QSO: 28374 PH 2013-10-26 1350 OL8W          59 15 KT4ZB         59 5
QSO: 28374 PH 2013-10-26 1350 OL8W          59 15 N3MK          59 5
QSO: 28000 PH 2013-10-26 1351 OL8W          59 15 KB8UUZ        59 04
QSO: 28000 PH 2013-10-26 1351 OL8W          59 15 RT9TM         59 16
QSO: 28374 PH 2013-10-26 1352 OL8W          59 15 K2NV          59 05
QSO: 28374 PH 2013-10-26 1353 OL8W          59 15 K4HX          59 05
QSO: 28374 PH 2013-10-26 1354 OL8W          59 15 N2MUN         59 5
QSO: 28374 PH 2013-10-26 1354 OL8W          59 15 W3IUU         59 5
QSO: 28374 PH 2013-10-26 1355 OL8W          59 15 K3MD          59 5
QSO: 28374 PH 2013-10-26 1355 OL8W          59 15 K4JJ          59 5
QSO: 28374 PH 2013-10-26 1355 OL8W          59 15 N3RS          59 5
QSO: 28374 PH 2013-10-26 1356 OL8W          59 15 N8BJQ         59 4
QSO: 28374 PH 2013-10-26 1356 OL8W          59 15 WM0L          59 4
QSO: 28374 PH 2013-10-26 1357 OL8W          59 15 W4WWQ         59 5
QSO: 28374 PH 2013-10-26 1358 OL8W          59 15 KC9UJS        59 4
QSO: 28374 PH 2013-10-26 1358 OL8W          59 15 NA4CW         59 5
QSO: 28374 PH 2013-10-26 1359 OL8W          59 15 N4WW          59 5
QSO: 28374 PH 2013-10-26 1359 OL8W          59 15 VE3BVA        59 4
QSO: 28374 PH 2013-10-26 1400 OL8W          59 15 NV4B          59 4
QSO: 28374 PH 2013-10-26 1401 OL8W          59 15 NA1DX         59 05
QSO: 28374 PH 2013-10-26 1402 OL8W          59 15 WB0LJK        59 4
QSO: 28300 PH 2013-10-26 1403 OL8W          59 15 WT8E          59 4
QSO: 28374 PH 2013-10-26 1403 OL8W          59 15 NQ4I          59 05
QSO: 28374 PH 2013-10-26 1403 OL8W          59 15 NR3X          59 5
QSO: 28374 PH 2013-10-26 1403 OL8W          59 15 P33W          59 20
QSO: 28374 PH 2013-10-26 1404 OL8W          59 15 K0CN          59 4
QSO: 28374 PH 2013-10-26 1404 OL8W          59 15 W0JM          59 4
QSO: 28000 PH 2013-10-26 1405 OL8W          59 14 W9GT          59 4
QSO: 28374 PH 2013-10-26 1405 OL8W          59 15 AC0W          59 4
QSO: 28000 PH 2013-10-26 1406 OL8W          59 15 K5KDX         59 04
QSO: 28374 PH 2013-10-26 1406 OL8W          59 15 N8VY          59 4
QSO: 28374 PH 2013-10-26 1407 OL8W          59 15 N4TL          59 5
QSO: 28374 PH 2013-10-26 1407 OL8W          59 15 WA1F          59 5
QSO: 28527 PH 2013-10-26 1437 OL8W          59 15 K4HX          59 05
QSO: 28527 PH 2013-10-26 1437 OL8W          59 15 WO9Z          59 4
QSO: 28530 PH 2013-10-26 1440 OL8W          59 15 VA3EC         59 4
QSO: 28530 PH 2013-10-26 1441 OL8W          59 15 N3CZ          59 5
QSO: 28530 PH 2013-10-26 1444 OL8W          59 15 W4GDG         59 5
QSO: 28000 PH 2013-10-26 1445 OL8W          59 15 N8DKA         59 4
QSO: 28530 PH 2013-10-26 1445 OL8W          59 15 LY5I          59 15
QSO: 28530 PH 2013-10-26 1446 OL8W          59 15 N3KN          59 5
QSO: 28276 PH 2013-10-26 1448 OL8W          59 15 YN2AA         59 7
QSO: 28323 PH 2013-10-26 1448 OL8W          59 15 XE1CQ         59 6
QSO: 28374 PH 2013-10-26 1451 OL8W          59 15 WA3EKL        59 5
QSO: 28540 PH 2013-10-26 1459 OL8W          59 15 KE2VB         59 3
QSO: 28540 PH 2013-10-26 1501 OL8W          59 15 NC0B          59 4
QSO: 28000 PH 2013-10-26 1502 OL8W          59 15 W4UAL         59 04
QSO: 28540 PH 2013-10-26 1502 OL8W          59 15 W4RYW         59 4
QSO: 28000 PH 2013-10-26 1503 OL8W          59 15 KJ8O          59 04
QSO: 28540 PH 2013-10-26 1503 OL8W          59 15 VA3XH         59 4
QSO: 28000 PH 2013-10-26 1505 OL8W          59 15 KA9MOM        59 4
QSO: 28000 PH 2013-10-27 0551 OL8W          59 15 XW0YJY        59 26
QSO: 28524 PH 2013-10-27 0551 OL8W          59 15 VK3TDX        59 30
QSO: 28000 PH 2013-10-27 0552 OL8W          59 15 JT1T          59 23
QSO: 28000 PH 2013-10-27 0554 OL8W          59 15 9M2SM         59 28
QSO: 28540 PH 2013-10-27 0555 OL8W          59 15 AH2R          59 27
QSO: 28469 PH 2013-10-27 0614 OL8W          59 15 BY0AA         59 23
QSO: 28000 PH 2013-10-27 0617 OL8W          59 15 RW0UM         59 18
QSO: 28561 PH 2013-10-27 0618 OL8W          59 15 JA8COE        59 25
QSO: 28561 PH 2013-10-27 0619 OL8W          59 15 UF8T          59 16
QSO: 28000 PH 2013-10-27 0621 OL8W          59 15 JA1TMG        59 25
QSO: 28542 PH 2013-10-27 0624 OL8W          59 15 VU2RCT        59 22
QSO: 21000 PH 2013-10-27 0627 OL8W          59 15 B9/BY9GA      59 23
QSO: 28486 PH 2013-10-27 0648 OL8W          59 15 JF2QNM        59 25
QSO: 28486 PH 2013-10-27 0649 OL8W          59 15 JA2VHO        59 25
QSO: 28486 PH 2013-10-27 0650 OL8W          59 15 BU2AU         59 24
QSO: 28419 PH 2013-10-27 0700 OL8W          59 15 BD7IS         59 24
QSO: 28419 PH 2013-10-27 0700 OL8W          59 15 RW4WA         59 16
QSO: 28419 PH 2013-10-27 0701 OL8W          59 15 JK1OLT        59 25
QSO: 28419 PH 2013-10-27 0703 OL8W          59 15 JR6GIM        59 25
QSO: 28000 PH 2013-10-27 0705 OL8W          59 15 JA4DWG        59 25
QSO: 28419 PH 2013-10-27 0705 OL8W          59 15 JL3MCM        59 25
QSO: 28493 PH 2013-10-27 0714 OL8W          59 15 BY5HB         59 24
QSO: 28000 PH 2013-10-27 0717 OL8W          59 15 ZP6A          59 11
QSO: 28000 PH 2013-10-27 0817 OL8W          59 15 JA2HOL        59 25
QSO: 28624 PH 2013-10-27 0817 OL8W          59 15 RU4SO         59 16
QSO: 28623 PH 2013-10-27 0818 OL8W          59 15 CT9/R9DX      59 33
QSO: 28623 PH 2013-10-27 0818 OL8W          59 15 RK9DC         59 17
QSO: 28000 PH 2013-10-27 0820 OL8W          59 15 HL5UOG        59 25
QSO: 28000 PH 2013-10-27 0824 OL8W          59 15 YB0NFL        59 28
QSO: 28410 PH 2013-10-27 0830 OL8W          59 15 D4C           59 35
QSO: 28000 PH 2013-10-27 0834 OL8W          59 15 JR2PMT        59 25
QSO: 28565 PH 2013-10-27 0834 OL8W          59 15 RZ9UI         59 18
QSO: 28000 PH 2013-10-27 0835 OL8W          59 15 JH4BTI        59 25
QSO: 28000 PH 2013-10-27 0835 OL8W          59 15 RV4LC         59 16
QSO: 28000 PH 2013-10-27 0848 OL8W          59 15 R8MD          59 17
QSO: 28642 PH 2013-10-27 0848 OL8W          59 15 DM8T          59 14
QSO: 28000 PH 2013-10-27 0850 OL8W          59 15 JA3LEZ        59 25
QSO: 28000 PH 2013-10-27 1223 OL8W          59 15 LY2AE         59 15
QSO: 28000 PH 2013-10-27 1223 OL8W          59 15 N1VVV         59 05
QSO: 28550 PH 2013-10-27 1223 OL8W          59 15 N2JF          59 5
QSO: 28550 PH 2013-10-27 1224 OL8W          59 15 VE3IQ         59 4
QSO: 28550 PH 2013-10-27 1224 OL8W          59 15 VE9ML         59 5
QSO: 28550 PH 2013-10-27 1225 OL8W          59 15 IK7HTB        59 15
QSO: 28000 PH 2013-10-27 1226 OL8W          59 15 YV6BFE        59 9
QSO: 28550 PH 2013-10-27 1226 OL8W          59 15 NB3R          59 5
QSO: 28550 PH 2013-10-27 1226 OL8W          59 15 S52ZW         59 15
QSO: 28550 PH 2013-10-27 1227 OL8W          59 15 NT4D          59 05
QSO: 28550 PH 2013-10-27 1227 OL8W          59 15 WJ2D          59 5
QSO: 28549 PH 2013-10-27 1228 OL8W          59 15 K3LR          59 05
QSO: 28549 PH 2013-10-27 1228 OL8W          59 15 W3GM          59 5
QSO: 28550 PH 2013-10-27 1228 OL8W          59 15 K2AX          59 5
QSO: 28550 PH 2013-10-27 1228 OL8W          59 15 KM1W          59 5
QSO: 28550 PH 2013-10-27 1228 OL8W          59 15 W1MSW         59 5
QSO: 28550 PH 2013-10-27 1228 OL8W          59 15 W3GQ          59 5
QSO: 28000 PH 2013-10-27 1229 OL8W          59 15 EA6OM         59 14
QSO: 28000 PH 2013-10-27 1229 OL8W          59 15 W1OP          59 05
QSO: 28549 PH 2013-10-27 1229 OL8W          59 15 RN8W          59 16
QSO: 28550 PH 2013-10-27 1229 OL8W          59 15 ED7T          59 14
QSO: 28550 PH 2013-10-27 1229 OL8W          59 15 K2DSL         59 5
QSO: 28000 PH 2013-10-27 1230 OL8W          59 15 R3ZW          59 16
QSO: 28550 PH 2013-10-27 1230 OL8W          59 15 SP7LSL        59 15
QSO: 28550 PH 2013-10-27 1231 OL8W          59 15 N3QE          59 5
QSO: 28549 PH 2013-10-27 1232 OL8W          59 15 W3MF          59 5
QSO: 28550 PH 2013-10-27 1232 OL8W          59 15 KS1J          59 5
QSO: 28550 PH 2013-10-27 1232 OL8W          59 15 N4HB          59 5
QSO: 28550 PH 2013-10-27 1232 OL8W          59 15 SP1RKT        59 15
QSO: 28000 PH 2013-10-27 1233 OL8W          59 15 KK4HEG        59 5
QSO: 28000 PH 2013-10-27 1233 OL8W          59 15 LA6GX         59 14
QSO: 28550 PH 2013-10-27 1233 OL8W          59 15 AA3K          59 5
QSO: 28550 PH 2013-10-27 1233 OL8W          59 15 W3EKT         59 5
QSO: 28000 PH 2013-10-27 1234 OL8W          59 15 KZ4G          59 5
QSO: 28549 PH 2013-10-27 1234 OL8W          59 15 WW2Y          59 05
QSO: 28550 PH 2013-10-27 1234 OL8W          59 15 AB3IC         59 5
QSO: 28550 PH 2013-10-27 1234 OL8W          59 15 WK1J          59 5
QSO: 28550 PH 2013-10-27 1235 OL8W          59 15 N3RR          59 5
QSO: 28550 PH 2013-10-27 1235 OL8W          59 15 W3MR          59 5
QSO: 28550 PH 2013-10-27 1235 OL8W          59 15 W4CU          59 5
QSO: 28550 PH 2013-10-27 1236 OL8W          59 15 W1QK          59 5
QSO: 28550 PH 2013-10-27 1237 OL8W          59 15 K2QPN         59 5
QSO: 28000 PH 2013-10-27 1238 OL8W          59 15 W4KW          59 4
QSO: 28550 PH 2013-10-27 1238 OL8W          59 15 W3OA          59 5
QSO: 28549 PH 2013-10-27 1239 OL8W          59 15 K1LZ          59 5
QSO: 28549 PH 2013-10-27 1239 OL8W          59 15 KC1XX         59 5
QSO: 28000 PH 2013-10-27 1240 OL8W          59 15 N2VM          59 5
QSO: 28000 PH 2013-10-27 1240 OL8W          59 15 UA4NC         59 16
QSO: 28000 PH 2013-10-27 1256 OL8W          59 15 KP4ROS        59 8
QSO: 28000 PH 2013-10-27 1332 OL8W          59 15 W9JA          59 04
QSO: 28000 PH 2013-10-27 1334 OL8W          59 15 VA3WU         59 04
QSO: 28000 PH 2013-10-27 1335 OL8W          59 15 W9ROG         59 4
QSO: 28979 PH 2013-10-27 1337 OL8W          59 15 K1JB/VE9      59 5
QSO: 28960 PH 2013-10-27 1338 OL8W          59 15 C6ARW         59 8
QSO: 28000 PH 2013-10-27 1342 OL8W          59 15 PT2ADM        59 11
QSO: 28573 PH 2013-10-27 1342 OL8W          59 15 VE3NB         59 04
QSO: 28000 PH 2013-10-27 1343 OL8W          59 15 IZ2ABI        59 15
QSO: 28572 PH 2013-10-27 1346 OL8W          59 15 KM4JA         59 4
QSO: 28572 PH 2013-10-27 1347 OL8W          59 15 VE3RCN        59 4
QSO: 28000 PH 2013-10-27 1348 OL8W          59 15 K8CX          59 4
QSO: 28000 PH 2013-10-27 1348 OL8W          59 15 VU2JOS        59 22
QSO: 28000 PH 2013-10-27 1349 OL8W          59 15 K0SIX         59 4
QSO: 28572 PH 2013-10-27 1349 OL8W          59 15 OH6ECM        59 15
QSO: 28573 PH 2013-10-27 1349 OL8W          59 15 N9MW          59 4
QSO: 28572 PH 2013-10-27 1350 OL8W          59 15 AA4VV         59 5
QSO: 28572 PH 2013-10-27 1353 OL8W          59 15 K5ZD          59 05
QSO: 28573 PH 2013-10-27 1353 OL8W          59 15 K0QB          59 4
QSO: 28573 PH 2013-10-27 1354 OL8W          59 15 N2BJ          59 04
QSO: 28000 PH 2013-10-27 1355 OL8W          59 15 SP5EWX        59 15
QSO: 28572 PH 2013-10-27 1355 OL8W          59 15 N9ZM          59 04
QSO: 28572 PH 2013-10-27 1355 OL8W          59 15 W2LE          59 05
QSO: 28573 PH 2013-10-27 1355 OL8W          59 15 AD4ES         59 5
QSO: 28573 PH 2013-10-27 1356 OL8W          59 15 WG3J          59 5
QSO: 28000 PH 2013-10-27 1357 OL8W          59 15 W3EC          59 5
QSO: 28572 PH 2013-10-27 1358 OL8W          59 15 SP6EQZ        59 15
QSO: 28572 PH 2013-10-27 1358 OL8W          59 15 UT2UU         59 16
QSO: 28000 PH 2013-10-27 1359 OL8W          59 15 W0SEI         59 4
QSO: 28572 PH 2013-10-27 1359 OL8W          59 15 LU7MT         59 13
QSO: 28572 PH 2013-10-27 1400 OL8W          59 15 KC9QQ         59 4
QSO: 28573 PH 2013-10-27 1400 OL8W          59 15 K1RH          59 05
QSO: 28573 PH 2013-10-27 1400 OL8W          59 15 WE9V          59 4
QSO: 28572 PH 2013-10-27 1401 OL8W          59 15 K1ZO          59 5
QSO: 28572 PH 2013-10-27 1402 OL8W          59 15 W3LPL         59 5
QSO: 28573 PH 2013-10-27 1402 OL8W          59 15 KR4F          59 4
QSO: 28573 PH 2013-10-27 1403 OL8W          59 15 W1NA          59 5
QSO: 28000 PH 2013-10-27 1404 OL8W          59 15 K9CIV         59 04
QSO: 28573 PH 2013-10-27 1404 OL8W          59 15 K1ZZI         59 5
QSO: 28573 PH 2013-10-27 1404 OL8W          59 15 W2IRT         59 5
QSO: 28000 PH 2013-10-27 1405 OL8W          59 15 K3ZA          59 05
QSO: 28573 PH 2013-10-27 1406 OL8W          59 15 K4GAA         59 5
QSO: 28573 PH 2013-10-27 1407 OL8W          59 15 KC4HW         59 4
QSO: 28268 PH 2013-10-27 1410 OL8W          59 15 YN5Z          59 07
QSO: 28273 PH 2013-10-27 1410 OL8W          59 15 CJ3T          59 04
QSO: 28284 PH 2013-10-27 1412 OL8W          59 15 TI5W          59 7
QSO: 28586 PH 2013-10-27 1432 OL8W          59 15 KA1ZD         59 5
QSO: 28000 PH 2013-10-27 1433 OL8W          59 15 N3QC          59 5
QSO: 28000 PH 2013-10-27 1434 OL8W          59 15 KK9X          59 04
QSO: 28000 PH 2013-10-27 1435 OL8W          59 15 W1MR          59 05
QSO: 28000 PH 2013-10-27 1435 OL8W          59 15 XE2JS         59 06
QSO: 28586 PH 2013-10-27 1435 OL8W          59 15 KA2D          59 5
QSO: 28585 PH 2013-10-27 1436 OL8W          59 15 N1EU          59 5
QSO: 28000 PH 2013-10-27 1552 OL8W          59 15 HK1NA         59 09
QSO: 28398 PH 2013-10-27 1553 OL8W          59 15 KP4BD         59 8
QSO: 28407 PH 2013-10-27 1555 OL8W          59 15 PJ6A          59 8
QSO: 28000 PH 2013-10-27 1556 OL8W          59 15 T48K          59 8
QSO: 28892 PH 2013-10-27 1600 OL8W          59 15 PX2W          59 11
QSO: 28872 PH 2013-10-27 1603 OL8W          59 15 AY5F          59 13
QSO: 28000 PH 2013-10-27 1604 OL8W          59 15 W3ML          59 4
QSO: 28589 PH 2013-10-27 1604 OL8W          59 15 KD7MSC        59 3
QSO: 28589 PH 2013-10-27 1604 OL8W          59 15 KU4V          59 05
QSO: 28589 PH 2013-10-27 1604 OL8W          59 15 ND4V          59 5
QSO: 28000 PH 2013-10-27 1605 OL8W          59 15 NA0BR         59 04
QSO: 28588 PH 2013-10-27 1605 OL8W          59 15 K1TN          59 04
QSO: 28589 PH 2013-10-27 1605 OL8W          59 15 KA6BIM        59 03
QSO: 28000 PH 2013-10-27 1606 OL8W          59 15 AA5BE         59 04
QSO: 28000 PH 2013-10-27 1607 OL8W          59 15 K5RR          59 3
QSO: 28589 PH 2013-10-27 1607 OL8W          59 15 VE3TU         59 4
QSO: 28589 PH 2013-10-27 1607 OL8W          59 15 VE6CMV        59 4
QSO: 28589 PH 2013-10-27 1609 OL8W          59 15 VA6UK         59 04
