START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-SSB
CALLSIGN: OK2KJU
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: OK2KJU
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-SSB CQWW/ph/2014.
QSO:  3500 PH 2014-10-25 0047 OK2KJU        59 15 HG1S          59 15
QSO: 21443 PH 2014-10-25 0643 OK2KJU        59 15 VK9LM         59 30
QSO: 21435 PH 2014-10-25 0726 OK2KJU        59 15 TO0X          59 39
QSO: 21323 PH 2014-10-25 1122 OK2KJU        59 15 TO2A          59 9
QSO: 21172 PH 2014-10-25 1129 OK2KJU        59 15 TO5A          59 8
QSO: 28314 PH 2014-10-25 1217 OK2KJU        59 15 N1UR          59 5
QSO: 21323 PH 2014-10-25 1231 OK2KJU        59 15 TO2A          59 9
QSO: 21151 PH 2014-10-25 1237 OK2KJU        59 15 TO5A          59 8
QSO: 28811 PH 2014-10-25 1414 OK2KJU        59 15 N2SR          59 5
QSO: 28848 PH 2014-10-25 1418 OK2KJU        59 15 K1KP          59 5
QSO: 28898 PH 2014-10-25 1423 OK2KJU        59 15 W0AIH         59 04
QSO: 28903 PH 2014-10-25 1424 OK2KJU        59 15 K3CR          59 5
QSO: 28000 PH 2014-10-25 1425 OK2KJU        59 15 NA5NN         59 04
QSO: 28948 PH 2014-10-25 1426 OK2KJU        59 15 K1KI          59 5
QSO: 28967 PH 2014-10-25 1429 OK2KJU        59 15 W9RE          59 4
QSO: 28000 PH 2014-10-25 1439 OK2KJU        59 15 7X2JV         59 33
QSO: 28275 PH 2014-10-25 1442 OK2KJU        59 15 VA3MW         59 4
QSO: 28289 PH 2014-10-25 1447 OK2KJU        59 15 CG3AT         59 04
QSO: 28485 PH 2014-10-25 1502 OK2KJU        59 15 PX2B          59 11
QSO: 28548 PH 2014-10-25 1517 OK2KJU        59 15 CN3A          59 33
QSO: 28663 PH 2014-10-25 1525 OK2KJU        59 15 TF3CY         59 40
QSO: 28801 PH 2014-10-25 1551 OK2KJU        59 15 K9BGL         59 04
QSO: 28335 PH 2014-10-26 1219 OK2KJU        59 15 N2TX          59 05
QSO: 28375 PH 2014-10-26 1223 OK2KJU        59 15 VU2RCT        59 22
QSO: 28395 PH 2014-10-26 1230 OK2KJU        59 15 WE3C          59 5
QSO: 28515 PH 2014-10-26 1245 OK2KJU        59 15 K2LE          59 5
QSO: 28712 PH 2014-10-26 1308 OK2KJU        59 15 W2GN          59 5
QSO: 28790 PH 2014-10-26 1315 OK2KJU        59 15 C45T          59 20
QSO: 28820 PH 2014-10-26 1318 OK2KJU        59 15 KG1E          59 5
QSO: 28921 PH 2014-10-26 1325 OK2KJU        59 15 W2GN          59 5
QSO: 28276 PH 2014-10-26 1342 OK2KJU        59 15 VO1KVT        59 5
QSO: 14200 PH 2014-10-26 1718 OK2KJU        59 15 B4L           59 24
QSO: 21000 PH 2014-10-26 1921 OK2KJU        59 15 3G3I          59 12
END-OF-LOG:
