START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-SSB
CALLSIGN: IK2EBP
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: IK2EBP
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-SSB CQWW/ph/2015.
QSO: 21178 PH 2015-10-24 1550 IK2EBP        59 15 4L0A          59 21
QSO: 21135 PH 2015-10-24 1556 IK2EBP        59 15 VE3JM         59 4
QSO: 21142 PH 2015-10-24 1558 IK2EBP        59 15 RO2E          59 16
QSO: 21191 PH 2015-10-24 1612 IK2EBP        59 15 CR5T          59 14
QSO: 21198 PH 2015-10-24 1614 IK2EBP        59 15 EF8U          59 33
QSO: 21202 PH 2015-10-24 1617 IK2EBP        59 15 KC1XX         59 5
QSO: 21217 PH 2015-10-24 1623 IK2EBP        59 15 CN2R          59 33
QSO: 21225 PH 2015-10-24 1628 IK2EBP        59 15 N2IC          59 4
QSO: 21228 PH 2015-10-24 1630 IK2EBP        59 15 K4TCG         59 4
QSO: 21244 PH 2015-10-24 1637 IK2EBP        59 15 CN3A          59 33
QSO: 21252 PH 2015-10-24 1640 IK2EBP        59 15 J43TR         59 20
QSO: 21290 PH 2015-10-24 1644 IK2EBP        59 15 9A1A          59 15
QSO: 21298 PH 2015-10-24 1647 IK2EBP        59 15 K6ND          59 5
QSO: 21356 PH 2015-10-24 1657 IK2EBP        59 15 J42T          59 20
QSO: 21367 PH 2015-10-24 1700 IK2EBP        59 15 EA1BLI        59 14
QSO: 21392 PH 2015-10-24 1701 IK2EBP        59 15 OM1DK         59 15
QSO: 21408 PH 2015-10-24 1702 IK2EBP        59 15 YV4NN         59 09
QSO: 21430 PH 2015-10-24 1706 IK2EBP        59 15 VA2WA         59 5
QSO: 21443 PH 2015-10-24 1707 IK2EBP        59 15 N1UR          59 5
QSO: 21153 PH 2015-10-24 1711 IK2EBP        59 15 VA7ST         59 3
QSO: 21169 PH 2015-10-24 1717 IK2EBP        59 15 ZY2A          59 11
QSO: 21197 PH 2015-10-24 1720 IK2EBP        59 15 LZ9W          59 20
QSO: 21202 PH 2015-10-24 1721 IK2EBP        59 15 KC1XX         59 5
END-OF-LOG:
