START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-SSB
CALLSIGN: JA6GCE
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: JA6GCE
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-SSB CQWW/ph/2015.
QSO: 21200 PH 2015-10-24 0018 JA6GCE        59 27 LT1F          59 13
QSO: 28511 PH 2015-10-24 0034 JA6GCE        59 25 K6XX          59 3
QSO: 21267 PH 2015-10-24 0041 JA6GCE        59 25 9Y4W          59 9
QSO: 21398 PH 2015-10-24 0049 JA6GCE        59 25 FY5KE         59 09
QSO: 21239 PH 2015-10-24 0050 JA6GCE        59 25 K3LR          59 5
QSO: 21401 PH 2015-10-24 0052 JA6GCE        59 25 AL9A          59 01
QSO: 21264 PH 2015-10-24 0055 JA6GCE        59 25 N7DD          59 3
QSO: 21388 PH 2015-10-24 0208 JA6GCE        59 25 N6TR          59 3
QSO: 21000 PH 2015-10-24 0210 JA6GCE        59 25 W6AFA         59 03
QSO: 21253 PH 2015-10-24 0210 JA6GCE        59 25 K3EST         59 3
QSO: 21302 PH 2015-10-24 0211 JA6GCE        59 25 N5DX          59 4
QSO: 21304 PH 2015-10-24 0211 JA6GCE        59 25 9V1YC         59 28
QSO: 21000 PH 2015-10-24 0212 JA6GCE        59 25 KV0Q          59 4
QSO: 21000 PH 2015-10-24 0212 JA6GCE        59 25 VR2XMT        59 24
QSO: 21319 PH 2015-10-24 0212 JA6GCE        59 25 K7RL          59 3
QSO: 21000 PH 2015-10-24 0220 JA6GCE        59 25 4W/JE1CKA     59 28
QSO: 21000 PH 2015-10-24 0221 JA6GCE        59 25 V84CQ         59 28
QSO: 21212 PH 2015-10-24 2225 JA6GCE        59 25 PJ4X          59 9
QSO: 21270 PH 2015-10-24 2226 JA6GCE        59 25 YV1KK         59 9
QSO: 21315 PH 2015-10-24 2227 JA6GCE        59 25 PJ2T          59 9
QSO: 21417 PH 2015-10-24 2233 JA6GCE        59 25 8P5A          59 8
QSO: 21407 PH 2015-10-24 2234 JA6GCE        59 25 YV4NN         59 09
QSO: 21300 PH 2015-10-24 2236 JA6GCE        59 25 K2YY          59 03
QSO: 21282 PH 2015-10-24 2238 JA6GCE        59 25 VA2WA         59 5
QSO: 21255 PH 2015-10-24 2240 JA6GCE        59 25 NX1P          59 3
QSO: 21261 PH 2015-10-24 2240 JA6GCE        59 25 V47T          59 8
QSO: 21226 PH 2015-10-24 2241 JA6GCE        59 25 KH6J          59 31
QSO: 21369 PH 2015-10-24 2244 JA6GCE        59 25 CF3A          59 04
QSO: 21445 PH 2015-10-24 2246 JA6GCE        59 25 NP2N          59 08
QSO: 21398 PH 2015-10-24 2247 JA6GCE        59 25 HI3TEJ        59 08
QSO: 21384 PH 2015-10-24 2248 JA6GCE        59 25 TO4K          59 8
QSO: 21000 PH 2015-10-24 2252 JA6GCE        59 25 YS1YS         59 7
QSO: 21222 PH 2015-10-24 2253 JA6GCE        59 25 KG2A/KH2      59 27
QSO: 21363 PH 2015-10-24 2259 JA6GCE        59 25 K6LL          59 3
QSO: 21386 PH 2015-10-24 2300 JA6GCE        59 25 HI3K          59 8
QSO: 21379 PH 2015-10-24 2302 JA6GCE        59 25 K9CT          59 4
QSO: 21434 PH 2015-10-24 2312 JA6GCE        59 25 ZW5B          59 11
QSO: 21437 PH 2015-10-24 2313 JA6GCE        59 25 JR4OZR        59 25
QSO: 21340 PH 2015-10-24 2315 JA6GCE        59 25 VA7RR         59 3
QSO: 14155 PH 2015-10-24 2321 JA6GCE        59 25 W3LPL         59 5
QSO: 14161 PH 2015-10-24 2322 JA6GCE        59 25 WE3C          59 5
QSO: 14165 PH 2015-10-24 2323 JA6GCE        59 25 KC1XX         59 5
QSO: 14189 PH 2015-10-24 2324 JA6GCE        59 25 TO4K          59 8
QSO: 14211 PH 2015-10-24 2326 JA6GCE        59 25 PJ4X          59 9
QSO: 14228 PH 2015-10-24 2327 JA6GCE        59 25 P49Y          59 9
QSO: 14246 PH 2015-10-24 2329 JA6GCE        59 25 V47T          59 8
QSO: 21000 PH 2015-10-24 2334 JA6GCE        59 25 XE2CQ         59 06
QSO: 21392 PH 2015-10-24 2335 JA6GCE        59 25 PS2T          59 11
QSO: 21439 PH 2015-10-24 2335 JA6GCE        59 25 KP2M          59 8
QSO: 21323 PH 2015-10-25 0150 JA6GCE        59 25 KA6BIM        59 3
QSO: 21233 PH 2015-10-25 0151 JA6GCE        59 25 K6XX          59 3
QSO: 28429 PH 2015-10-25 0802 JA6GCE        59 25 UP2L          59 17
QSO: 14329 PH 2015-10-25 2350 JA6GCE        59 25 6Y9X          59 8
END-OF-LOG:
