START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-SSB
CALLSIGN: K8ED
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: K8ED
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-SSB CQWW/ph/2015.
QSO: 21000 PH 2015-10-24 0040 K8ED          59 04 JA7QVI        59 25
QSO: 14317 PH 2015-10-24 0130 K8ED          59 04 6Y9X          59 8
QSO: 14331 PH 2015-10-24 0131 K8ED          59 04 C4A           59 20
QSO: 14296 PH 2015-10-24 0235 K8ED          59 04 TO4K          59 8
QSO: 14279 PH 2015-10-24 0242 K8ED          59 04 EF8R          59 33
QSO: 14240 PH 2015-10-24 0243 K8ED          59 04 V26B          59 8
QSO: 14206 PH 2015-10-24 0303 K8ED          59 04 CN3A          59 33
QSO: 14257 PH 2015-10-24 0310 K8ED          59 04 CR3A          59 33
QSO: 28369 PH 2015-10-24 1911 K8ED          59 04 TO4K          59 8
QSO: 28483 PH 2015-10-24 1913 K8ED          59 04 ZF2AH         59 08
QSO: 28446 PH 2015-10-24 1915 K8ED          59 04 V47T          59 8
QSO: 28486 PH 2015-10-24 1924 K8ED          59 04 ZD7W          59 36
QSO: 28470 PH 2015-10-24 1927 K8ED          59 04 D4Z           59 35
QSO: 28468 PH 2015-10-24 1928 K8ED          59 04 VA7BEC        59 3
QSO: 14275 PH 2015-10-25 0239 K8ED          59 04 CN2AA         59 33
QSO: 14216 PH 2015-10-25 0251 K8ED          59 04 V47T          59 8
QSO: 28514 PH 2015-10-25 1446 K8ED          59 04 CN2R          59 33
QSO: 28529 PH 2015-10-25 1450 K8ED          59 04 GM2V          59 14
QSO: 28537 PH 2015-10-25 1452 K8ED          59 4 YN5Z          59 07
QSO: 28601 PH 2015-10-25 1454 K8ED          59 04 SO9T          59 15
QSO: 28679 PH 2015-10-25 1456 K8ED          59 04 G5O           59 14
QSO: 28000 PH 2015-10-25 1457 K8ED          59 04 HK1NA         59 9
QSO: 28543 PH 2015-10-25 1459 K8ED          59 04 OK7K          59 15
QSO: 28544 PH 2015-10-25 1504 K8ED          59 04 HG2ITU        59 15
QSO: 28570 PH 2015-10-25 1509 K8ED          59 4 P40A          59 9
QSO: 28597 PH 2015-10-25 1509 K8ED          59 04 OM7M          59 15
QSO: 28586 PH 2015-10-25 1510 K8ED          59 04 HA8JV         59 15
QSO: 28461 PH 2015-10-25 1516 K8ED          59 04 HG1S          59 15
QSO: 28000 PH 2015-10-25 1518 K8ED          59 4 S58D          59 15
QSO: 28355 PH 2015-10-25 1520 K8ED          59 04 CN2AA         59 33
QSO: 28406 PH 2015-10-25 1526 K8ED          59 04 DL5L          59 14
QSO: 28494 PH 2015-10-25 1530 K8ED          59 04 9A1A          59 15
QSO: 28415 PH 2015-10-25 1531 K8ED          59 04 EA3CCN        59 14
QSO: 28391 PH 2015-10-25 1532 K8ED          59 04 9A1P          59 15
QSO: 28463 PH 2015-10-25 1535 K8ED          59 04 9A7A          59 15
QSO: 28469 PH 2015-10-25 1536 K8ED          59 04 DK3T          59 14
QSO: 28423 PH 2015-10-25 1538 K8ED          59 4 PA3AAV        59 14
QSO: 28412 PH 2015-10-25 1539 K8ED          59 04 PI4DX         59 14
QSO: 28491 PH 2015-10-25 1540 K8ED          59 04 HB2T          59 14
QSO: 28477 PH 2015-10-25 1548 K8ED          59 04 IR4M          59 15
QSO: 28426 PH 2015-10-25 1549 K8ED          59 04 DF0HQ         59 14
QSO: 28338 PH 2015-10-25 1555 K8ED          59 04 F4FLQ         59 14
QSO: 28610 PH 2015-10-25 1559 K8ED          59 04 V3A           59 7
QSO: 28000 PH 2015-10-25 1602 K8ED          59 04 OR1Z          59 14
QSO: 28710 PH 2015-10-25 1604 K8ED          59 04 OT5A          59 14
QSO: 28752 PH 2015-10-25 1606 K8ED          59 04 TO4K          59 8
END-OF-LOG:
