START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-SSB
CALLSIGN: CT2JVP
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: CT2JVP
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-SSB CQWW/ph/2019.
QSO: 21273 PH 2019-10-26 1246 CT2JVP        59 14 ED7R          59 14
QSO: 21371 PH 2019-10-26 1249 CT2JVP        59 14 SV9DJO        59 20
QSO: 28000 PH 2019-10-26 1254 CT2JVP        59 14 V55A          59 38
QSO: 28000 PH 2019-10-26 1255 CT2JVP        59 14 FR4QT         59 39
QSO: 28427 PH 2019-10-26 1255 CT2JVP        59 14 D4C           59 35
QSO: 28433 PH 2019-10-26 1256 CT2JVP        59 14 CR3DX         59 33
QSO: 28480 PH 2019-10-26 1259 CT2JVP        59 14 IB9A          59 15
QSO: 21286 PH 2019-10-26 1305 CT2JVP        59 14 TC0F          59 20
QSO: 21153 PH 2019-10-26 1307 CT2JVP        59 14 8P5A          59 8
QSO: 28437 PH 2019-10-26 1313 CT2JVP        59 14 6W1RY         59 35
QSO: 28462 PH 2019-10-26 1315 CT2JVP        59 14 CN3A          59 33
QSO: 28437 PH 2019-10-26 1321 CT2JVP        59 14 6W1RY         59 35
QSO: 14318 PH 2019-10-26 1333 CT2JVP        59 14 A44A          59 21
QSO: 21279 PH 2019-10-26 1349 CT2JVP        59 14 N1RR          59 5
QSO: 21364 PH 2019-10-26 1350 CT2JVP        59 14 K3WW          59 5
QSO: 21393 PH 2019-10-26 1350 CT2JVP        59 14 SV2JAO        59 20
QSO: 21213 PH 2019-10-26 1351 CT2JVP        59 14 N3RS          59 5
QSO: 21398 PH 2019-10-26 1354 CT2JVP        59 14 AA3B          59 5
QSO: 28397 PH 2019-10-27 1500 CT2JVP        59 14 EF8R          59 33
QSO: 28541 PH 2019-10-27 1502 CT2JVP        59 14 EA8TX         59 33
QSO: 28466 PH 2019-10-27 1504 CT2JVP        59 14 6W1RY         59 35
END-OF-LOG:
