START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-SSB
CALLSIGN: PY2WH
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: PY2WH
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-SSB CQWW/ph/2021.
QSO: 28490 PH 2021-10-30 1415 PY2WH         59 11 SZ1A          59 20
QSO: 28000 PH 2021-10-31 1748 PY2WH         59 11 LW4EF         59 13
QSO: 28459 PH 2021-10-31 1800 PY2WH         59 11 E7AA          59 15
QSO: 28488 PH 2021-10-31 1810 PY2WH         59 11 LU1DX         59 13
QSO: 28515 PH 2021-10-31 1814 PY2WH         59 11 LR3D          59 13
QSO: 28520 PH 2021-10-31 1816 PY2WH         59 11 W5PR          59 4
QSO: 28000 PH 2021-10-31 1822 PY2WH         59 11 LU9VYY        59 13
QSO: 28000 PH 2021-10-31 1826 PY2WH         59 11 PY2EX         59 11
QSO: 28000 PH 2021-10-31 1828 PY2WH         59 11 KA2FIR        59 05
QSO: 28633 PH 2021-10-31 1828 PY2WH         59 11 W3LPL         59 05
QSO: 28633 PH 2021-10-31 1829 PY2WH         59 11 WA3C          59 4
QSO: 28634 PH 2021-10-31 1829 PY2WH         59 11 K1TTT         59 5
QSO: 28634 PH 2021-10-31 1829 PY2WH         59 11 NX3A          59 5
QSO: 28634 PH 2021-10-31 1829 PY2WH         59 11 W2RD          59 5
QSO: 28634 PH 2021-10-31 1829 PY2WH         59 11 W3JX          59 05
QSO: 28000 PH 2021-10-31 1830 PY2WH         59 11 W4KW          59 04
QSO: 28634 PH 2021-10-31 1831 PY2WH         59 11 AD3C          59 5
QSO: 28633 PH 2021-10-31 1832 PY2WH         59 11 NC0B          59 4
QSO: 28634 PH 2021-10-31 1833 PY2WH         59 11 KF2O          59 05
QSO: 28634 PH 2021-10-31 1834 PY2WH         59 11 WV4P          59 4
QSO: 28634 PH 2021-10-31 1834 PY2WH         59 11 WX3B          59 5
QSO: 28633 PH 2021-10-31 1835 PY2WH         59 11 K3LR          59 05
QSO: 28634 PH 2021-10-31 1835 PY2WH         59 11 W3GM          59 05
QSO: 28634 PH 2021-10-31 1835 PY2WH         59 11 WA3EKL        59 5
QSO: 28634 PH 2021-10-31 1836 PY2WH         59 11 N3FJP         59 05
QSO: 28633 PH 2021-10-31 1837 PY2WH         59 11 W6YX          59 03
QSO: 28634 PH 2021-10-31 1837 PY2WH         59 11 W3MF          59 5
QSO: 28634 PH 2021-10-31 1837 PY2WH         59 11 WC3N          59 05
QSO: 28634 PH 2021-10-31 1838 PY2WH         59 11 K1CC          59 5
QSO: 28634 PH 2021-10-31 1838 PY2WH         59 11 K3EST         59 3
QSO: 28634 PH 2021-10-31 1839 PY2WH         59 11 W1PR          59 3
QSO: 28634 PH 2021-10-31 1840 PY2WH         59 11 W0MB          59 4
QSO: 28634 PH 2021-10-31 1842 PY2WH         59 11 N1RM          59 5
QSO: 28634 PH 2021-10-31 1842 PY2WH         59 11 WO4O          59 5
QSO: 28000 PH 2021-10-31 1843 PY2WH         59 11 PU2MIW        59 11
QSO: 28000 PH 2021-10-31 1843 PY2WH         59 11 PY2ZYV        59 11
QSO: 28634 PH 2021-10-31 1844 PY2WH         59 11 N3UA          59 5
QSO: 28634 PH 2021-10-31 1844 PY2WH         59 11 N8RA          59 5
QSO: 28634 PH 2021-10-31 1845 PY2WH         59 11 K1MM          59 5
QSO: 28000 PH 2021-10-31 1846 PY2WH         59 11 YY6LR         59 09
QSO: 28634 PH 2021-10-31 1846 PY2WH         59 11 HI3LT         59 8
QSO: 28634 PH 2021-10-31 1846 PY2WH         59 11 K5KJ          59 4
QSO: 28000 PH 2021-10-31 1925 PY2WH         59 11 PU2SDX        59 11
QSO: 28412 PH 2021-10-31 1926 PY2WH         59 11 W3LPL         59 05
QSO: 28493 PH 2021-10-31 1928 PY2WH         59 11 K9CT          59 4
QSO: 28500 PH 2021-10-31 1930 PY2WH         59 11 K2AX          59 5
QSO: 28542 PH 2021-10-31 1935 PY2WH         59 11 N6SS          59 3
QSO: 28542 PH 2021-10-31 1939 PY2WH         59 11 WO2T          59 5
QSO: 28542 PH 2021-10-31 1940 PY2WH         59 11 W6KAP         59 3
QSO: 21285 PH 2021-10-31 2235 PY2WH         59 11 PJ7P          59 8
QSO: 21234 PH 2021-10-31 2246 PY2WH         59 11 JE1CKA        59 25
QSO: 21227 PH 2021-10-31 2248 PY2WH         59 11 N4OX          59 5
QSO: 28474 PH 2021-10-31 2310 PY2WH         59 11 D4F           59 35
QSO: 28421 PH 2021-10-31 2336 PY2WH         59 11 VR2XAN        59 24
QSO: 28000 PH 2021-10-31 2341 PY2WH         59 11 YV4EK         59 9
QSO: 28507 PH 2021-10-31 2346 PY2WH         59 11 DU3TW         59 27
QSO: 28454 PH 2021-10-31 2356 PY2WH         59 11 4M1W          59 9
END-OF-LOG:
