START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-SSB
CALLSIGN: KE2R
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: KE2R
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-SSB CQWW/ph/2022.
QSO: 21218 PH 2022-10-30 1506 KE2R          59 05 PJ2T          59 9
QSO: 21226 PH 2022-10-30 1508 KE2R          59 05 CR3DX         59 33
QSO: 21232 PH 2022-10-30 1509 KE2R          59 05 F4IVV         59 14
QSO: 21234 PH 2022-10-30 1510 KE2R          59 05 EE5K          59 14
QSO: 21250 PH 2022-10-30 1511 KE2R          59 05 S50R          59 15
QSO: 21253 PH 2022-10-30 1512 KE2R          59 05 YT0Z          59 15
QSO: 21255 PH 2022-10-30 1513 KE2R          59 05 LZ2VU         59 20
QSO: 21256 PH 2022-10-30 1513 KE2R          59 05 DF0HQ         59 14
QSO: 21260 PH 2022-10-30 1514 KE2R          59 05 LN8W          59 14
QSO: 21263 PH 2022-10-30 1515 KE2R          59 05 MW0JKU        59 14
QSO: 21264 PH 2022-10-30 1515 KE2R          59 05 D4Z           59 35
QSO: 21276 PH 2022-10-30 1527 KE2R          59 05 IO0A          59 15
QSO: 21280 PH 2022-10-30 1527 KE2R          59 05 M0HFC         59 14
QSO: 21284 PH 2022-10-30 1527 KE2R          59 05 M6T           59 14
QSO: 21290 PH 2022-10-30 1528 KE2R          59 05 LZ9W          59 20
QSO: 21293 PH 2022-10-30 1529 KE2R          59 05 HA8A          59 15
QSO: 21297 PH 2022-10-30 1529 KE2R          59 05 OK7W          59 15
QSO: 21300 PH 2022-10-30 1530 KE2R          59 05 OH1F          59 15
QSO: 21301 PH 2022-10-30 1532 KE2R          59 05 IQ4FA         59 15
QSO: 21302 PH 2022-10-30 1533 KE2R          59 05 M4A           59 14
QSO: 21305 PH 2022-10-30 1535 KE2R          59 05 ED1R          59 14
QSO: 21308 PH 2022-10-30 1537 KE2R          59 05 IB0L          59 15
QSO: 21310 PH 2022-10-30 1538 KE2R          59 05 UW5Y          59 16
QSO: 21313 PH 2022-10-30 1540 KE2R          59 05 TM7A          59 14
QSO: 21314 PH 2022-10-30 1541 KE2R          59 05 P33W          59 20
QSO: 21316 PH 2022-10-30 1541 KE2R          59 05 YT5A          59 15
QSO: 21325 PH 2022-10-30 1543 KE2R          59 05 EA8RM         59 33
QSO: 21327 PH 2022-10-30 1543 KE2R          59 5 S50K          59 15
QSO: 21332 PH 2022-10-30 1544 KE2R          59 05 OL5Y          59 15
QSO: 21335 PH 2022-10-30 1546 KE2R          59 05 HG7T          59 15
QSO: 21338 PH 2022-10-30 1547 KE2R          59 05 MD4K          59 14
QSO: 21341 PH 2022-10-30 1548 KE2R          59 05 CN3A          59 33
QSO: 21344 PH 2022-10-30 1549 KE2R          59 05 RL3A          59 16
QSO: 28300 PH 2022-10-30 1553 KE2R          59 05 Z35T          59 15
QSO: 28000 PH 2022-10-30 1554 KE2R          59 05 EE3A          59 14
QSO: 28310 PH 2022-10-30 1556 KE2R          59 5 IZ2ZSF        59 15
QSO: 28313 PH 2022-10-30 1557 KE2R          59 05 DL6JZ         59 14
QSO: 28319 PH 2022-10-30 1559 KE2R          59 05 OK1BN         59 15
QSO: 28330 PH 2022-10-30 1601 KE2R          59 05 HG3R          59 15
QSO: 28340 PH 2022-10-30 1602 KE2R          59 05 HA3DX         59 15
QSO: 28341 PH 2022-10-30 1603 KE2R          59 05 DM6V          59 14
QSO: 28349 PH 2022-10-30 1604 KE2R          59 05 MM4D          59 14
QSO: 28351 PH 2022-10-30 1606 KE2R          59 05 OT5A          59 14
QSO: 28000 PH 2022-10-30 1607 KE2R          59 05 IO9A          59 15
QSO: 28358 PH 2022-10-30 1608 KE2R          59 05 OT7T          59 14
QSO: 28364 PH 2022-10-30 1615 KE2R          59 05 F5NBX         59 14
QSO: 28372 PH 2022-10-30 1617 KE2R          59 05 T77CX         59 15
QSO: 28376 PH 2022-10-30 1619 KE2R          59 05 EC6DX         59 14
QSO: 28000 PH 2022-10-30 1622 KE2R          59 05 IT9HBT        59 15
QSO: 28413 PH 2022-10-30 1643 KE2R          59 05 ZF2AA         59 8
QSO: 28420 PH 2022-10-30 1644 KE2R          59 05 LX7I          59 14
QSO: 28438 PH 2022-10-30 1649 KE2R          59 05 DR1D          59 14
QSO: 28000 PH 2022-10-30 1652 KE2R          59 05 ZF2OO         59 08
QSO: 28455 PH 2022-10-30 1652 KE2R          59 05 F6KOP         59 14
QSO: 28460 PH 2022-10-30 1652 KE2R          59 05 M6T           59 14
QSO: 28485 PH 2022-10-30 1654 KE2R          59 05 EI7M          59 14
QSO: 28499 PH 2022-10-30 1655 KE2R          59 05 TM6M          59 14
QSO: 28372 PH 2022-10-30 1657 KE2R          59 05 LP1H          59 13
QSO: 28566 PH 2022-10-30 1701 KE2R          59 05 CR3Y          59 33
QSO: 28570 PH 2022-10-30 1702 KE2R          59 05 TM0T          59 14
QSO: 28588 PH 2022-10-30 1703 KE2R          59 05 F5LIW         59 14
