START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-SSB
CALLSIGN: SM1JKM
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: SM1JKM
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-SSB CQWW/ph/2022.
QSO: 28320 PH 2022-10-29 1032 SM1JKM        59 14 7Q6M          59 37
QSO: 28000 PH 2022-10-29 1036 SM1JKM        59 14 SU1SK         59 34
QSO: 28000 PH 2022-10-29 1047 SM1JKM        59 14 V55AF         59 38
QSO: 28536 PH 2022-10-29 1049 SM1JKM        59 14 4K6FO         59 21
QSO: 28432 PH 2022-10-29 1054 SM1JKM        59 14 FR4KR         59 39
QSO: 28507 PH 2022-10-29 1100 SM1JKM        59 14 A61QQ         59 21
QSO: 28589 PH 2022-10-29 1303 SM1JKM        59 14 D4Z           59 35
QSO: 28351 PH 2022-10-29 1306 SM1JKM        59 14 PJ4G          59 9
QSO: 28566 PH 2022-10-29 1314 SM1JKM        59 14 PX2A          59 11
QSO: 28564 PH 2022-10-29 1415 SM1JKM        59 14 AY1V          59 13
QSO: 14157 PH 2022-10-29 1451 SM1JKM        59 14 UP0L          59 17
QSO: 28392 PH 2022-10-30 0830 SM1JKM        59 14 VR2XAN        59 24
QSO: 28466 PH 2022-10-30 0835 SM1JKM        59 14 TC60TRAC      59 20
QSO: 28000 PH 2022-10-30 1034 SM1JKM        59 14 ST0HQ         59 34
QSO: 28629 PH 2022-10-30 1047 SM1JKM        59 14 9N7AA         59 22
QSO: 28514 PH 2022-10-30 1049 SM1JKM        59 14 JT5DX         59 23
QSO: 28532 PH 2022-10-30 1103 SM1JKM        59 14 DV3A          59 27
QSO: 28468 PH 2022-10-30 1104 SM1JKM        59 14 E2A           59 26
QSO: 28659 PH 2022-10-30 1105 SM1JKM        59 14 VU3SPD        59 22
QSO: 28480 PH 2022-10-30 1110 SM1JKM        59 14 C37N          59 14
QSO: 28485 PH 2022-10-30 1222 SM1JKM        59 14 FY5KE         59 9
QSO: 28730 PH 2022-10-30 1223 SM1JKM        59 14 V26B          59 8
QSO: 28566 PH 2022-10-30 1227 SM1JKM        59 14 CR3Y          59 33
QSO: 28343 PH 2022-10-30 1231 SM1JKM        59 14 V47T          59 08
QSO: 28753 PH 2022-10-30 1232 SM1JKM        59 14 KP4AA         59 8
QSO: 28617 PH 2022-10-30 1234 SM1JKM        59 14 KP2B          59 08
QSO: 28652 PH 2022-10-30 1330 SM1JKM        59 14 PZ2YT         59 9
QSO: 28370 PH 2022-10-30 1338 SM1JKM        59 14 HI8RD         59 08
QSO: 28366 PH 2022-10-30 1341 SM1JKM        59 14 FG4KH         59 08
QSO: 28000 PH 2022-10-30 1348 SM1JKM        59 14 CX1RL         59 13
QSO: 28301 PH 2022-10-30 1351 SM1JKM        59 14 PJ2T          59 9
QSO: 28945 PH 2022-10-30 1407 SM1JKM        59 14 AA9A          59 4
QSO: 28786 PH 2022-10-30 1410 SM1JKM        59 14 AC1EV         59 5
QSO: 28773 PH 2022-10-30 1413 SM1JKM        59 14 K1TTT         59 5
QSO: 28930 PH 2022-10-30 1414 SM1JKM        59 14 N1UR          59 5
QSO: 28869 PH 2022-10-30 1417 SM1JKM        59 14 K4AB          59 4
QSO: 28391 PH 2022-10-30 1424 SM1JKM        59 14 K1LZ          59 05
QSO: 28941 PH 2022-10-30 1427 SM1JKM        59 14 WW4XX         59 5
QSO: 28880 PH 2022-10-30 1433 SM1JKM        59 14 K4RO          59 4
QSO: 28833 PH 2022-10-30 1437 SM1JKM        59 14 W1WEF         59 5
QSO: 28817 PH 2022-10-30 1438 SM1JKM        59 14 KQ2M          59 5
QSO: 28771 PH 2022-10-30 1441 SM1JKM        59 14 J68HZ         59 8
QSO: 28731 PH 2022-10-30 1444 SM1JKM        59 14 CO2XN         59 8
QSO: 28000 PH 2022-10-30 1450 SM1JKM        59 14 KP4PR         59 08
QSO: 28584 PH 2022-10-30 1510 SM1JKM        59 14 N4UU          59 5
QSO: 28871 PH 2022-10-30 1527 SM1JKM        59 14 WB9Z          59 4
QSO: 28000 PH 2022-10-30 1534 SM1JKM        59 14 YV5IUA        59 9
QSO: 28000 PH 2022-10-30 1538 SM1JKM        59 14 XQ7IR         59 12
QSO: 28521 PH 2022-10-30 1539 SM1JKM        59 14 ZP5AA         59 11
QSO: 28000 PH 2022-10-30 1545 SM1JKM        59 14 LU9WE         59 0
QSO: 28864 PH 2022-10-30 1548 SM1JKM        59 14 VP5DX         59 08
QSO: 28729 PH 2022-10-30 1549 SM1JKM        59 14 PJ2T          59 9
QSO: 29008 PH 2022-10-30 1601 SM1JKM        59 14 PJ7PL         59 8
QSO: 28853 PH 2022-10-30 1605 SM1JKM        59 14 WP3C          59 8
QSO: 28744 PH 2022-10-30 1608 SM1JKM        59 14 FM5KC         59 08
QSO: 28000 PH 2022-10-30 1610 SM1JKM        59 14 HD1A          59 10
QSO: 21337 PH 2022-10-30 1621 SM1JKM        59 14 FJ/SP9FIH     59 8
QSO: 21425 PH 2022-10-30 1625 SM1JKM        59 14 P40L          59 09
QSO: 21193 PH 2022-10-30 1627 SM1JKM        59 14 V26B          59 8
QSO: 21370 PH 2022-10-30 1635 SM1JKM        59 14 KP4PUA        59 8
QSO: 21448 PH 2022-10-30 1640 SM1JKM        59 14 FM5KC         59 08
QSO: 21384 PH 2022-10-30 1642 SM1JKM        59 14 ZF1A          59 08
QSO: 21189 PH 2022-10-30 1644 SM1JKM        59 14 TO5M          59 8
QSO: 21243 PH 2022-10-30 1655 SM1JKM        59 14 8P1W          59 08
