START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-SSB
CALLSIGN: GI4SIP
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: GI4SIP
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-SSB CQWW/ph/2025.
QSO: 28575 PH 2025-10-25 0932 GI4SIP        59 14 B1Z           59 24
QSO: 28530 PH 2025-10-25 0938 GI4SIP        59 14 TC7TR         59 20
QSO: 14154 PH 2025-10-25 1016 GI4SIP        59 14 W3LPL         59 5
QSO: 28312 PH 2025-10-25 1725 GI4SIP        59 14 W3RJ          59 05
QSO: 28000 PH 2025-10-25 1732 GI4SIP        59 14 PU5WMA        59 11
QSO: 28834 PH 2025-10-25 1734 GI4SIP        59 14 8P5A          59 8
QSO: 28734 PH 2025-10-25 1744 GI4SIP        59 14 K2SSS         59 5
QSO: 28535 PH 2025-10-25 1806 GI4SIP        59 14 K1KP          59 5
QSO: 14347 PH 2025-10-25 2051 GI4SIP        59 14 K6RO          59 5
QSO: 14201 PH 2025-10-25 2059 GI4SIP        59 14 CT3KN         59 33
QSO: 14116 PH 2025-10-25 2107 GI4SIP        59 14 PV2K          59 11
QSO: 14200 PH 2025-10-25 2109 GI4SIP        59 14 AB3AH         59 5
QSO: 28316 PH 2025-10-26 1057 GI4SIP        59 14 CQ9A          59 33
QSO: 28389 PH 2025-10-26 1110 GI4SIP        59 14 PT5J          59 11
QSO: 28711 PH 2025-10-26 1127 GI4SIP        59 14 V47T          59 08
QSO: 28710 PH 2025-10-26 1332 GI4SIP        59 14 N4OC          59 05
QSO: 28000 PH 2025-10-26 1745 GI4SIP        59 14 K3FF          59 05
QSO: 28679 PH 2025-10-26 1747 GI4SIP        59 14 WM9C          59 4
QSO: 28502 PH 2025-10-26 1751 GI4SIP        59 14 4A7S          59 6
QSO: 28360 PH 2025-10-26 1754 GI4SIP        59 14 V26B          59 8
QSO: 28635 PH 2025-10-26 1757 GI4SIP        59 14 WP3C          59 8
QSO: 28398 PH 2025-10-26 1819 GI4SIP        59 14 AZ1D          59 13
QSO: 14187 PH 2025-10-26 1930 GI4SIP        59 14 NN1SS         59 5
QSO: 14134 PH 2025-10-26 1934 GI4SIP        59 14 VE9XX         59 5
QSO: 14169 PH 2025-10-26 1941 GI4SIP        59 14 WK1O          59 5
QSO: 14162 PH 2025-10-26 1946 GI4SIP        59 14 PJ2T          59 9
QSO: 14127 PH 2025-10-26 1951 GI4SIP        59 14 PP4T          59 11
QSO: 14154 PH 2025-10-26 2044 GI4SIP        59 14 WX3B          59 5
QSO: 14125 PH 2025-10-26 2046 GI4SIP        59 14 VE6SV         59 4
QSO: 14154 PH 2025-10-26 2057 GI4SIP        59 14 WX3B          59 5
QSO: 14207 PH 2025-10-26 2101 GI4SIP        59 14 N2SR          59 5
QSO: 14162 PH 2025-10-26 2106 GI4SIP        59 14 W3RJ          59 05
QSO: 14330 PH 2025-10-26 2111 GI4SIP        59 14 CQ9A          59 33
QSO: 14116 PH 2025-10-26 2113 GI4SIP        59 14 ED8W          59 33
QSO: 14137 PH 2025-10-26 2117 GI4SIP        59 14 XL3T          59 04
QSO: 14259 PH 2025-10-26 2123 GI4SIP        59 14 AA3B          59 5
QSO: 14328 PH 2025-10-26 2127 GI4SIP        59 14 CN3A          59 33
QSO: 14181 PH 2025-10-26 2129 GI4SIP        59 14 K1LZ          59 05
END-OF-LOG:
