START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-SSB
CALLSIGN: JG1DLY
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: JG1DLY
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-SSB CQWW/ph/2025.
QSO: 21267 PH 2025-10-25 0116 JG1DLY        59 25 VE6SV         59 4
QSO: 21000 PH 2025-10-25 0120 JG1DLY        59 25 UC0C          59 19
QSO: 21375 PH 2025-10-25 0125 JG1DLY        59 25 9Z4BM         59 09
QSO: 21393 PH 2025-10-25 0128 JG1DLY        59 25 BI1XJT        59 24
QSO: 21404 PH 2025-10-25 0131 JG1DLY        59 25 AL2F          59 1
QSO: 21305 PH 2025-10-25 0134 JG1DLY        59 25 HP3/VE3DZ     59 7
QSO: 21276 PH 2025-10-25 0251 JG1DLY        59 25 KL7G          59 1
QSO: 21273 PH 2025-10-25 0744 JG1DLY        59 25 IB9T          59 15
QSO: 21258 PH 2025-10-25 0746 JG1DLY        59 25 DF0HQ         59 14
QSO: 21249 PH 2025-10-25 0749 JG1DLY        59 25 IP4X          59 15
QSO: 21255 PH 2025-10-25 0749 JG1DLY        59 25 HA5JI         59 15
QSO: 21338 PH 2025-10-25 0751 JG1DLY        59 25 DF7A          59 14
QSO: 21342 PH 2025-10-25 0752 JG1DLY        59 25 OK7O          59 15
QSO: 21357 PH 2025-10-25 0753 JG1DLY        59 25 OZ5W          59 14
QSO: 21412 PH 2025-10-25 0755 JG1DLY        59 25 PA1AW         59 14
QSO: 21360 PH 2025-10-25 0757 JG1DLY        59 25 II2L          59 15
QSO: 21417 PH 2025-10-25 0757 JG1DLY        59 25 R2ARR         59 16
QSO: 21435 PH 2025-10-25 0759 JG1DLY        59 25 II2S          59 15
QSO: 21386 PH 2025-10-25 0802 JG1DLY        59 25 RL3A          59 16
QSO: 21364 PH 2025-10-25 0804 JG1DLY        59 25 BY1AS         59 24
QSO: 21355 PH 2025-10-25 0805 JG1DLY        59 25 OL3Z          59 15
END-OF-LOG:
