START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-SSB
CALLSIGN: JH6QFJ
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: JH6QFJ
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-SSB CQWW/ph/2025.
QSO: 21441 PH 2025-10-25 0949 JH6QFJ        59 25 D4Z           59 35
QSO: 28600 PH 2025-10-25 2158 JH6QFJ        59 25 VP2MPN        59 8
QSO: 21380 PH 2025-10-25 2201 JH6QFJ        59 25 VP2VRX        59 8
QSO: 14276 PH 2025-10-25 2233 JH6QFJ        59 25 TO4K          59 08
QSO: 28692 PH 2025-10-25 2238 JH6QFJ        59 25 HP3/VE3DZ     59 7
QSO: 21262 PH 2025-10-25 2244 JH6QFJ        59 25 VP5M          59 8
QSO: 21272 PH 2025-10-25 2249 JH6QFJ        59 25 J62K          59 8
QSO: 28515 PH 2025-10-25 2318 JH6QFJ        59 25 PJ4K          59 9
QSO: 21213 PH 2025-10-25 2325 JH6QFJ        59 25 5K0UA         59 7
QSO: 28483 PH 2025-10-25 2339 JH6QFJ        59 25 HD8R          59 10
QSO: 28000 PH 2025-10-25 2343 JH6QFJ        59 25 HK1T          59 9
QSO: 28301 PH 2025-10-25 2348 JH6QFJ        59 25 ZF2AA         59 8
QSO: 28325 PH 2025-10-25 2350 JH6QFJ        59 25 AC7RX         59 3
QSO: 28325 PH 2025-10-25 2351 JH6QFJ        59 25 AD1C          59 04
QSO: 28325 PH 2025-10-25 2357 JH6QFJ        59 25 DU6MOT        59 27
QSO: 28325 PH 2025-10-25 2357 JH6QFJ        59 25 YF9BSZ        59 28
QSO: 28326 PH 2025-10-26 0001 JH6QFJ        59 25 K9CT          59 4
QSO: 28326 PH 2025-10-26 0001 JH6QFJ        59 25 N7IR          59 3
QSO: 28326 PH 2025-10-26 0001 JH6QFJ        59 25 NT6X          59 3
QSO: 28326 PH 2025-10-26 0001 JH6QFJ        59 25 W0BM          59 4
QSO: 28326 PH 2025-10-26 0003 JH6QFJ        59 25 N7EPD         59 3
QSO: 28326 PH 2025-10-26 0003 JH6QFJ        59 25 WE6Z          59 3
QSO: 28326 PH 2025-10-26 0004 JH6QFJ        59 25 W7AC          59 3
QSO: 28326 PH 2025-10-26 0005 JH6QFJ        59 25 N6RV          59 3
QSO: 28326 PH 2025-10-26 0005 JH6QFJ        59 25 N7GCO         59 03
QSO: 28326 PH 2025-10-26 0006 JH6QFJ        59 25 RM0F          59 19
QSO: 28326 PH 2025-10-26 0006 JH6QFJ        59 25 W7CXX         59 3
QSO: 28368 PH 2025-10-26 0006 JH6QFJ        59 25 W7GTF         59 03
QSO: 28326 PH 2025-10-26 0007 JH6QFJ        59 25 N7UVH         59 3
QSO: 28326 PH 2025-10-26 0008 JH6QFJ        59 25 W7VO          59 3
QSO: 28326 PH 2025-10-26 0008 JH6QFJ        59 25 YB0NSI        59 28
QSO: 28326 PH 2025-10-26 0009 JH6QFJ        59 25 AE0MO         59 4
QSO: 28326 PH 2025-10-26 0010 JH6QFJ        59 25 DU2W          59 27
QSO: 28326 PH 2025-10-26 0010 JH6QFJ        59 25 KC7H          59 3
QSO: 28326 PH 2025-10-26 0012 JH6QFJ        59 25 PP5BJF        59 11
QSO: 21000 PH 2025-10-26 0013 JH6QFJ        59 25 YC8BUL        59 28
QSO: 28326 PH 2025-10-26 0014 JH6QFJ        59 25 NC0B          59 4
QSO: 28326 PH 2025-10-26 0015 JH6QFJ        59 25 K7GK          59 3
QSO: 28326 PH 2025-10-26 0016 JH6QFJ        59 25 BA7JMO        59 24
QSO: 28326 PH 2025-10-26 0017 JH6QFJ        59 25 YE4IJ         59 28
QSO: 28326 PH 2025-10-26 0018 JH6QFJ        59 25 W7GES         59 3
QSO: 28000 PH 2025-10-26 0019 JH6QFJ        59 25 K0SIX         59 04
QSO: 28326 PH 2025-10-26 0022 JH6QFJ        59 25 PR2A          59 11
QSO: 28326 PH 2025-10-26 0025 JH6QFJ        59 25 KC7V          59 3
QSO: 28326 PH 2025-10-26 0025 JH6QFJ        59 25 WA5WFE        59 4
QSO: 28337 PH 2025-10-26 0913 JH6QFJ        59 25 G3P           59 14
QSO: 28338 PH 2025-10-26 0914 JH6QFJ        59 25 EE1G          59 14
QSO: 28338 PH 2025-10-26 0914 JH6QFJ        59 25 LY2TS         59 15
QSO: 28338 PH 2025-10-26 0914 JH6QFJ        59 25 SP5C          59 15
QSO: 28000 PH 2025-10-26 0915 JH6QFJ        59 25 RD8O          59 18
QSO: 28338 PH 2025-10-26 0918 JH6QFJ        59 25 G4WWG         59 14
QSO: 28000 PH 2025-10-26 0919 JH6QFJ        59 25 US5ETV        59 16
QSO: 28337 PH 2025-10-26 0921 JH6QFJ        59 25 DL1YAW        59 14
