START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-SSB
CALLSIGN: OK1MZM
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: OK1MZM
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-SSB CQWW/ph/2025.
QSO: 28357 PH 2025-10-25 0539 OK1MZM        59 15 3B9KW         59 39
QSO: 28307 PH 2025-10-25 0541 OK1MZM        59 15 DS1TUW        59 25
QSO: 28450 PH 2025-10-25 0543 OK1MZM        59 15 A44A          59 21
QSO: 28000 PH 2025-10-25 0546 OK1MZM        59 15 JJ2YKX        59 25
QSO: 28502 PH 2025-10-25 0550 OK1MZM        59 15 VK4KW         59 30
QSO: 28000 PH 2025-10-25 0551 OK1MZM        59 15 JR6CSY        59 25
QSO: 28308 PH 2025-10-25 0553 OK1MZM        59 15 JH4UYB        59 25
QSO: 28319 PH 2025-10-25 0554 OK1MZM        59 15 JF2QNM        59 25
QSO: 28555 PH 2025-10-25 0556 OK1MZM        59 15 BD7IS         59 24
QSO: 28558 PH 2025-10-25 0557 OK1MZM        59 15 E2A           59 26
QSO: 28585 PH 2025-10-25 0707 OK1MZM        59 15 7A2A          59 28
QSO: 28320 PH 2025-10-25 0714 OK1MZM        59 15 3W9A          59 26
QSO: 28296 PH 2025-10-25 0715 OK1MZM        59 15 BH8GFN        59 24
QSO: 28548 PH 2025-10-25 1853 OK1MZM        59 15 II9P          59 15
QSO: 28000 PH 2025-10-26 0745 OK1MZM        59 15 JM7SKE        59 25
QSO: 28710 PH 2025-10-26 0745 OK1MZM        59 15 JR2GRX        59 25
QSO: 28706 PH 2025-10-26 0748 OK1MZM        59 15 BA4SQI        59 24
QSO: 28699 PH 2025-10-26 0753 OK1MZM        59 15 PI4COM        59 14
QSO: 28000 PH 2025-10-26 0755 OK1MZM        59 15 JH0AHI        59 25
QSO: 28000 PH 2025-10-26 0756 OK1MZM        59 15 EE5R          59 14
QSO: 28699 PH 2025-10-26 0756 OK1MZM        59 15 JG1LFR        59 25
QSO: 28698 PH 2025-10-26 0758 OK1MZM        59 15 RM8G          59 17
QSO: 28698 PH 2025-10-26 0758 OK1MZM        59 15 RW0UM         59 18
QSO: 28349 PH 2025-10-26 0804 OK1MZM        59 15 AH2R          59 27
QSO: 28390 PH 2025-10-26 0808 OK1MZM        59 15 BA7LOK        59 24
QSO: 28404 PH 2025-10-26 0810 OK1MZM        59 15 JK1HIX        59 25
QSO: 28411 PH 2025-10-26 0813 OK1MZM        59 15 9K2ES         59 21
QSO: 28479 PH 2025-10-26 0818 OK1MZM        59 15 D4C           59 35
QSO: 28780 PH 2025-10-26 0824 OK1MZM        59 14 V51F          59 38
END-OF-LOG:
