START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-RTTY
CALLSIGN: JR1UFN
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: JR1UFN
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-RTTY CQWWRTTY/2011.
QSO: 21081 RY 2011-09-24 1204 JR1UFN        599 25 DX DF5MA         599 14 14
QSO: 21093 RY 2011-09-24 1216 JR1UFN        599 25 DX OZ5NJ         599 14 DX
QSO: 21106 RY 2011-09-24 1225 JR1UFN        599 25 DX RG9A          599 17 DX
QSO: 21108 RY 2011-09-24 1239 JR1UFN        599 25 DX CN3A          599 33 DX
QSO: 21073 RY 2011-09-24 1246 JR1UFN        599 25 DX HG7T          599 15 DX
QSO: 21079 RY 2011-09-24 1250 JR1UFN        599 25 DX SN7Q          599 15 DX
QSO: 21080 RY 2011-09-24 1254 JR1UFN        599 25 DX DC2YY         599 14 DX
QSO: 21105 RY 2011-09-24 1337 JR1UFN        599 25 DX EA7ZY         599 14 DX
QSO: 14074 RY 2011-09-24 1944 JR1UFN        599 25 DX OH2ET         599 15 DX
QSO: 14075 RY 2011-09-24 1949 JR1UFN        599 25 DX M7T           599 14 DX
QSO: 14078 RY 2011-09-24 1954 JR1UFN        599 25 DX OM4O          599 15 DX
QSO: 14080 RY 2011-09-24 1957 JR1UFN        599 25 DX OH8KVA        599 15 DX
QSO: 14082 RY 2011-09-24 1959 JR1UFN        599 25 DX OH3I          599 15 DX
QSO: 14000 RY 2011-09-24 2011 JR1UFN        599 25 DX II5ITA        599 15 DX
QSO: 14087 RY 2011-09-24 2014 JR1UFN        599 25 DX UZ2M          599 16 DX
QSO: 14088 RY 2011-09-24 2017 JR1UFN        599 25 DX ED2V          599 14 DX
QSO: 14090 RY 2011-09-24 2021 JR1UFN        599 25 DX DK4WA         599 14 DX
QSO: 14092 RY 2011-09-24 2028 JR1UFN        599 25 DX ED5CEF        599 14 DX
QSO: 14000 RY 2011-09-24 2038 JR1UFN        599 25 DX CR3L          599 33 DX
QSO: 14000 RY 2011-09-24 2046 JR1UFN        599 25 DX EA1WW         599 14 DX
QSO: 14093 RY 2011-09-24 2050 JR1UFN        599 25 DX RM2M          599 16 DX
QSO: 21112 RY 2011-09-24 2055 JR1UFN        599 25 DX W7VXS         599 03 WA
QSO: 21106 RY 2011-09-24 2058 JR1UFN        599 25 DX AA4HP         599 05 FL
QSO: 28076 RY 2011-09-25 1016 JR1UFN        599 25 DX OH6R          599 15 DX
QSO: 28077 RY 2011-09-25 1016 JR1UFN        599 25 DX OH9R          599 15 DX
QSO: 28000 RY 2011-09-25 1019 JR1UFN        599 25 DX EA1AKS        599 14 DX
QSO: 28079 RY 2011-09-25 1022 JR1UFN        599 25 DX EA2TT         599 14 DX
QSO: 21105 RY 2011-09-25 1024 JR1UFN        599 25 DX ED1R          599 14 DX
QSO: 21078 RY 2011-09-25 1030 JR1UFN        599 25 DX UF8T          599 16 DX
QSO: 21000 RY 2011-09-25 1035 JR1UFN        599 25 DX EA3CCN        599 14 DX
QSO: 21083 RY 2011-09-25 1039 JR1UFN        599 25 DX OL7M          599 15 DX
QSO: 28109 RY 2011-09-25 1042 JR1UFN        599 25 DX OJ0X          599 15 DX
QSO: 28080 RY 2011-09-25 1057 JR1UFN        599 25 DX R3BB          599 16 DX
QSO: 28083 RY 2011-09-25 1100 JR1UFN        599 25 DX RZ3DX         599 16 DX
QSO: 28084 RY 2011-09-25 1102 JR1UFN        599 25 DX ES9C          599 15 DX
QSO: 28087 RY 2011-09-25 1104 JR1UFN        599 25 DX UV5U          599 16 DX
QSO: 28089 RY 2011-09-25 1107 JR1UFN        599 25 DX UA0AYA        599 18 DX
QSO: 21000 RY 2011-09-25 1131 JR1UFN        599 25 DX IQ3UD         599 15 DX
QSO: 21078 RY 2011-09-25 1136 JR1UFN        599 25 DX SP4YPB        599 15 DX
QSO: 21079 RY 2011-09-25 1141 JR1UFN        599 25 DX UY7C          599 16 DX
QSO: 21082 RY 2011-09-25 1143 JR1UFN        599 25 DX GM7R          599 14 DX
QSO: 21083 RY 2011-09-25 1149 JR1UFN        599 25 DX UN8PT         599 17 DX
QSO: 21089 RY 2011-09-25 1158 JR1UFN        599 25 DX OM6W          599 15 DX
QSO: 21095 RY 2011-09-25 1202 JR1UFN        599 25 DX CT3EN         599 33 DX
QSO: 21095 RY 2011-09-25 1206 JR1UFN        599 25 DX G3TBK         599 14 DX
QSO: 21098 RY 2011-09-25 1209 JR1UFN        599 25 DX OH3OJ         599 15 DX
QSO: 21100 RY 2011-09-25 1210 JR1UFN        599 25 DX PI4CC         599 14 DX
QSO: 21099 RY 2011-09-25 1213 JR1UFN        599 25 DX OP3A          599 14 DX
QSO: 21098 RY 2011-09-25 1217 JR1UFN        599 25 DX EF7R          599 14 DX
QSO: 21102 RY 2011-09-25 1222 JR1UFN        599 25 DX IR2ITA        599 15 DX
QSO: 21112 RY 2011-09-25 1231 JR1UFN        599 25 DX OH3I          599 15 DX
QSO: 21115 RY 2011-09-25 1234 JR1UFN        599 25 DX PA0BWL        599 14 DX
QSO: 14106 RY 2011-09-25 1900 JR1UFN        599 25 DX ER6A          599 16 DX
QSO: 14101 RY 2011-09-25 1909 JR1UFN        599 25 DX EE2K          599 14 DX
QSO: 14081 RY 2011-09-25 1926 JR1UFN        599 25 DX LZ1794MAB     599 20 DX
QSO: 14079 RY 2011-09-25 1929 JR1UFN        599 25 DX LY5E          599 15 DX
QSO: 14094 RY 2011-09-25 2018 JR1UFN        599 25 DX G3TBK         599 14 DX
QSO: 14098 RY 2011-09-25 2021 JR1UFN        599 25 DX CN3A          599 33 DX
QSO: 21000 RY 2011-09-25 2036 JR1UFN        599 25 DX K9NR          599 4 IL
QSO: 21072 RY 2011-09-25 2038 JR1UFN        599 25 DX VE7BC         599 03 BC
QSO: 21000 RY 2011-09-25 2046 JR1UFN        599 25 DX CR3L          599 33 DX
END-OF-LOG:
