START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-RTTY
CALLSIGN: N3EN
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: N3EN
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-RTTY CQWWRTTY/2011.
QSO: 14000 RY 2011-09-24 0047 N3EN          599 05 MD WY4Y          599 05 GA
QSO: 14104 RY 2011-09-24 0054 N3EN          599 05 MD KT0DX         599 04 CO
QSO: 14112 RY 2011-09-24 0056 N3EN          599 05 MD N0XR          599 04 IA
QSO: 14081 RY 2011-09-24 0100 N3EN          599 05 MD W4UH          599 05 FL
QSO: 21091 RY 2011-09-24 1517 N3EN          599 05 MD VE6AO         599 04 AB
QSO: 21081 RY 2011-09-24 1520 N3EN          599 05 MD ES9C          599 15 DX
QSO: 21086 RY 2011-09-24 1526 N3EN          599 05 MN TM0T          599 14 14
QSO: 21095 RY 2011-09-24 1529 N3EN          599 05 MD S50R          599 15 DX
QSO: 21095 RY 2011-09-24 1530 N3EN          599 5 MD P49X          599 9 DX
QSO: 21096 RY 2011-09-24 1532 N3EN          599 05 MD EI2GLB        599 14 DX
QSO: 21098 RY 2011-09-24 1810 N3EN          599 5 MD CT3EN         599 33 DX
QSO: 21000 RY 2011-09-24 1811 N3EN          599 05 MD CR3L          599 33 DX
QSO: 21107 RY 2011-09-24 1813 N3EN          599 5 ME W0TUP         599 4 ND
QSO: 21109 RY 2011-09-24 1815 N3EN          599 05 MD SN7Q          599 15 DX
QSO: 21112 RY 2011-09-24 1816 N3EN          599 05 MD RL3A          599 16 DX
QSO: 21113 RY 2011-09-24 1816 N3EN          599 05 MD LZ8E          599 20 DX
QSO: 21117 RY 2011-09-24 1818 N3EN          599 05 MD OL7C          599 15 DX
QSO: 21000 RY 2011-09-24 1819 N3EN          599 05 MD HG1S          599 15 DX
QSO: 21120 RY 2011-09-24 1819 N3EN          599 05 MD TM4P          599 14 DX
QSO: 21122 RY 2011-09-24 1820 N3EN          599 05 MD SN3C          599 15 DX
QSO: 21077 RY 2011-09-24 1824 N3EN          599 05 VA M3I           599 14 DX
QSO: 21075 RY 2011-09-24 1827 N3EN          599 05 MD WY7SS         599 04 WY
QSO: 21000 RY 2011-09-24 1829 N3EN          599 05 MD K3OQ          599 05 MD
QSO: 21131 RY 2011-09-24 1830 N3EN          599 05 MD DF9ZP         599 14 DX
QSO: 21134 RY 2011-09-24 1832 N3EN          599 05 MD DF3EH         599 14 DX
QSO: 21142 RY 2011-09-24 1839 N3EN          599 05 MD YT2T          599 15 DX
QSO: 21151 RY 2011-09-24 1841 N3EN          599 05 MD PI4W          599 14 DX
QSO: 21084 RY 2011-09-24 1843 N3EN          599 5 MD WA5ZUP        599 4 NM
QSO: 21085 RY 2011-09-24 1844 N3EN          599 5 MD K6LL          599 3 AZ
QSO: 21092 RY 2011-09-24 1845 N3EN          599 5 MD LY1R          599 15 LY
QSO: 21093 RY 2011-09-24 1848 N3EN          599 05 MD EF7R          599 14 DX
QSO: 21101 RY 2011-09-24 1849 N3EN          599 05 MD ED5CEF        599 14 DX
QSO: 21102 RY 2011-09-24 1851 N3EN          599 05 MD CR5D          599 14 DX
QSO: 21111 RY 2011-09-24 1854 N3EN          599 05 MD OH8X          599 15 DX
QSO: 21112 RY 2011-09-24 1854 N3EN          599 05 MD DL/KE9I       599 14 DX
QSO: 21000 RY 2011-09-24 1856 N3EN          599 05 MD DH7LF         599 14 DX
QSO: 21114 RY 2011-09-24 1856 N3EN          599 05 MD OH8A          599 15 DX
QSO: 21116 RY 2011-09-24 1859 N3EN          599 05 MD PI4CC         599 14 DX
QSO: 21137 RY 2011-09-24 1902 N3EN          599 05 MD YO3APJ        599 20 DX
QSO: 21137 RY 2011-09-24 1910 N3EN          599 05 MD ST2AR         599 34 DX
QSO: 21138 RY 2011-09-24 1912 N3EN          599 05 MD OH2XX         599 15 DX
