START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-RTTY
CALLSIGN: HA1AR
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: HA1AR
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-RTTY CQWWRTTY/2017.
QSO: 21081 RY 2017-09-24 1225 HA1AR         599 15 DX ZF1A          599 8 DX
QSO: 21080 RY 2017-09-24 1230 HA1AR         599 15 DX S51A          599 15 DX
QSO: 21084 RY 2017-09-24 1234 HA1AR         599 15 DX CR3A          599 33 DX
QSO: 21088 RY 2017-09-24 1237 HA1AR         599 15 DX 9A1A          599 15 DX
QSO: 21000 RY 2017-09-24 1341 HA1AR         599 15 DX YE1ZAL        599 28 DX
QSO: 21098 RY 2017-09-24 1355 HA1AR         599 15 DX CR3W          599 33 DX
QSO: 21083 RY 2017-09-24 1403 HA1AR         599 15 DX NR4M          599 05 VA
QSO: 14085 RY 2017-09-24 1405 HA1AR         599 15 DX NR4M          599 05 VA
QSO: 21083 RY 2017-09-24 1407 HA1AR         599 15 DX W3FV          599 05 PA
QSO: 21082 RY 2017-09-24 1409 HA1AR         599 15 DX HZ1HN         599 21 DX
QSO: 21081 RY 2017-09-24 1418 HA1AR         599 15 DX WW4LL         599 05 GA
QSO: 21082 RY 2017-09-24 1423 HA1AR         599 15 DX K9CT          599 04 IL
QSO: 14094 RY 2017-09-24 1614 HA1AR         599 15 DX C37NL         599 14 DX
QSO: 14093 RY 2017-09-24 1619 HA1AR         599 15 DX UW1M          599 16 DX
QSO: 14093 RY 2017-09-24 1623 HA1AR         599 15 DX S51DD         599 15 DX
QSO: 14090 RY 2017-09-24 1659 HA1AR         599 15 DX EA1XT         599 14 DX
QSO: 14091 RY 2017-09-24 1703 HA1AR         599 20 DX SN5N          599 15 DX
QSO: 14096 RY 2017-09-24 1710 HA1AR         599 15 DX OH8A          599 15 DX
QSO: 14094 RY 2017-09-24 1715 HA1AR         599 15 DX IZ1YPF        599 15 DX
QSO: 14097 RY 2017-09-24 1717 HA1AR         599 15 DX IQ4RN         599 15 DX
QSO: 14106 RY 2017-09-24 1720 HA1AR         599 15 DX IW9FDD        599 15 DX
QSO: 14108 RY 2017-09-24 1722 HA1AR         599 15 DX ED3D          599 14 DX
QSO: 14108 RY 2017-09-24 1723 HA1AR         599 15 DX SK2T          599 14 DX
QSO: 14110 RY 2017-09-24 1725 HA1AR         599 15 DX OK7W          599 15 DX
QSO: 14114 RY 2017-09-24 1728 HA1AR         599 15 DX EA2RY         599 14 DX
QSO: 14116 RY 2017-09-24 1742 HA1AR         599 15 DX ED1A          599 14 DX
QSO: 14118 RY 2017-09-24 1743 HA1AR         599 15 DX W4PK          599 05 VA
QSO: 14120 RY 2017-09-24 1745 HA1AR         599 15 DX LY8O          599 15 DX
QSO: 14122 RY 2017-09-24 1756 HA1AR         599 15 DX TF2R          599 40 DX
QSO: 14123 RY 2017-09-24 1801 HA1AR         599 15 DX SP4Z          599 15 DX
QSO: 14121 RY 2017-09-24 1814 HA1AR         599 15 DX 4Z4AK         599 20 DX
QSO: 14113 RY 2017-09-24 1817 HA1AR         599 15 DX LM100UKA      599 14 DX
QSO: 14106 RY 2017-09-24 1823 HA1AR         599 15 DX N8CWU         599 04 OH
QSO: 14105 RY 2017-09-24 1825 HA1AR         599 15 DX W4AAA         599 5 NC
QSO: 14000 RY 2017-09-24 1827 HA1AR         599 15 DX IK4GNI        599 15 DX
QSO: 14100 RY 2017-09-24 1829 HA1AR         599 15 DX IU4CHE        599 15 DX
QSO: 14000 RY 2017-09-24 1832 HA1AR         599 15 DX EM0I          599 16 DX
QSO: 14099 RY 2017-09-24 1834 HA1AR         599 15 DX R7CD          599 16 DX
QSO: 14000 RY 2017-09-24 1841 HA1AR         599 15 DX IZ4COW        599 15 DX
QSO: 14093 RY 2017-09-24 1857 HA1AR         599 15 DX CN8KD         599 33 DX
QSO: 14094 RY 2017-09-24 2043 HA1AR         599 15 DX K1SFA         599 05 MA
QSO: 14085 RY 2017-09-24 2045 HA1AR         599 15 DX NR4M          599 05 VA
QSO: 14090 RY 2017-09-24 2050 HA1AR         599 15 DX VA3RAC        599 04 ON
QSO: 14091 RY 2017-09-24 2051 HA1AR         599 15 DX WW4LL         599 05 GA
QSO: 14096 RY 2017-09-24 2054 HA1AR         599 15 DX W9ILY         599 04 IL
QSO: 14097 RY 2017-09-24 2055 HA1AR         599 15 DX K6XV          599 03 CA
QSO: 14096 RY 2017-09-24 2104 HA1AR         599 15 DX KI6DY         599 04 KS
QSO: 14097 RY 2017-09-24 2107 HA1AR         599 15 DX WA3EKL        599 05 MD
END-OF-LOG:
