START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-RTTY
CALLSIGN: EC5AC
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: EC5AC
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-RTTY CQWWRTTY/2018.
QSO: 14090 RY 2018-09-29 0951 EC5AC         599 14 DX EW7A          599 16 DX
QSO: 14090 RY 2018-09-29 0952 EC5AC         599 14 DX F8CRS         599 14 DX
QSO: 14000 RY 2018-09-29 0953 EC5AC         599 14 DX DL2FK         599 14 DX
QSO: 14091 RY 2018-09-29 0953 EC5AC         599 14 DX IQ3RK         599 15 DX
QSO: 14091 RY 2018-09-29 0954 EC5AC         599 14 DX DR7T          599 14 DX
QSO: 14092 RY 2018-09-29 0955 EC5AC         599 14 DX SV3SCW        599 20 DX
QSO: 14092 RY 2018-09-29 0956 EC5AC         599 14 DX OK2EA         599 15 DX
QSO: 14092 RY 2018-09-29 0957 EC5AC         599 14 DX DG7NFX        599 14 DX
QSO: 14091 RY 2018-09-29 0958 EC5AC         599 14 DX OK1PMA        599 15 DX
QSO: 14092 RY 2018-09-29 0959 EC5AC         599 14 DX LZ2ZY         599 20 DX
QSO: 14091 RY 2018-09-29 1002 EC5AC         599 14 DX SV3QUP        599 20 DX
QSO: 14090 RY 2018-09-29 1004 EC5AC         599 14 DX OM5CM         599 15 DX
QSO: 14089 RY 2018-09-29 1005 EC5AC         599 14 DX OK4RQ         599 15 DX
QSO: 14091 RY 2018-09-29 1005 EC5AC         599 14 DX DL1NHW        599 14 DX
QSO: 14090 RY 2018-09-29 1006 EC5AC         599 14 DX M0TQR         599 14 DX
QSO: 14091 RY 2018-09-29 1006 EC5AC         599 14 DX OH3OJ         599 15 DX
QSO: 14091 RY 2018-09-29 1007 EC5AC         599 14 DX OM3R          599 15 DX
QSO: 14091 RY 2018-09-29 1007 EC5AC         599 14 DX SQ2WHH        599 15 DX
QSO: 14091 RY 2018-09-29 1009 EC5AC         599 14 DX PA3EWG        599 14 DX
QSO: 14088 RY 2018-09-29 1010 EC5AC         599 14 DX OK5PM         599 15 DX
QSO: 14000 RY 2018-09-29 1011 EC5AC         599 14 DX RN2FQ         599 15 DX
END-OF-LOG:
