START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-RTTY
CALLSIGN: YT4T
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: YT4T
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-RTTY CQWWRTTY/2018.
QSO:  7049 RY 2018-09-29 1400 YT4T          599 15 DX SN2M          599 15 DX
QSO:  7050 RY 2018-09-29 1717 YT4T          599 15 DX EU1WW         599 16 DX
QSO: 14135 RY 2018-09-29 2013 YT4T          599 15 DX W0LSD         599 4 CO
QSO: 14135 RY 2018-09-29 2015 YT4T          599 15 DX N4SVC         599 05 FL
QSO: 14096 RY 2018-09-29 2017 YT4T          599 15 DX K3ODX         599 05 PA
QSO: 14136 RY 2018-09-29 2019 YT4T          599 15 DX AC0C          599 04 KS
QSO: 14136 RY 2018-09-29 2020 YT4T          599 15 DX AA5AU         599 4 LA
QSO: 14136 RY 2018-09-29 2021 YT4T          599 15 DX K1ZZ          599 05 CT
QSO: 14000 RY 2018-09-29 2024 YT4T          599 15 DX KM4SII        599 05 NC
QSO: 14136 RY 2018-09-29 2024 YT4T          599 15 DX K4HAL         599 04 AL
QSO: 14146 RY 2018-09-29 2058 YT4T          599 15 15 KP4JFR        599 08 PR
QSO: 14117 RY 2018-09-29 2102 YT4T          599 15 DX PX2A          599 11 DX
QSO: 14000 RY 2018-09-30 1127 YT4T          599 15 DX IK1NEG        599 15 DX
QSO: 14134 RY 2018-09-30 1127 YT4T          599 15 DX SM5FUG        599 14 DX
QSO: 14098 RY 2018-09-30 1133 YT4T          599 15 DX LX7I          599 14 DX
QSO: 14000 RY 2018-09-30 1720 YT4T          599 15 DX DL8TG         599 14 DX
QSO: 14127 RY 2018-09-30 1723 YT4T          599 15 DX VE3TW         599 04 ON
QSO: 14128 RY 2018-09-30 1723 YT4T          599 15 DX M1SJE         599 14 DX
QSO: 14126 RY 2018-09-30 1725 YT4T          599 15 DX M6YTU         599 14 DX
QSO: 14128 RY 2018-09-30 1725 YT4T          599 15 DX WW3S          599 05 PA
QSO: 14127 RY 2018-09-30 1728 YT4T          599 15 DX YQ6A          599 20 DX
QSO: 14000 RY 2018-09-30 1730 YT4T          599 15 DX EA3DNC        599 14 DX
QSO: 14127 RY 2018-09-30 1730 YT4T          599 15 DX IK7NXU        599 15 DX
QSO: 14127 RY 2018-09-30 1731 YT4T          599 15 DX WB9TFH        599 04 WI
QSO: 14128 RY 2018-09-30 1735 YT4T          599 15 DX SV3QUP        599 20 DX
QSO: 14127 RY 2018-09-30 1824 YT4T          599 15 DX CT2JMR        599 14 DX
QSO: 14127 RY 2018-09-30 1825 YT4T          599 15 DX WD5K          599 04 TX
QSO: 14127 RY 2018-09-30 1826 YT4T          599 15 DX CO6RD         599 08 DX
QSO: 14127 RY 2018-09-30 1826 YT4T          599 15 DX W4GE          599 05 SC
QSO: 14127 RY 2018-09-30 1827 YT4T          599 15 DX AA3B          599 05 PA
QSO: 14129 RY 2018-09-30 1827 YT4T          599 15 DX NV1Q          599 05 MA
QSO: 14127 RY 2018-09-30 1828 YT4T          599 15 DX W7YAQ         599 3 OR
QSO: 14127 RY 2018-09-30 1829 YT4T          599 15 DX K4FX          599 05 NC
QSO: 14127 RY 2018-09-30 1829 YT4T          599 15 DX K5ZD          599 05 MA
QSO: 14127 RY 2018-09-30 1829 YT4T          599 15 DX KU4V          599 05 NC
QSO: 14127 RY 2018-09-30 1830 YT4T          599 15 DX AA8OY         599 04 OH
QSO: 14127 RY 2018-09-30 1830 YT4T          599 15 DX PB7Z          599 14 DX
QSO: 14127 RY 2018-09-30 1831 YT4T          599 15 DX K3EST         599 03 CA
QSO: 14000 RY 2018-09-30 1832 YT4T          599 15 DX W9SE          599 04 IL
QSO: 14127 RY 2018-09-30 1834 YT4T          599 15 DX AE0EE         599 04 MN
QSO: 14000 RY 2018-09-30 1836 YT4T          599 15 DX YU1LM         599 15 DX
QSO: 14127 RY 2018-09-30 1836 YT4T          599 15 DX DJ6OZ         599 14 DX
QSO: 14127 RY 2018-09-30 1837 YT4T          599 15 DX VE6TK         599 04 AB
QSO: 14000 RY 2018-09-30 1839 YT4T          599 15 DX VE2GSO        599 05 QC
QSO: 14127 RY 2018-09-30 1840 YT4T          599 15 DX EA5EJ         599 14 DX
QSO: 14127 RY 2018-09-30 1844 YT4T          599 15 DX K6GHA         599 03 CA
QSO: 14127 RY 2018-09-30 1844 YT4T          599 15 DX W0TLE         599 04 MN
QSO: 14127 RY 2018-09-30 1845 YT4T          599 15 DX K3WA          599 04 IL
QSO: 14000 RY 2018-09-30 1846 YT4T          599 15 DX WA5POK        599 04 TN
QSO: 14126 RY 2018-09-30 1846 YT4T          599 15 DX EA8BGO        599 33 DX
QSO: 14127 RY 2018-09-30 1849 YT4T          599 15 DX NZ5O          599 04 LA
QSO: 14127 RY 2018-09-30 1850 YT4T          599 15 DX KB3AAY        599 05 MD
QSO: 14127 RY 2018-09-30 1859 YT4T          599 15 DX KS1J          599 5 RI
