START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-RTTY
CALLSIGN: JJ2HCM
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: JJ2HCM
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-RTTY CQWWRTTY/2020.
QSO: 14093 RY 2020-09-26 0009 JJ2HCM        599 25 DX VK4SN         599 30 DX
QSO: 14097 RY 2020-09-26 0012 JJ2HCM        599 25 DX E25KAE        599 26 DX
QSO: 14084 RY 2020-09-26 0018 JJ2HCM        599 25 DX 4D3X          599 27 DX
QSO: 14085 RY 2020-09-26 0022 JJ2HCM        599 25 DX 7D1D          599 28 DX
QSO: 14088 RY 2020-09-26 0024 JJ2HCM        599 25 DX BG4WOM        599 24 DX
QSO: 14087 RY 2020-09-26 0026 JJ2HCM        599 25 DX BU2BE         599 24 DX
QSO: 14092 RY 2020-09-26 0028 JJ2HCM        599 25 DX YB5QZ         599 28 DX
QSO: 14094 RY 2020-09-26 0034 JJ2HCM        599 25 DX UA0JGT        599 19 DX
QSO: 14102 RY 2020-09-26 0039 JJ2HCM        599 25 DX K2RD          599 3 NV
QSO: 14082 RY 2020-09-26 0041 JJ2HCM        599 25 DX DU1JM         599 27 DX
QSO: 14082 RY 2020-09-26 0045 JJ2HCM        599 25 DX YB6RMT        599 28 DX
QSO: 14086 RY 2020-09-26 0047 JJ2HCM        599 25 DX VR2CC         599 24 DX
QSO: 14086 RY 2020-09-26 0846 JJ2HCM        599 25 DX YC1WCK        599 28 DX
QSO: 14088 RY 2020-09-26 0851 JJ2HCM        599 25 DX DU1RB         599 27 DX
QSO: 14000 RY 2020-09-26 0856 JJ2HCM        599 25 DX YC9XYP        599 28 DX
QSO: 14000 RY 2020-09-26 0859 JJ2HCM        599 25 DX YB8UTI        599 28 DX
QSO: 14000 RY 2020-09-26 0902 JJ2HCM        599 25 DX YB2TS         599 28 DX
QSO: 14097 RY 2020-09-26 0906 JJ2HCM        599 25 DX YC9GDP        599 28 DX
QSO: 14106 RY 2020-09-26 0914 JJ2HCM        599 25 DX HS5NMF        599 26 DX
QSO: 14080 RY 2020-09-26 0917 JJ2HCM        599 25 DX YC1RQX        599 28 DX
QSO: 14000 RY 2020-09-26 0920 JJ2HCM        599 25 DX DU1/N6HPX     599 27 DX
QSO: 14098 RY 2020-09-26 0926 JJ2HCM        599 25 DX R5AJ          599 16 DX
QSO: 14000 RY 2020-09-26 0928 JJ2HCM        599 25 DX RC9U          599 18 DX
QSO: 14104 RY 2020-09-26 0929 JJ2HCM        599 25 DX UA0SR         599 18 DX
QSO: 14000 RY 2020-09-26 0938 JJ2HCM        599 25 DX YC7YGR        599 28 DX
QSO: 14000 RY 2020-09-26 0943 JJ2HCM        599 25 DX YB3BGM        599 28 DX
QSO: 14085 RY 2020-09-26 1025 JJ2HCM        599 25 DX SO4M          599 15 DX
QSO: 14086 RY 2020-09-26 1029 JJ2HCM        599 25 DX RW4W          599 16 DX
QSO: 14088 RY 2020-09-26 1032 JJ2HCM        599 25 DX I3MU          599 15 DX
QSO: 14090 RY 2020-09-26 1035 JJ2HCM        599 25 DX YU1UN         599 15 DX
QSO: 14090 RY 2020-09-26 1042 JJ2HCM        599 25 DX IZ1PKV        599 15 DX
QSO: 14091 RY 2020-09-26 1044 JJ2HCM        599 25 DX HB9OCR        599 14 DX
QSO: 14095 RY 2020-09-26 1046 JJ2HCM        599 25 DX 9M2TDX        599 28 DX
QSO: 14096 RY 2020-09-26 1047 JJ2HCM        599 25 DX YB1TQL        599 28 DX
QSO: 14099 RY 2020-09-26 1049 JJ2HCM        599 25 DX RZ6D          599 16 DX
QSO: 14100 RY 2020-09-26 1050 JJ2HCM        599 25 DX IQ2CJ         599 15 DX
QSO: 14102 RY 2020-09-26 1051 JJ2HCM        599 25 DX OM7M          599 15 DX
QSO: 14110 RY 2020-09-26 1056 JJ2HCM        599 25 DX EC5K          599 14 DX
QSO: 14110 RY 2020-09-26 1059 JJ2HCM        599 25 DX R9MJ          599 17 DX
