START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: CQ-WW-RTTY
CALLSIGN: JI2TKX
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: JI2TKX
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for CQ-WW-RTTY CQWWRTTY/2025.
QSO: 14081 RY 2025-09-27 1201 JI2TKX        599 25 DX OA4O          599 10 DX
QSO: 14094 RY 2025-09-27 1209 JI2TKX        599 25 DX CB3A          599 12 DX
QSO: 14098 RY 2025-09-27 1212 JI2TKX        599 25 DX VK4SN         599 30 DX
QSO: 14118 RY 2025-09-27 1215 JI2TKX        599 25 DX VY2/WE5DX     599 05 PEI
QSO: 28082 RY 2025-09-27 2157 JI2TKX        599 25 DX WX5S          599 03 CA
QSO: 28085 RY 2025-09-27 2201 JI2TKX        599 25 DX KL7SB         599 1 DX
QSO: 28089 RY 2025-09-27 2206 JI2TKX        599 25 DX WI9WI         599 4 WI
QSO: 28090 RY 2025-09-27 2211 JI2TKX        599 25 DX AH2R          599 27 DX
QSO: 28097 RY 2025-09-27 2214 JI2TKX        599 25 DX K6LL          599 03 AZ
QSO: 28098 RY 2025-09-27 2216 JI2TKX        599 25 DX VE7HS         599 03 BC
QSO: 28102 RY 2025-09-27 2218 JI2TKX        599 25 DX VA7KO         599 03 BC
QSO: 28105 RY 2025-09-27 2219 JI2TKX        599 25 DX KL2R          599 01 DX
QSO: 28110 RY 2025-09-27 2223 JI2TKX        599 25 DX K7BVT         599 03 OR
QSO: 28114 RY 2025-09-27 2225 JI2TKX        599 25 DX VK2DG         599 30 DX
QSO: 28117 RY 2025-09-27 2226 JI2TKX        599 25 DX K2PO          599 03 OR
QSO: 28118 RY 2025-09-27 2228 JI2TKX        599 25 DX K4ZW          599 5 VA
QSO: 28123 RY 2025-09-27 2230 JI2TKX        599 25 DX LT6T          599 13 DX
QSO: 28138 RY 2025-09-27 2233 JI2TKX        599 25 DX PY2SNX        599 11 DX
QSO: 21102 RY 2025-09-27 2239 JI2TKX        599 25 DX TF3VS         599 40 DX
QSO: 21123 RY 2025-09-28 0243 JI2TKX        599 25 DX AL2F          599 01 DX
QSO: 21081 RY 2025-09-28 0246 JI2TKX        599 25 DX K6XX          599 03 CA
QSO: 21080 RY 2025-09-28 0249 JI2TKX        599 25 DX JT1YL         599 23 DX
QSO: 21087 RY 2025-09-28 0255 JI2TKX        599 25 DX W7FN          599 03 WA
QSO: 21093 RY 2025-09-28 0259 JI2TKX        599 25 DX VE7LWW        599 03 BC
QSO: 21112 RY 2025-09-28 0315 JI2TKX        599 25 DX AH2R          599 27 DX
QSO: 14092 RY 2025-09-28 0326 JI2TKX        599 25 DX XE2W          599 6 DX
QSO: 28097 RY 2025-09-28 0335 JI2TKX        599 25 DX AZ1D          599 13 DX
QSO: 28000 RY 2025-09-28 0340 JI2TKX        599 25 DX V6D           599 27 DX
QSO: 28080 RY 2025-09-28 0630 JI2TKX        599 25 DX 4X7M          599 20 DX
QSO: 28082 RY 2025-09-28 0632 JI2TKX        599 25 DX 9A1A          599 15 DX
QSO: 28081 RY 2025-09-28 0634 JI2TKX        599 25 DX LZ2K          599 20 DX
QSO: 28082 RY 2025-09-28 0635 JI2TKX        599 25 DX IO3X          599 15 DX
QSO: 28084 RY 2025-09-28 0636 JI2TKX        599 25 DX YT1X          599 15 DX
QSO: 28085 RY 2025-09-28 0637 JI2TKX        599 25 DX IQ9RG         599 15 DX
QSO: 28089 RY 2025-09-28 0641 JI2TKX        599 25 DX SN7T          599 15 DX
QSO: 28090 RY 2025-09-28 0643 JI2TKX        599 25 DX IK4HVR        599 15 DX
QSO: 28091 RY 2025-09-28 0645 JI2TKX        599 25 DX UP7L          599 17 DX
QSO: 28092 RY 2025-09-28 0649 JI2TKX        599 25 DX DH8BQA        599 14 DX
QSO: 28126 RY 2025-09-28 1007 JI2TKX        599 25 DX EI7M          599 14 DX
QSO: 28123 RY 2025-09-28 1012 JI2TKX        599 25 DX DA2X          599 14 DX
QSO: 28116 RY 2025-09-28 1016 JI2TKX        599 25 DX HB9DVZ        599 14 DX
QSO: 28093 RY 2025-09-28 1029 JI2TKX        599 25 DX M0TDW         599 14 DX
QSO: 28090 RY 2025-09-28 1032 JI2TKX        599 25 DX OE2E          599 15 DX
QSO: 21125 RY 2025-09-28 1123 JI2TKX        599 25 DX TF3W          599 40 DX
QSO: 21089 RY 2025-09-28 1140 JI2TKX        599 25 DX MW1B          599 14 DX
QSO: 28081 RY 2025-09-28 2245 JI2TKX        599 25 DX N4ZZ          599 04 TN
QSO: 28082 RY 2025-09-28 2246 JI2TKX        599 25 DX KN7K          599 03 OR
QSO: 28085 RY 2025-09-28 2248 JI2TKX        599 25 DX NJ4P          599 04 TN
QSO: 28087 RY 2025-09-28 2251 JI2TKX        599 25 DX W6EU          599 03 CA
