START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: FD CW
CALLSIGN: UA9LAO
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: UA9LAO
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for FD CW DARC/Fieldday/CW/2017.
QSO: 14000 CW 2017-06-03 1503 UA9LAO        599 DM3C/P        599 3
QSO: 14000 CW 2017-06-03 1510 UA9LAO        599 008 DM5A/P        599 013
QSO: 14036 CW 2017-06-03 1513 UA9LAO        599 0010 LZ7M/P        599 0009
QSO: 14027 CW 2017-06-03 1516 UA9LAO        599 014 SM9A/P        599 0029
QSO: 14000 CW 2017-06-03 1519 UA9LAO        599 016 DL0C/P        599 017
QSO: 14016 CW 2017-06-03 1520 UA9LAO        599 0017 LZ6C          599 0057
QSO: 14000 CW 2017-06-03 1525 UA9LAO        599 20 EU1WW/P       599 28
QSO: 14018 CW 2017-06-03 1526 UA9LAO        599 0021 S50BCC/P      599 0064
QSO: 14040 CW 2017-06-03 1533 UA9LAO        599 027 DL9W/P        599 0025
QSO: 14000 CW 2017-06-03 1534 UA9LAO        599 28 S59DZA/P      599 40
QSO: 14020 CW 2017-06-03 1542 UA9LAO        599 0032 SN5T/P        599 0058
QSO: 14000 CW 2017-06-03 1555 UA9LAO        599 043 YO4BEX        599 055
QSO: 14012 CW 2017-06-03 1559 UA9LAO        599 0046 DL0FU/P       599 0037
QSO: 14000 CW 2017-06-03 1602 UA9LAO        599 049 DL0GD/P       599 040
QSO: 14045 CW 2017-06-03 1606 UA9LAO        599 053 DF0ND/P       599 0047
QSO: 14000 CW 2017-06-03 1609 UA9LAO        599 055 EK0W/P        599 052
QSO: 14026 CW 2017-06-03 1616 UA9LAO        599 061 DL0LA/P       599 0111
QSO: 14028 CW 2017-06-03 1617 UA9LAO        599 052 DR7B/P        599 0061
QSO: 14032 CW 2017-06-03 1618 UA9LAO        599 063 DM5N/P        599 031
QSO: 14050 CW 2017-06-03 1625 UA9LAO        599 067 DL0CS/P       599 0070
QSO: 14004 CW 2017-06-03 1626 UA9LAO        599 0068 E77EA         599 0074
QSO: 14008 CW 2017-06-03 1627 UA9LAO        599 069 DK0V/P        599 0080
QSO:  7031 CW 2017-06-03 1639 UA9LAO        599 076 SM9A/P        599 0151
QSO: 21000 CW 2017-06-03 1651 UA9LAO        599 087 SV5/DL3DRN    599 045
QSO: 14031 CW 2017-06-03 1743 UA9LAO        599 0137 9A1AA         599 0244
QSO:  7024 CW 2017-06-03 1815 UA9LAO        599 0259 S50BCC/P      599 0292
QSO:  7019 CW 2017-06-03 1819 UA9LAO        599 0165 LZ7M/P        599 0279
QSO: 14005 CW 2017-06-03 1821 UA9LAO        599 167 DL0BL/P       599 0116
QSO: 14000 CW 2017-06-03 1822 UA9LAO        599 168 DL0MW/P       599 200
QSO:  7000 CW 2017-06-03 1838 UA9LAO        599 176 DR3X/P        599 175
QSO:  7000 CW 2017-06-03 1843 UA9LAO        599 0178 E77EA         599 0180
