START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: OK-OM DX Contest 2014
CALLSIGN: OK2ZDL
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: OK2ZDL
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for OK-OM DX Contest 2014 OK_OM_DX_Contest/2014/SSB.
QSO: 14240 PH 2014-04-13 0742 OK2ZDL        59 GJI OK2ZA         59 GTR
QSO: 21000 PH 2014-04-13 0745 OK2ZDL        59 GJI OK2PYA        59 GJI
QSO: 21249 PH 2014-04-13 0745 OK2ZDL        59 GJI OK2ZA         59 GTR
QSO: 14259 PH 2014-04-13 0750 OK2ZDL        59 GJI OK2ZI         59 GTR
QSO: 21260 PH 2014-04-13 0750 OK2ZDL        59 GJI OK2ZI         59 GTR
QSO: 28300 PH 2014-04-13 0751 OK2ZDL        59 GJI OK2ZI         59 GTR
QSO: 14000 PH 2014-04-13 0757 OK2ZDL        59 GJI OK2KFK        59 GZS
QSO: 14257 PH 2014-04-13 0757 OK2ZDL        59 GJI OH6NT         59 013
QSO: 14000 PH 2014-04-13 0758 OK2ZDL        59 GJI R2WW/QRP      59 48
QSO: 14280 PH 2014-04-13 0758 OK2ZDL        59 GJI OK1ES         59 BRA
QSO: 14000 PH 2014-04-13 0759 OK2ZDL        59 GJI RT9TM         59 137
QSO: 14200 PH 2014-04-13 0759 OK2ZDL        59 GJI EA3NA         59 016
QSO: 14100 PH 2014-04-13 0801 OK2ZDL        59 GJI UX4E          59 119
QSO: 14000 PH 2014-04-13 0803 OK2ZDL        59 GJI OK2GU         59 GJI
QSO: 21000 PH 2014-04-13 0805 OK2ZDL        59 GJI OK2GU         59 GJI
QSO: 14262 PH 2014-04-13 0829 OK2ZDL        59 GJI ES5G          59 421
QSO: 28482 PH 2014-04-13 0831 OK2ZDL        59 GJI OK2ZA         59 GTR
QSO: 14000 PH 2014-04-13 0834 OK2ZDL        59 GJI UA4SJO        59 064
QSO: 14253 PH 2014-04-13 0835 OK2ZDL        59 GJI ON5GQ         59 229
END-OF-LOG:
