START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: OK-OM DX Contest 2020
CALLSIGN: G4OBB
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: G4OBB
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for OK-OM DX Contest 2020 OK_OM_DX_Contest/2020/SSB.
QSO: 14178 PH 2020-04-11 1229 G4OBB         59 001 YP0C          59 063
QSO: 14224 PH 2020-04-11 1417 G4OBB         59 002 OM4MM         59 PAR
QSO: 14246 PH 2020-04-11 1452 G4OBB         59 3 SV9FBG        59 115
QSO: 14234 PH 2020-04-11 1453 G4OBB         59 4 RZ3Z          59 186
QSO:  7174 PH 2020-04-11 1456 G4OBB         59 009 OK4K          59 APF
QSO:  7121 PH 2020-04-11 1601 G4OBB         59 007 F6IRA         59 094
QSO:  7080 PH 2020-04-11 1625 G4OBB         59 008 OL7P          59 DDO
QSO:  7158 PH 2020-04-11 1629 G4OBB         59 009 OL8R          59 BPZ
QSO:  3755 PH 2020-04-11 1641 G4OBB         59 11 OK7W          59 FRK
QSO:  3769 PH 2020-04-11 1646 G4OBB         59 013 OK1AY         59 DDO
QSO:  3500 PH 2020-04-11 1725 G4OBB         59 014 OK3D          59 HOS
QSO:  7144 PH 2020-04-11 1727 G4OBB         59 15 HB9NE         59 179
QSO:  7000 PH 2020-04-11 1728 G4OBB         59 006 OL9Z          59 HKA
QSO:  7199 PH 2020-04-11 1735 G4OBB         59 017 EC1KR         59 473
QSO:  7191 PH 2020-04-11 1827 G4OBB         59 019 OK1OA         59 ELI
QSO:  3500 PH 2020-04-11 1831 G4OBB         59 020 OK1GTH        59 DPM
QSO:  3500 PH 2020-04-11 1903 G4OBB         59 21 OK1DOL        59 DPS
QSO:  7000 PH 2020-04-12 0728 G4OBB         59 029 F5OHM         59 487
QSO: 14245 PH 2020-04-12 0848 G4OBB         59 031 R1CAM         59 391
QSO: 14206 PH 2020-04-12 0852 G4OBB         59 036 HG7T          59 247
END-OF-LOG:
