START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: OK-OM DX Contest 2021
CALLSIGN: DK1YP
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: DK1YP
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for OK-OM DX Contest 2021 OK_OM_DX_Contest/2021/SSB.
QSO:  7098 PH 2021-04-10 1446 DK1YP         59 001 OK7W          59 FRK
QSO:  7000 PH 2021-04-10 1459 DK1YP         59 3 S51CK         59 199
QSO:  7000 PH 2021-04-10 1505 DK1YP         59 004 OM5WW         59 LVC
QSO: 14000 PH 2021-04-10 1512 DK1YP         59 005 IT9IRV        59 0049
QSO: 14220 PH 2021-04-10 1519 DK1YP         59 006 TA3LHH        59 261
QSO: 14200 PH 2021-04-10 1526 DK1YP         59 007 YM1KM         59 205
QSO: 14265 PH 2021-04-10 1532 DK1YP         59 007 UT3EV         59 205
QSO:  7000 PH 2021-04-10 1541 DK1YP         59 8 OM7PY         59 LUC
QSO:  7190 PH 2021-04-10 1547 DK1YP         59 009 8S8S          59 123
QSO:  7185 PH 2021-04-10 1555 DK1YP         59 010 OM77PA        59 PAR
QSO:  3722 PH 2021-04-10 1756 DK1YP         59 12 OK5Z          59 GTR
QSO:  3714 PH 2021-04-10 1803 DK1YP         59 013 OM77PA        59 PAR
QSO: 14276 PH 2021-04-11 0906 DK1YP         59 14 SK2T          59 317
QSO: 14274 PH 2021-04-11 0914 DK1YP         59 015 7S2A          59 0194
QSO: 14200 PH 2021-04-11 0922 DK1YP         59 016 SY2DCF        59 138
QSO: 14188 PH 2021-04-11 0935 DK1YP         59 18 SV3RPQ        59 317
QSO: 14209 PH 2021-04-11 0942 DK1YP         59 019 RW1F          59 536
QSO: 14238 PH 2021-04-11 0948 DK1YP         59 020 IU0OVB        59 0390
END-OF-LOG:
