START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: OK-OM DX Contest 2021
CALLSIGN: DK6XN
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: DK6XN
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for OK-OM DX Contest 2021 OK_OM_DX_Contest/2021/SSB.
QSO: 14214 PH 2021-04-10 1319 DK6XN         59 001 RA3Y          59 062
QSO: 14220 PH 2021-04-10 1323 DK6XN         59 002 TA3LHH        59 097
QSO: 14200 PH 2021-04-10 1328 DK6XN         59 004 YM1KM         59 058
QSO: 14204 PH 2021-04-10 1331 DK6XN         59 005 EO50FF        59 177
QSO: 14000 PH 2021-04-10 1332 DK6XN         59 006 RA9SDT        59 033
QSO: 14266 PH 2021-04-10 1335 DK6XN         59 007 UT3EV         59 129
QSO: 14270 PH 2021-04-10 1337 DK6XN         59 008 TA2IJ         59 028
QSO:  7000 PH 2021-04-10 1340 DK6XN         59 9 OM5WW         59 LVC
QSO:  7169 PH 2021-04-10 1343 DK6XN         59 10 SQ9V          59 052
QSO:  7122 PH 2021-04-10 1348 DK6XN         59 013 IU0OVB        59 0056
QSO:  7141 PH 2021-04-10 1348 DK6XN         59 12 OM3RM         59 DST
QSO:  7104 PH 2021-04-10 1351 DK6XN         59 016 IZ2FOS        59 0109
QSO: 14000 PH 2021-04-10 1436 DK6XN         59 17 RK4FAO        59 122
QSO:  7197 PH 2021-04-10 1840 DK6XN         59 018 G6MC          59 264
QSO:  7000 PH 2021-04-10 1844 DK6XN         59 021 YT5LD         59 014
QSO:  7140 PH 2021-04-10 1847 DK6XN         59 022 OK7W          59 FRK
QSO:  7136 PH 2021-04-10 1849 DK6XN         59 023 YL3CU         59 103
END-OF-LOG:
