START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: OK-OM DX Contest 2021
CALLSIGN: F1GZV
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: F1GZV
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for OK-OM DX Contest 2021 OK_OM_DX_Contest/2021/SSB.
QSO: 14220 PH 2021-04-10 1347 F1GZV         59 001 TA3LHH        59 135
QSO: 14175 PH 2021-04-10 1352 F1GZV         59 002 8S8S          59 042
QSO: 14222 PH 2021-04-10 1355 F1GZV         59 3 8S0C          59 016
QSO: 14275 PH 2021-04-10 1357 F1GZV         59 4 SK2T          59 091
QSO: 14200 PH 2021-04-10 1403 F1GZV         59 005 YM1KM         59 117
QSO: 14204 PH 2021-04-10 1417 F1GZV         59 006 EO50FF        59 242
QSO: 14195 PH 2021-04-10 1419 F1GZV         59 007 ES4RD         59 121
QSO: 14191 PH 2021-04-10 1421 F1GZV         59 008 UR4QFP        59 030
QSO: 14162 PH 2021-04-10 1428 F1GZV         59 009 NE1C          59 143
QSO: 14215 PH 2021-04-10 1444 F1GZV         59 010 TA1BAB        59 049
QSO: 14171 PH 2021-04-10 1507 F1GZV         59 011 YL3CU         59 034
QSO: 14280 PH 2021-04-10 1518 F1GZV         59 012 EA7ATX        59 105
QSO: 14240 PH 2021-04-10 1524 F1GZV         59 013 TA2IJ         59 060
QSO: 14221 PH 2021-04-10 1529 F1GZV         59 014 EA8DHV        59 014
QSO:  7000 PH 2021-04-10 1546 F1GZV         59 15 S51CK         59 217
QSO:  7129 PH 2021-04-10 1551 F1GZV         59 016 IU0OVB        59 0090
QSO:  7000 PH 2021-04-10 2130 F1GZV         59 017 OM5WW         59 LVC
QSO:  7172 PH 2021-04-10 2137 F1GZV         59 018 OM7KW         59 PAR
QSO:  1840 PH 2021-04-10 2142 F1GZV         59 19 IK0NMJ        59 122
QSO:  1830 PH 2021-04-10 2143 F1GZV         59 020 OM2XW         59 MYJ
QSO:  1847 PH 2021-04-10 2145 F1GZV         59 21 EA7EU         59 068
QSO:  3600 PH 2021-04-10 2152 F1GZV         59 023 SP9DTE        59 168
QSO:  3761 PH 2021-04-10 2155 F1GZV         59 024 OK2VK         59 HPR
QSO:  3752 PH 2021-04-10 2156 F1GZV         59 025 OM77PA        59 PAR
QSO:  3750 PH 2021-04-10 2158 F1GZV         59 026 OK5Z          59 GTR
QSO:  3745 PH 2021-04-10 2201 F1GZV         59 028 IK2YCW        59 330
QSO:  3729 PH 2021-04-10 2204 F1GZV         59 029 OM1ALT        59 BAD
QSO:  3500 PH 2021-04-10 2206 F1GZV         59 30 OK2BMI        59 HOL
QSO:  3500 PH 2021-04-10 2207 F1GZV         59 031 9A3LED        59 213
QSO:  3500 PH 2021-04-10 2209 F1GZV         59 032 IZ8YAA        59 0030
QSO:  3500 PH 2021-04-10 2211 F1GZV         59 033 IZ2XCK        59 0038
QSO:  3686 PH 2021-04-10 2213 F1GZV         59 034 OK1KDO        59 DDO
QSO:  3500 PH 2021-04-10 2219 F1GZV         59 36 OK2HBR        59 HOL
QSO:  3718 PH 2021-04-10 2222 F1GZV         59 037 RA3Y          59 474
QSO:  3726 PH 2021-04-10 2225 F1GZV         59 038 YT4ZZ         59 032
QSO:  3731 PH 2021-04-10 2230 F1GZV         59 039 OK1AGE        59 BPZ
QSO:  3768 PH 2021-04-10 2232 F1GZV         59 040 SP8KP         59 0268
QSO:  3500 PH 2021-04-10 2239 F1GZV         59 044 OK2MBP        59 HNJ
QSO:  3774 PH 2021-04-10 2244 F1GZV         59 46 8S0C          59 311
END-OF-LOG:
