START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: OK-OM DX Contest 2024
CALLSIGN: DL4SEQ
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: DL4SEQ
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for OK-OM DX Contest 2024 OK_OM_DX_Contest/2024/CW.
QSO: 14007 CW 2024-11-09 1227 DL4SEQ        599 1 PA3AAV        599 31
QSO: 14000 CW 2024-11-09 1228 DL4SEQ        599 002 I6FDJ         599 0027
QSO: 14012 CW 2024-11-09 1237 DL4SEQ        599 003 OK1XGL        599 CBU
QSO: 14000 CW 2024-11-09 1241 DL4SEQ        599 004 UT5NC         599 032
QSO: 14016 CW 2024-11-09 1245 DL4SEQ        599 005 OZ8AE         599 044
QSO: 14017 CW 2024-11-09 1247 DL4SEQ        599 6 SM6TOL        599 046
QSO: 14018 CW 2024-11-09 1250 DL4SEQ        599 007 OM2X          599 MYJ
QSO: 14019 CW 2024-11-09 1250 DL4SEQ        599 008 OK2EA         599 HVS
QSO: 14020 CW 2024-11-09 1258 DL4SEQ        599 009 OL7D          599 BNY
QSO: 14020 CW 2024-11-09 1300 DL4SEQ        599 010 OK2NO         599 HBR
QSO: 14000 CW 2024-11-09 1303 DL4SEQ        599 11 OM0MW         599 PRE
QSO: 14031 CW 2024-11-09 1306 DL4SEQ        599 012 OM3CGN        599 KEO
QSO: 14032 CW 2024-11-09 1308 DL4SEQ        599 13 OK5NZ         599 FSE
QSO: 14034 CW 2024-11-09 1310 DL4SEQ        599 014 OM7LM         599 ZVO
QSO: 14000 CW 2024-11-09 1315 DL4SEQ        599 015 OM3CPF        599 SEA
QSO: 14039 CW 2024-11-09 1317 DL4SEQ        599 16 SV1JG         599 084
QSO: 14000 CW 2024-11-09 1319 DL4SEQ        599 017 OK1FRO        599 APJ
QSO: 14000 CW 2024-11-09 1325 DL4SEQ        599 18 OL90ABU       599 GZS
QSO: 14056 CW 2024-11-09 1328 DL4SEQ        599 019 OL3M          599 FUO
QSO: 21030 CW 2024-11-09 1333 DL4SEQ        599 020 UR7LY         599 051
QSO:  7015 CW 2024-11-09 1338 DL4SEQ        599 021 OK1Z          599 CPI
QSO: 14000 CW 2024-11-09 1352 DL4SEQ        599 24 OL2A          599 GZS
QSO: 14015 CW 2024-11-09 1355 DL4SEQ        599 25 LZ5Y          599 124
QSO: 14000 CW 2024-11-09 1358 DL4SEQ        599 026 OK7L          599 FTR
QSO: 14016 CW 2024-11-09 1401 DL4SEQ        599 28 OL1C          599 ETE
QSO: 14017 CW 2024-11-09 1404 DL4SEQ        599 029 OM5JA         599 NIT
QSO: 14010 CW 2024-11-09 1638 DL4SEQ        599 30 OL0W          599 BBE
QSO: 14011 CW 2024-11-09 1640 DL4SEQ        599 031 OM7LW         599 LUC
QSO: 14012 CW 2024-11-09 1643 DL4SEQ        599 032 EI5DI         599 057
QSO: 14015 CW 2024-11-09 1644 DL4SEQ        599 33 OM8CW         599 LEV
QSO: 14000 CW 2024-11-09 1652 DL4SEQ        599 35 TA2DA         599 198
QSO: 14020 CW 2024-11-09 1654 DL4SEQ        599 036 YU1YV         599 218
QSO: 14022 CW 2024-11-09 1659 DL4SEQ        599 037 K3UL          599 134
QSO: 14029 CW 2024-11-09 1711 DL4SEQ        599 38 OM5CM         599 DST
QSO: 14032 CW 2024-11-09 1715 DL4SEQ        599 039 EA7Q          599 071
QSO:  7007 CW 2024-11-09 1901 DL4SEQ        599 040 OE6JOZ        599 160
QSO:  7000 CW 2024-11-09 1906 DL4SEQ        599 051 YU5T          599 153
QSO:  3500 CW 2024-11-09 1909 DL4SEQ        599 42 OL2A          599 GZS
QSO:  3500 CW 2024-11-09 1921 DL4SEQ        599 044 OK2MBP        599 HNJ
QSO:  3500 CW 2024-11-10 0449 DL4SEQ        599 045 OM3CDN        599 BAC
QSO:  7010 CW 2024-11-10 0455 DL4SEQ        599 046 DL5YYM        599 696
QSO:  7012 CW 2024-11-10 0458 DL4SEQ        599 047 OK7O          599 DPS
QSO:  7000 CW 2024-11-10 0503 DL4SEQ        599 048 OK1CRM        599 DDO
QSO:  7016 CW 2024-11-10 0505 DL4SEQ        599 050 OK1XGL        599 CBU
QSO:  7017 CW 2024-11-10 0508 DL4SEQ        599 051 OL8M          599 DPM
QSO:  7000 CW 2024-11-10 0510 DL4SEQ        599 52 TA2DA         599 378
QSO:  7020 CW 2024-11-10 0511 DL4SEQ        599 053 OK1GSB        599 BPB
QSO:  7023 CW 2024-11-10 0543 DL4SEQ        599 55 YO6FGZ        599 105
QSO:  7025 CW 2024-11-10 0545 DL4SEQ        599 056 LZ7DX         599 210
QSO:  7027 CW 2024-11-10 0546 DL4SEQ        599 57 HG6C          599 296
QSO:  7010 CW 2024-11-10 0552 DL4SEQ        599 058 OL3Z          599 APD
QSO:  7013 CW 2024-11-10 0554 DL4SEQ        599 59 OL5W          599 BPB
QSO:  7014 CW 2024-11-10 0556 DL4SEQ        599 060 OL7D          599 BNY
QSO:  7015 CW 2024-11-10 0557 DL4SEQ        599 61 YL2EA         599 160
QSO:  7016 CW 2024-11-10 0559 DL4SEQ        599 62 LZ5DI         599 715
QSO:  7018 CW 2024-11-10 0600 DL4SEQ        599 63 HG1G          599 1049
QSO:  7019 CW 2024-11-10 0604 DL4SEQ        599 064 OK1HEH        599 FCR
QSO:  7019 CW 2024-11-10 0604 DL4SEQ        599 65 YL7X          599 833
QSO:  7021 CW 2024-11-10 0611 DL4SEQ        599 066 IS0AFM        599 0048
QSO:  7023 CW 2024-11-10 0615 DL4SEQ        599 068 OM7LM         599 ZVO
QSO:  7023 CW 2024-11-10 0616 DL4SEQ        599 069 OM3ZU         599 PRE
QSO:  7024 CW 2024-11-10 0618 DL4SEQ        599 70 YO5ODT        599 054
QSO:  7024 CW 2024-11-10 0620 DL4SEQ        599 071 OL0W          599 BBE
QSO:  7026 CW 2024-11-10 0621 DL4SEQ        599 072 OK1DUG        599 ETE
QSO:  7026 CW 2024-11-10 0636 DL4SEQ        599 74 OK1DO         599 DSO
QSO:  7028 CW 2024-11-10 0637 DL4SEQ        599 075 9A1AA         599 377
QSO:  7000 CW 2024-11-10 0638 DL4SEQ        599 076 OK1FMJ        599 FUO
QSO:  7000 CW 2024-11-10 0651 DL4SEQ        599 079 OK6OK         599 HNJ
QSO:  7016 CW 2024-11-10 0656 DL4SEQ        599 80 LY6O          599 295
QSO:  7019 CW 2024-11-10 0700 DL4SEQ        599 81 OL1C          599 ETE
QSO:  7020 CW 2024-11-10 0702 DL4SEQ        599 082 OK2MPB        599 GUH
QSO:  7020 CW 2024-11-10 0703 DL4SEQ        599 083 SP3VT         599 263
QSO:  7020 CW 2024-11-10 0704 DL4SEQ        599 084 DL5YL         599 157
QSO:  7021 CW 2024-11-10 0709 DL4SEQ        599 085 IK5MEP        599 0146
QSO:  7010 CW 2024-11-10 0711 DL4SEQ        599 86 SP2XX         599 148
QSO:  7024 CW 2024-11-10 0713 DL4SEQ        599 87 SP4TKR        599 340
QSO:  7026 CW 2024-11-10 0715 DL4SEQ        599 088 HA6NL         599 588
QSO:  7027 CW 2024-11-10 0716 DL4SEQ        599 089 OK8EAO        599 CCK
END-OF-LOG:
