START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: OK-OM DX Contest 2024
CALLSIGN: F8EFU
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: F8EFU
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for OK-OM DX Contest 2024 OK_OM_DX_Contest/2024/CW.
QSO: 14022 CW 2024-11-09 1639 F8EFU         599 001 M4N           599 175
QSO: 14022 CW 2024-11-09 1640 F8EFU         599 2 HG1G          599 480
QSO: 14022 CW 2024-11-09 1640 F8EFU         599 3 SM0Q          599 078
QSO: 14021 CW 2024-11-09 1641 F8EFU         599 4 HA3LDL        599 098
QSO: 14022 CW 2024-11-09 1641 F8EFU         599 005 OM3ZU         599 PRE
QSO: 14022 CW 2024-11-09 1642 F8EFU         599 6 OK1BR         599 BRA
QSO: 14025 CW 2024-11-09 1642 F8EFU         599 007 OK1DSA        599 ELT
QSO: 14000 CW 2024-11-09 1643 F8EFU         599 009 DL7GW         599 039
QSO: 14022 CW 2024-11-09 1644 F8EFU         599 010 S59AA         599 010
QSO: 14000 CW 2024-11-09 1647 F8EFU         599 013 HG7J          599 006
QSO: 14000 CW 2024-11-09 1647 F8EFU         599 012 OM3TBG        599 NIT
QSO: 14022 CW 2024-11-09 1647 F8EFU         599 14 YL7X          599 346
QSO: 14000 CW 2024-11-09 1649 F8EFU         599 15 OK2BRS        599 HVS
QSO: 14022 CW 2024-11-09 1651 F8EFU         599 017 LZ2MP         599 159
QSO: 14021 CW 2024-11-09 1653 F8EFU         599 019 OK2NO         599 HBR
QSO: 14022 CW 2024-11-09 1656 F8EFU         599 20 OM3KFY        599 BAB
QSO: 14022 CW 2024-11-09 1657 F8EFU         599 021 LZ7O          599 023
QSO: 14022 CW 2024-11-09 1659 F8EFU         599 024 G3SQU         599 014
QSO: 14022 CW 2024-11-09 1659 F8EFU         599 23 YL2PJ         599 169
QSO: 14000 CW 2024-11-09 1703 F8EFU         599 025 OK6OK         599 HNJ
QSO: 14016 CW 2024-11-09 1705 F8EFU         599 027 OM2X          599 MYJ
QSO: 14029 CW 2024-11-09 1707 F8EFU         599 29 OM5CM         599 DST
QSO: 14047 CW 2024-11-09 1710 F8EFU         599 30 OH3KAV        599 094
QSO: 14047 CW 2024-11-09 1711 F8EFU         599 31 OK6CX         599 GPR
QSO: 14047 CW 2024-11-09 1712 F8EFU         599 32 EA3NO         599 176
QSO: 14046 CW 2024-11-09 1713 F8EFU         599 033 OK1DKE        599 CBU
QSO: 14014 CW 2024-11-09 1716 F8EFU         599 35 OM8CW         599 LEV
QSO: 14048 CW 2024-11-09 1720 F8EFU         599 037 OL40QRP       599 BPV
QSO: 14000 CW 2024-11-09 1724 F8EFU         599 038 LY2LF         599 063
QSO: 14026 CW 2024-11-09 1724 F8EFU         599 040 UT3EV         599 160
QSO:  7025 CW 2024-11-09 1729 F8EFU         599 041 HA6NL         599 291
QSO:  7025 CW 2024-11-09 1729 F8EFU         599 42 LZ5DI         599 309
QSO:  7026 CW 2024-11-09 1730 F8EFU         599 043 S57X          599 105
QSO:  7025 CW 2024-11-09 1731 F8EFU         599 44 OL5Y          599 BKO
QSO:  7025 CW 2024-11-09 1731 F8EFU         599 046 YO6ZS         599 066
QSO:  7025 CW 2024-11-09 1732 F8EFU         599 047 DM2DZM        599 040
QSO:  7025 CW 2024-11-09 1733 F8EFU         599 049 LY4T          599 024
QSO:  7025 CW 2024-11-09 1733 F8EFU         599 048 SP6MQO        599 061
QSO:  7000 CW 2024-11-09 1735 F8EFU         599 050 OK1FMJ        599 FUO
QSO:  7000 CW 2024-11-09 1736 F8EFU         599 52 DF5M          599 034
QSO:  7025 CW 2024-11-09 1736 F8EFU         599 51 YL1YF         599 146
QSO:  7025 CW 2024-11-09 1737 F8EFU         599 053 UW1M          599 355
QSO:  7025 CW 2024-11-09 1738 F8EFU         599 54 M1X           599 141
QSO:  7025 CW 2024-11-09 1738 F8EFU         599 055 SD6M          599 029
QSO:  7025 CW 2024-11-09 1741 F8EFU         599 57 DK3WN         599 157
QSO:  7025 CW 2024-11-09 1741 F8EFU         599 56 HG1G          599 569
QSO:  7025 CW 2024-11-09 1742 F8EFU         599 059 DA2K          599 131
QSO:  7025 CW 2024-11-09 1742 F8EFU         599 57 SN7J          599 081
QSO:  7025 CW 2024-11-09 1743 F8EFU         599 060 DD1HL         599 054
QSO:  7025 CW 2024-11-09 1744 F8EFU         599 062 OU2I          599 190
QSO:  7025 CW 2024-11-09 1744 F8EFU         599 061 UR4QWW        599 104
QSO:  7000 CW 2024-11-09 1746 F8EFU         599 063 OK1LV         599 DPM
QSO:  7025 CW 2024-11-09 1746 F8EFU         599 64 UR7MZ         599 250
QSO:  7025 CW 2024-11-09 1747 F8EFU         599 065 DF7CP         599 086
QSO:  7008 CW 2024-11-09 1810 F8EFU         599 68 LY7M          599 184
QSO:  7008 CW 2024-11-09 1811 F8EFU         599 070 HA5AX         599 061
