START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: OK-OM DX Contest 2024
CALLSIGN: N8UM
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: N8UM
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for OK-OM DX Contest 2024 OK_OM_DX_Contest/2024/CW.
QSO: 14029 CW 2024-11-09 1202 N8UM          599 001 DL5YYM        599 004
QSO: 14015 CW 2024-11-09 1204 N8UM          599 2 OM8CW         599 LEV
QSO: 14031 CW 2024-11-09 1206 N8UM          599 3 OK5D          599 ETE
QSO: 14031 CW 2024-11-09 1207 N8UM          599 004 OM3CGN        599 KEO
QSO: 14020 CW 2024-11-09 1209 N8UM          599 005 OL7D          599 BNY
QSO: 21000 CW 2024-11-09 1601 N8UM          599 6 OM5R          599 LVC
QSO: 21027 CW 2024-11-09 1602 N8UM          599 006 OL0A          599 BKO
QSO: 21018 CW 2024-11-09 1603 N8UM          599 8 OK7O          599 DPS
QSO: 21037 CW 2024-11-09 1603 N8UM          599 9 OL5Y          599 BKO
QSO: 21026 CW 2024-11-09 1604 N8UM          599 011 OK1MAW        599 FSV
QSO: 21029 CW 2024-11-09 1605 N8UM          599 12 OK1DO         599 DSO
QSO: 21032 CW 2024-11-09 1605 N8UM          599 13 OK5D          599 ETE
QSO: 21047 CW 2024-11-09 1606 N8UM          599 14 OK1KKI        599 CJH
QSO: 21000 CW 2024-11-09 1607 N8UM          599 015 F5JU          599 089
QSO: 21046 CW 2024-11-09 1608 N8UM          599 017 UW1M          599 242
QSO: 21047 CW 2024-11-09 1608 N8UM          599 16 LY2CX         599 038
QSO: 21047 CW 2024-11-09 1609 N8UM          599 18 PA3EMN        599 027
QSO: 21020 CW 2024-11-09 1613 N8UM          599 23 OM8CW         599 LEV
QSO: 21017 CW 2024-11-09 1614 N8UM          599 024 OL3Z          599 APD
QSO: 21013 CW 2024-11-09 1615 N8UM          599 025 DF7CP         599 020
QSO: 21013 CW 2024-11-09 1616 N8UM          599 026 OM7LW         599 LUC
QSO: 21013 CW 2024-11-09 1618 N8UM          599 28 YU1YV         599 186
QSO: 21014 CW 2024-11-09 1618 N8UM          599 27 OM3KFY        599 BAB
QSO: 21014 CW 2024-11-09 1618 N8UM          599 29 OM3RKA        599 KOM
QSO: 21035 CW 2024-11-09 1622 N8UM          599 32 OL3A          599 DDO
QSO: 21000 CW 2024-11-09 1623 N8UM          599 033 OK5AS         599 HKA
QSO: 21013 CW 2024-11-09 1624 N8UM          599 034 W5TM          599 022
QSO: 21013 CW 2024-11-09 1625 N8UM          599 35 HA3LDL        599 092
QSO: 21014 CW 2024-11-09 1625 N8UM          599 036 UR7LY         599 143
QSO: 21000 CW 2024-11-09 1626 N8UM          599 037 OK1LV         599 DPM
QSO: 21000 CW 2024-11-09 1629 N8UM          599 40 PA1MUC        599 060
QSO: 21013 CW 2024-11-09 1629 N8UM          599 038 PC7E          599 061
QSO: 21022 CW 2024-11-09 1631 N8UM          599 41 OL5W          599 BPB
QSO: 14029 CW 2024-11-09 1634 N8UM          599 42 OM5CM         599 DST
QSO: 21200 CW 2024-11-09 1647 N8UM          599 043 OK1ES/P       599 DCH
QSO:  7011 CW 2024-11-10 0051 N8UM          599 45 OK7O          599 DPS
QSO:  7020 CW 2024-11-10 0051 N8UM          599 46 OM8CW         599 LEV
QSO:  7025 CW 2024-11-10 0052 N8UM          599 047 OK2QA         599 HPR
QSO:  7023 CW 2024-11-10 0053 N8UM          599 49 OM5ALL        599 NZA
QSO:  7031 CW 2024-11-10 0054 N8UM          599 50 OK6Y          599 GVY
QSO:  7028 CW 2024-11-10 0111 N8UM          599 051 OL3Z          599 APD
QSO:  7006 CW 2024-11-10 0300 N8UM          599 52 OL5Y          599 BKO
QSO: 14024 CW 2024-11-10 0537 N8UM          599 053 OM2X          599 MYJ
QSO: 14048 CW 2024-11-10 1046 N8UM          599 054 OL3Z          599 APD
QSO: 14023 CW 2024-11-10 1121 N8UM          599 55 OK7O          599 DPS
QSO: 14034 CW 2024-11-10 1121 N8UM          599 56 OL5Y          599 BKO
QSO: 14023 CW 2024-11-10 1122 N8UM          599 057 OK3DM         599 BBE
QSO: 14027 CW 2024-11-10 1123 N8UM          599 58 OK1BM         599 EJA
QSO: 14000 CW 2024-11-10 1125 N8UM          599 059 OK2HBR        599 HOL
QSO: 14012 CW 2024-11-10 1144 N8UM          599 060 OM3CW         599 DST
QSO: 14017 CW 2024-11-10 1146 N8UM          599 61 OK1KKI        599 CJH
QSO: 21024 CW 2024-11-10 1148 N8UM          599 062 OK2QA         599 HPR
QSO: 14015 CW 2024-11-10 1156 N8UM          599 63 OL0W          599 BBE
QSO: 14045 CW 2024-11-10 1157 N8UM          599 64 OK6Y          599 GVY
END-OF-LOG:
