START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: OK-OM DX Contest 2024
CALLSIGN: G7BZD
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: G7BZD
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for OK-OM DX Contest 2024 OK_OM_DX_Contest/2024/SSB.
QSO: 14255 PH 2024-04-13 1249 G7BZD         59 001 OK7O          59 DPS
QSO: 14278 PH 2024-04-13 1427 G7BZD         59 002 OK2KEA        59 GBV
QSO: 14252 PH 2024-04-13 1428 G7BZD         59 003 OL4N          59 ETE
QSO: 14195 PH 2024-04-13 1457 G7BZD         59 4 TK4TH         59 031
QSO: 14243 PH 2024-04-13 1510 G7BZD         59 005 OK1KKI        59 CJH
QSO: 14200 PH 2024-04-13 1516 G7BZD         59 6 EE3N          59 100
QSO: 14235 PH 2024-04-13 1519 G7BZD         59 007 IZ7FLP        59 0109
QSO: 14301 PH 2024-04-13 1524 G7BZD         59 008 OK6Y          59 GVY
QSO: 14000 PH 2024-04-13 1529 G7BZD         59 009 IZ2BVC        59 0042
QSO: 14238 PH 2024-04-13 1554 G7BZD         59 10 UT3EV         59 111
QSO: 14228 PH 2024-04-13 1742 G7BZD         59 012 OK1IC         59 BPB
QSO: 14306 PH 2024-04-13 1748 G7BZD         59 13 SE2P          59 266
QSO: 14261 PH 2024-04-13 1805 G7BZD         59 014 OL0W          59 BBE
QSO:  7144 PH 2024-04-13 1901 G7BZD         59 015 PB6W          59 105
QSO:  7152 PH 2024-04-13 1902 G7BZD         59 016 S51CK         59 146
QSO:  7162 PH 2024-04-13 1905 G7BZD         59 017 OK5Z          59 GTR
QSO:  7173 PH 2024-04-13 1907 G7BZD         59 018 OK7O          59 DPS
QSO:  7196 PH 2024-04-13 1909 G7BZD         59 019 PC0A          59 065
QSO:  7168 PH 2024-04-13 2113 G7BZD         59 020 OM4MM         59 PAR
QSO:  7121 PH 2024-04-13 2115 G7BZD         59 021 OL4N          59 ETE
QSO:  7198 PH 2024-04-13 2125 G7BZD         59 022 OM4AGW        59 BAN
QSO: 14258 PH 2024-04-14 0912 G7BZD         59 023 OK5Z          59 GTR
QSO: 14295 PH 2024-04-14 0956 G7BZD         59 024 OM4MM         59 PAR
QSO: 14304 PH 2024-04-14 0957 G7BZD         59 025 OK1KQH        59 BPB
QSO: 21265 PH 2024-04-14 1039 G7BZD         59 26 SE2P          59 576
QSO: 14226 PH 2024-04-14 1119 G7BZD         59 027 OK4T          59 DKV
END-OF-LOG:
