START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: OK-OM DX Contest 2024
CALLSIGN: OK1VHH
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: OK1VHH
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for OK-OM DX Contest 2024 OK_OM_DX_Contest/2024/SSB.
QSO: 14244 PH 2024-04-13 1359 OK1VHH        59 EDE IZ7FLP        59 0063
QSO: 14000 PH 2024-04-13 1404 OK1VHH        59 EDE IZ0VXY        59 0017
QSO: 14225 PH 2024-04-13 1411 OK1VHH        59 EDE UT3EV         59 39
QSO: 14248 PH 2024-04-13 1413 OK1VHH        59 EDE 8S8S          59 075
QSO: 14200 PH 2024-04-13 1414 OK1VHH        59 EDE EE3N          59 044
QSO: 14267 PH 2024-04-13 1415 OK1VHH        59 EDE SV3RPQ        59 076
QSO: 14283 PH 2024-04-13 1418 OK1VHH        59 EDE LA1K          59 129
QSO: 14210 PH 2024-04-13 1435 OK1VHH        59 EDE MI7DGO        59 073
QSO: 14229 PH 2024-04-13 1440 OK1VHH        59 EDE OM4MM         59 PAR
QSO: 14200 PH 2024-04-13 1511 OK1VHH        59 EDE LZ1DM         59 056
QSO: 14195 PH 2024-04-13 1520 OK1VHH        59 EDE TK4TH         59 064
QSO: 14201 PH 2024-04-13 1525 OK1VHH        59 EDE TA3NE         59 160
QSO: 14253 PH 2024-04-13 1530 OK1VHH        59 EDE IU8RIA        59 0126
QSO: 14263 PH 2024-04-13 1532 OK1VHH        59 EDE IT9PHU        59 0066
QSO:  7182 PH 2024-04-13 1539 OK1VHH        59 EDE OM2ADM        59 DST
QSO:  7179 PH 2024-04-13 1540 OK1VHH        59 EDE HA3DX         59 038
QSO:  7172 PH 2024-04-13 1541 OK1VHH        59 EDE SP6DVP        59 041
QSO:  7168 PH 2024-04-13 1542 OK1VHH        59 EDE OK2KEA        59 GBV
QSO:  7158 PH 2024-04-13 1546 OK1VHH        59 EDE OK2K          59 HPR
QSO: 21308 PH 2024-04-13 1622 OK1VHH        59 EDE CR3DX         59 076
QSO: 14214 PH 2024-04-13 1636 OK1VHH        59 EDE LZ5Y          59 139
QSO:  3500 PH 2024-04-13 1653 OK1VHH        59 EDE OK3D          59 HOS
QSO:  3770 PH 2024-04-13 1653 OK1VHH        59 EDE HF7A          59 009
QSO:  3500 PH 2024-04-13 1654 OK1VHH        59 EDE OK1CDS        59 DKL
QSO:  7171 PH 2024-04-13 1658 OK1VHH        59 EDE S51CK         59 078
QSO:  7175 PH 2024-04-13 1659 OK1VHH        59 EDE SP1JQJ        59 008
QSO:  7000 PH 2024-04-13 1701 OK1VHH        59 EDE OK2BMI        59 HOL
QSO:  7197 PH 2024-04-13 1703 OK1VHH        59 EDE OK2MBP        59 HNJ
QSO:  7000 PH 2024-04-13 1705 OK1VHH        59 EDE OK2HBR        59 HOL
QSO:  7159 PH 2024-04-13 1707 OK1VHH        59 EDE IZ1SAI        59 0007
QSO:  7154 PH 2024-04-13 1708 OK1VHH        59 EDE OK1KKI        59 CJH
QSO:  7136 PH 2024-04-13 1711 OK1VHH        59 EDE OM2XW         59 MYJ
QSO:  7168 PH 2024-04-14 0420 OK1VHH        59 EDE E73PS         59 176
QSO:  7182 PH 2024-04-14 0434 OK1VHH        59 EDE OK7O          59 DPS
QSO:  3500 PH 2024-04-14 0443 OK1VHH        59 EDE SN9Y          59 060
QSO:  3770 PH 2024-04-14 0500 OK1VHH        59 EDE OK2MBP        59 HNJ
QSO:  3762 PH 2024-04-14 0507 OK1VHH        59 EDE OK1AY         59 DPJ
QSO:  7000 PH 2024-04-14 0854 OK1VHH        59 EDE OK2ZLD        59 HOL
QSO: 14287 PH 2024-04-14 0910 OK1VHH        59 EDE EI7PRC        59 259
QSO: 14000 PH 2024-04-14 0934 OK1VHH        59 EDE IZ7DOK        59 0137
QSO: 14000 PH 2024-04-14 1003 OK1VHH        59 EDE G4POF         59 070
END-OF-LOG:
