START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: OK-OM DX Contest 2025
CALLSIGN: HB9DUR
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: HB9DUR
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for OK-OM DX Contest 2025 OK_OM_DX_Contest/2025/CW.
QSO:  7028 CW 2025-11-08 2234 HB9DUR        599 001 PA3GDD        599 009
QSO:  3536 CW 2025-11-08 2243 HB9DUR        599 001 E72U          599 015
QSO:  3516 CW 2025-11-08 2244 HB9DUR        599 002 IK4DCX        599 0150
QSO:  3529 CW 2025-11-08 2246 HB9DUR        599 003 OK2KG         599 GBL
QSO:  3538 CW 2025-11-08 2247 HB9DUR        599 004 OK5TFC        599 BMB
QSO:  7016 CW 2025-11-09 0814 HB9DUR        599 005 OK1Z          599 CPI
QSO:  7033 CW 2025-11-09 0816 HB9DUR        599 006 HB9ARF        599 503
QSO:  7000 CW 2025-11-09 0817 HB9DUR        599 007 OM6TU         599 MAR
QSO:  7014 CW 2025-11-09 0818 HB9DUR        599 008 OK2NO         599 HBR
QSO:  7031 CW 2025-11-09 0819 HB9DUR        599 9 YT1A          599 524
QSO:  7019 CW 2025-11-09 0822 HB9DUR        599 010 OM2ADM        599 GAL
QSO:  7011 CW 2025-11-09 0824 HB9DUR        599 011 ON4CAU        599 172
QSO:  7029 CW 2025-11-09 1139 HB9DUR        599 012 OE1BAA        599 221
QSO:  7000 CW 2025-11-09 1141 HB9DUR        599 013 OK2ZLD        599 HOL
QSO:  7011 CW 2025-11-09 1144 HB9DUR        599 014 OM8DD         599 RSO
QSO:  7026 CW 2025-11-09 1147 HB9DUR        599 015 OL26WRTC      599 BKO
QSO:  7020 CW 2025-11-09 1148 HB9DUR        599 016 OM0MM         599 PRE
QSO:  7017 CW 2025-11-09 1151 HB9DUR        599 018 OK7O          599 DPS
QSO:  7000 CW 2025-11-09 1152 HB9DUR        599 019 OK1DRX        599 BPZ
QSO: 14030 CW 2025-11-09 1154 HB9DUR        599 020 OM7LW         599 LUC
QSO: 14044 CW 2025-11-09 1154 HB9DUR        599 021 OK6Y          599 GVY
QSO: 14016 CW 2025-11-09 1155 HB9DUR        599 022 OK5D          599 ECL
END-OF-LOG:
