START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: OK-OM DX Contest 2025
CALLSIGN: K3VAR
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: K3VAR
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for OK-OM DX Contest 2025 OK_OM_DX_Contest/2025/CW.
QSO: 21025 CW 2025-11-08 1228 K3VAR         599 001 EA1X          599 059
QSO: 21014 CW 2025-11-08 1312 K3VAR         599 002 OM0R          599 LEV
QSO: 21032 CW 2025-11-08 1315 K3VAR         599 003 EI8X          599 096
QSO: 21026 CW 2025-11-08 1316 K3VAR         599 004 OK1TN         599 FJI
QSO: 21030 CW 2025-11-08 1357 K3VAR         599 004 OK3C          599 GTR
QSO: 21029 CW 2025-11-08 1400 K3VAR         599 005 EC5K          599 086
QSO: 21027 CW 2025-11-08 1401 K3VAR         599 006 OM4WM         599 PAR
QSO: 21010 CW 2025-11-08 1404 K3VAR         599 007 OL7D          599 BNY
QSO: 21011 CW 2025-11-08 1405 K3VAR         599 8 OL1C          599 ETE
QSO: 21012 CW 2025-11-08 1406 K3VAR         599 009 EA4AOC        599 103
QSO: 14020 CW 2025-11-08 1408 K3VAR         599 010 G3P           599 019
QSO: 21030 CW 2025-11-08 1413 K3VAR         599 12 HA5JI         599 088
QSO: 21026 CW 2025-11-08 1627 K3VAR         599 13 HA3NU         599 063
QSO:  7024 CW 2025-11-08 2349 K3VAR         599 014 9A3A          599 289
QSO: 14033 CW 2025-11-09 1150 K3VAR         599 015 OL1T          599 DPJ
QSO: 21015 CW 2025-11-09 1154 K3VAR         599 016 9A3A          599 447
END-OF-LOG:
