START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: OK-OM DX Contest 2025
CALLSIGN: OK2BUJ
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: OK2BUJ
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for OK-OM DX Contest 2025 OK_OM_DX_Contest/2025/CW.
QSO: 21005 CW 2025-11-08 1259 OK2BUJ        599 GPR SV8SXF        599 021
QSO: 21009 CW 2025-11-08 1301 OK2BUJ        599 GPR IS0AFM        599 0039
QSO: 21011 CW 2025-11-08 1302 OK2BUJ        599 GPR UO2L          599 063
QSO: 21013 CW 2025-11-08 1303 OK2BUJ        599 GPR OH1NA         599 030
QSO: 21024 CW 2025-11-08 1306 OK2BUJ        599 GPR NA8V          599 55
QSO: 14014 CW 2025-11-08 1313 OK2BUJ        599 GPR YB1CDA        599 008
QSO: 14000 CW 2025-11-08 1325 OK2BUJ        599 GPR I6FDJ         599 0042
QSO: 14001 CW 2025-11-08 1333 OK2BUJ        599 GPR TM1X          599 083
QSO: 28021 CW 2025-11-08 1340 OK2BUJ        599 GPR KC1XX         599 222
QSO: 21015 CW 2025-11-08 1347 OK2BUJ        599 GPR F5VHY         599 110
QSO: 21018 CW 2025-11-08 1348 OK2BUJ        599 GPR IT9WDC        599 073
QSO: 21020 CW 2025-11-08 1350 OK2BUJ        599 GPR CR3DX         599 181
QSO: 21000 CW 2025-11-08 1351 OK2BUJ        599 GPR F5OZC         599 071
QSO: 21024 CW 2025-11-08 1353 OK2BUJ        599 GPR SV1JG         599 164
QSO: 21027 CW 2025-11-08 1354 OK2BUJ        599 GPR IT9IVU        599 073
QSO: 21028 CW 2025-11-08 1356 OK2BUJ        599 GPR EA1X          599 131
QSO: 21034 CW 2025-11-08 1359 OK2BUJ        599 GPR HS0ZFV        599 047
QSO: 21035 CW 2025-11-08 1401 OK2BUJ        599 GPR BI4VIP        599 082
QSO: 21036 CW 2025-11-08 1402 OK2BUJ        599 GPR OY1CT         599 204
QSO: 28019 CW 2025-11-08 1408 OK2BUJ        599 GPR EA1X          599 165
QSO: 14019 CW 2025-11-08 1421 OK2BUJ        599 GPR YP8T          599 125
QSO: 21022 CW 2025-11-08 1613 OK2BUJ        599 GPR VE3NZ         599 141
QSO: 21015 CW 2025-11-08 1616 OK2BUJ        599 GPR ZD7BG         599 025
QSO: 21019 CW 2025-11-08 1619 OK2BUJ        599 GPR N4CW          599 162
QSO: 14047 CW 2025-11-08 1629 OK2BUJ        599 GPR HS0ZFV        599 242
QSO: 14048 CW 2025-11-08 1631 OK2BUJ        599 GPR EA3AR         599 071
QSO: 14033 CW 2025-11-08 1633 OK2BUJ        599 GPR EA1WH         599 245
QSO:  7038 CW 2025-11-08 1649 OK2BUJ        599 GPR YU7GM         599 061
QSO:  7031 CW 2025-11-08 1652 OK2BUJ        599 GPR YL7X          599 367
QSO:  7008 CW 2025-11-08 1732 OK2BUJ        599 GPR TM1X          599 040
QSO: 14020 CW 2025-11-08 1737 OK2BUJ        599 GPR EA4AOC        599 353
QSO:  7032 CW 2025-11-08 1742 OK2BUJ        599 GPR PA3AAV        599 355
QSO:  3531 CW 2025-11-08 1950 OK2BUJ        599 GPR LY2XW         599 386
QSO:  3523 CW 2025-11-08 1955 OK2BUJ        599 GPR IK1PMR        599 0268
QSO:  3524 CW 2025-11-08 1957 OK2BUJ        599 GPR SP3VT         599 351
QSO:  3500 CW 2025-11-08 1958 OK2BUJ        599 GPR SP4AWE        599 082
QSO:  3520 CW 2025-11-08 2005 OK2BUJ        599 GPR S51DX         599 219
QSO:  3500 CW 2025-11-08 2008 OK2BUJ        599 GPR OK2HBR        599 HOL
QSO:  3540 CW 2025-11-08 2010 OK2BUJ        599 GPR LY2MM         599 188
QSO:  3539 CW 2025-11-08 2020 OK2BUJ        599 GPR TM1X          599 055
QSO:  3533 CW 2025-11-08 2027 OK2BUJ        599 GPR OK1BM         599 EJA
QSO:  3542 CW 2025-11-08 2029 OK2BUJ        599 GPR OK6Y          599 GVY
QSO:  3500 CW 2025-11-08 2031 OK2BUJ        599 GPR OM7AG         599 ZVO
QSO:  3527 CW 2025-11-08 2035 OK2BUJ        599 GPR E7CW          599 216
QSO:  3521 CW 2025-11-08 2038 OK2BUJ        599 GPR E77EA         599 461
QSO:  3521 CW 2025-11-08 2039 OK2BUJ        599 GPR OK1DX         599 DKL
QSO: 14039 CW 2025-11-09 0848 OK2BUJ        599 GPR SV1PMQ        599 055
END-OF-LOG:
