START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: OK-OM DX Contest 2025
CALLSIGN: S52AU
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: S52AU
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for OK-OM DX Contest 2025 OK_OM_DX_Contest/2025/CW.
QSO:  7031 CW 2025-11-08 1544 S52AU         599 001 LY7W          599 089
QSO:  7010 CW 2025-11-08 1548 S52AU         599 003 OL7D          599 BNY
QSO:  7000 CW 2025-11-08 1556 S52AU         599 004 OK6OK         599 HNJ
QSO: 21015 CW 2025-11-08 1605 S52AU         599 005 OM0R          599 LEV
QSO: 21001 CW 2025-11-08 1607 S52AU         599 006 KC1XX         599 424
QSO: 14047 CW 2025-11-08 1621 S52AU         599 008 EA5XA         599 048
QSO:  7032 CW 2025-11-08 1627 S52AU         599 9 OK1KKI        599 CJH
QSO:  7015 CW 2025-11-08 1628 S52AU         599 10 S52W          599 185
QSO:  7003 CW 2025-11-08 1632 S52AU         599 012 IS0AFM        599 0342
QSO:  7006 CW 2025-11-08 1634 S52AU         599 013 OG3B          599 301
QSO:  7016 CW 2025-11-08 1636 S52AU         599 014 E70Y          599 233
QSO:  7017 CW 2025-11-08 1637 S52AU         599 015 DL3KWF        599 120
QSO:  7008 CW 2025-11-08 1739 S52AU         599 016 TM1X          599 050
QSO:  7006 CW 2025-11-08 1741 S52AU         599 018 F5MUX         599 131
QSO:  7010 CW 2025-11-08 1741 S52AU         599 017 HA3DX         599 365
QSO:  7006 CW 2025-11-08 1742 S52AU         599 019 EA5OH         599 192
QSO:  7008 CW 2025-11-08 1743 S52AU         599 020 EA2AZ         599 292
QSO:  7015 CW 2025-11-08 1745 S52AU         599 021 LZ5R          599 531
QSO:  7000 CW 2025-11-08 1746 S52AU         599 220 ZA1EM         599 079
QSO:  7017 CW 2025-11-08 1747 S52AU         599 023 YL7X          599 448
QSO:  7018 CW 2025-11-08 1748 S52AU         599 025 YP8T          599 234
QSO:  7033 CW 2025-11-08 1757 S52AU         599 026 EA5O          599 059
QSO:  3506 CW 2025-11-08 1802 S52AU         599 028 LC5A          599 189
QSO:  3514 CW 2025-11-08 1803 S52AU         599 29 LY2MM         599 086
QSO:  3517 CW 2025-11-08 1806 S52AU         599 031 OK5OK         599 EUL
QSO:  3517 CW 2025-11-08 1807 S52AU         599 032 E7CW          599 056
QSO:  3518 CW 2025-11-08 1808 S52AU         599 033 OL4W          599 ELI
QSO:  3520 CW 2025-11-08 1809 S52AU         599 34 ON5JT         599 171
QSO:  3521 CW 2025-11-08 1810 S52AU         599 35 OK1KKI        599 CJH
QSO:  3523 CW 2025-11-08 1811 S52AU         599 036 HA5OV         599 061
QSO:  3528 CW 2025-11-08 1813 S52AU         599 038 OK2EA         599 HVS
QSO:  3530 CW 2025-11-08 1814 S52AU         599 039 HG5D          599 464
QSO:  3532 CW 2025-11-08 1815 S52AU         599 040 DK2FG         599 120
QSO:  3532 CW 2025-11-08 1816 S52AU         599 41 DJ0SP         599 260
QSO:  3533 CW 2025-11-08 1816 S52AU         599 042 OM7LM         599 ZVO
QSO:  3534 CW 2025-11-08 1818 S52AU         599 43 OM3RKA        599 KOM
QSO:  3525 CW 2025-11-08 1820 S52AU         599 044 SP9JZT        599 067
QSO:  3536 CW 2025-11-08 1821 S52AU         599 045 OL0W          599 BBE
QSO:  3537 CW 2025-11-08 1821 S52AU         599 046 OK5D          599 ECL
QSO:  3539 CW 2025-11-08 1822 S52AU         599 47 S52W          599 301
QSO:  3500 CW 2025-11-08 1823 S52AU         599 048 OK2NAJ        599 HOL
QSO:  3500 CW 2025-11-08 1824 S52AU         599 049 YL3GQ         599 204
QSO:  3500 CW 2025-11-08 1826 S52AU         599 050 OK2HBR        599 HOL
QSO:  3525 CW 2025-11-08 1827 S52AU         599 051 OM0AS         599 SNI
QSO:  3523 CW 2025-11-08 1830 S52AU         599 052 OL26WRTC      599 BKO
QSO:  3530 CW 2025-11-08 1833 S52AU         599 053 OK1TN         599 FJI
QSO:  3500 CW 2025-11-08 1834 S52AU         599 054 OK7SE         599 CPE
QSO:  3531 CW 2025-11-08 1837 S52AU         599 55 E79D          599 094
QSO:  3521 CW 2025-11-08 1839 S52AU         599 56 SQ9KDT        599 041
QSO:  7019 CW 2025-11-08 1844 S52AU         599 058 EA4AOC        599 429
END-OF-LOG:
