START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: OK-OM DX Contest 2025
CALLSIGN: OM3KHT
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: OM3KHT
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for OK-OM DX Contest 2025 OK_OM_DX_Contest/2025/SSB.
QSO: 28452 PH 2025-04-12 1208 OM3KHT        59 MAR PT1M          59 010
QSO: 21263 PH 2025-04-12 1344 OM3KHT        59 MAR VE9CF         59 037
QSO: 21240 PH 2025-04-12 1348 OM3KHT        59 MAR 4X1VF         59 094
QSO: 14000 PH 2025-04-12 1353 OM3KHT        59 MAR IZ1DGG        59 0089
QSO: 14259 PH 2025-04-12 1354 OM3KHT        59 MAR LZ1ND         59 040
QSO: 14264 PH 2025-04-12 1429 OM3KHT        59 MAR MM0C          59 055
QSO: 14271 PH 2025-04-12 1430 OM3KHT        59 MAR ON5GM         59 057
QSO:  7139 PH 2025-04-12 1432 OM3KHT        59 MAR OK2KRT        59 HVS
QSO:  7195 PH 2025-04-12 1434 OM3KHT        59 MAR SN9B          59 016
QSO:  7199 PH 2025-04-12 1435 OM3KHT        59 MAR 9A9O          59 025
QSO: 28480 PH 2025-04-12 1439 OM3KHT        59 MAR V55Y          59 179
QSO: 28450 PH 2025-04-12 1443 OM3KHT        59 MAR PY1AX         59 028
QSO: 28465 PH 2025-04-12 1445 OM3KHT        59 MAR PY5QW         59 055
QSO: 28385 PH 2025-04-12 1447 OM3KHT        59 MAR EA7ATX        59 039
QSO: 21246 PH 2025-04-12 1459 OM3KHT        59 MAR CR3DX         59 093
QSO: 21330 PH 2025-04-12 1502 OM3KHT        59 MAR 4X1ST         59 021
QSO:  7163 PH 2025-04-12 1511 OM3KHT        59 MAR S51CK         59 049
QSO: 21227 PH 2025-04-12 1625 OM3KHT        59 MAR OM4WM         59 PAR
QSO:  7153 PH 2025-04-12 1633 OM3KHT        59 MAR OK1KKI        59 CJH
QSO:  3500 PH 2025-04-12 1733 OM3KHT        59 MAR OK1CDS        59 DKL
QSO:  3767 PH 2025-04-12 1735 OM3KHT        59 MAR HF7A          59 026
QSO:  3700 PH 2025-04-12 1755 OM3KHT        59 MAR SP7PBC        59 069
QSO:  3762 PH 2025-04-12 1757 OM3KHT        59 MAR OK2PYA        59 GJI
QSO:  3780 PH 2025-04-12 1759 OM3KHT        59 MAR SN8Z          59 184
QSO:  3762 PH 2025-04-12 1838 OM3KHT        59 MAR OM4MM         59 TTE
QSO:  3742 PH 2025-04-12 1840 OM3KHT        59 MAR OK1KKI        59 CJH
QSO:  3733 PH 2025-04-12 1842 OM3KHT        59 MAR OM0AS         59 SNI
QSO:  3709 PH 2025-04-12 1844 OM3KHT        59 MAR OK1DEZ        59 FUO
QSO:  7135 PH 2025-04-12 1852 OM3KHT        59 MAR UZ7C          59 258
QSO:  7155 PH 2025-04-12 1854 OM3KHT        59 MAR OK4R          59 DKV
QSO:  7159 PH 2025-04-12 1856 OM3KHT        59 MAR SN8Z          59 217
QSO:  7163 PH 2025-04-12 1858 OM3KHT        59 MAR OK2QA         59 HPR
QSO: 14285 PH 2025-04-12 1914 OM3KHT        59 MAR OK7O          59 DPS
QSO:  3500 PH 2025-04-12 1919 OM3KHT        59 MAR IZ1DGG        59 0244
QSO:  3716 PH 2025-04-12 1921 OM3KHT        59 MAR OK6Y          59 GVY
QSO:  3500 PH 2025-04-12 1922 OM3KHT        59 MAR OM0AD         59 BAR
QSO:  3739 PH 2025-04-12 1923 OM3KHT        59 MAR OL5Y          59 BKO
QSO:  3600 PH 2025-04-12 1925 OM3KHT        59 MAR OM6TX         59 CAD
QSO:  3749 PH 2025-04-12 1930 OM3KHT        59 MAR OK2QA         59 HPR
QSO:  3500 PH 2025-04-12 1932 OM3KHT        59 MAR OM3CPF        59 SEA
