START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: RDA
CALLSIGN: UA3RBR
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: UA3RBR
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for RDA RDAContest/2020.
QSO: 14027 CW 2020-08-15 0819 UA3RBR        599 TB02 SN5N          599 0026
QSO: 14019 CW 2020-08-15 0823 UA3RBR        599 TB02 SV1ME         599 0011
QSO: 14053 CW 2020-08-15 0836 UA3RBR        599 TB02 UN9L          599 0007
QSO: 14018 CW 2020-08-15 0851 UA3RBR        599 TB02 DL6RDE        599 0065
QSO: 14019 CW 2020-08-15 0851 UA3RBR        599 TB02 G4PVM         599 0019
QSO: 14019 CW 2020-08-15 0856 UA3RBR        599 TB02 SN7O          599 0076
QSO: 14011 CW 2020-08-15 0906 UA3RBR        599 TB02 UR7GO         599 0098
QSO: 14018 CW 2020-08-15 0911 UA3RBR        599 TB02 SP2WDW        599 0042
QSO: 14018 CW 2020-08-15 0913 UA3RBR        599 TB02 IT9VDQ        599 0050
QSO: 14009 CW 2020-08-15 0914 UA3RBR        599 TB02 OZ4FF         599 0020
QSO: 14018 CW 2020-08-15 0915 UA3RBR        599 TB02 HG1G          599 0111
QSO: 14018 CW 2020-08-15 0916 UA3RBR        599 TB02 9A7T          599 0055
QSO: 14018 CW 2020-08-15 0917 UA3RBR        599 TB02 EC1RS         599 0006
QSO: 14018 CW 2020-08-15 0917 UA3RBR        599 TB02 ON5JT         599 0028
QSO: 14000 CW 2020-08-15 0918 UA3RBR        599 TB02 OK1DOL        599 0078
QSO: 14018 CW 2020-08-15 0918 UA3RBR        599 TB02 F6GCP         599 0033
QSO: 14018 CW 2020-08-15 0918 UA3RBR        599 TB02 G3YJQ         599 0004
QSO: 14030 CW 2020-08-15 0919 UA3RBR        599 TB02 SM2R          599 0023
QSO: 14018 CW 2020-08-15 0920 UA3RBR        599 TB02 CT1ELZ        599 0021
QSO: 14000 CW 2020-08-15 0921 UA3RBR        599 TB02 OK2ABU        599 0002
QSO: 14018 CW 2020-08-15 0921 UA3RBR        599 TB02 S57S          599 0107
QSO: 14018 CW 2020-08-15 0922 UA3RBR        599 TB02 4Z5ML         599 0031
QSO: 14000 CW 2020-08-15 0923 UA3RBR        599 TB02 LZ7H          599 0019
QSO: 14018 CW 2020-08-15 0923 UA3RBR        599 TB02 YU3A          599 0052
QSO: 14018 CW 2020-08-15 0924 UA3RBR        599 TB02 DM7W          599 0043
QSO: 14018 CW 2020-08-15 0926 UA3RBR        599 TB02 DJ0SP         599 0050
QSO: 14018 CW 2020-08-15 0930 UA3RBR        599 TB02 DJ8QP         599 0060
QSO: 14018 CW 2020-08-15 0930 UA3RBR        599 TB02 OG55W         599 0065
QSO: 14018 CW 2020-08-15 0931 UA3RBR        599 TB02 LZ1SA         599 0100
QSO: 14018 CW 2020-08-15 0932 UA3RBR        599 TB02 MM9I          599 0037
QSO: 14018 CW 2020-08-15 0932 UA3RBR        599 TB02 UP5B          599 0070
QSO: 14000 CW 2020-08-15 0933 UA3RBR        599 TB02 LA7SI         599 0022
QSO: 14018 CW 2020-08-15 0933 UA3RBR        599 TB02 UX1UX         599 0060
QSO: 14000 CW 2020-08-15 0934 UA3RBR        599 TB02 DL2OM         599 0071
QSO: 14018 CW 2020-08-15 0936 UA3RBR        599 TB02 OP4K          599 0104
QSO: 14018 CW 2020-08-15 0936 UA3RBR        599 TB02 UT1DX         599 0046
QSO: 14000 CW 2020-08-15 0937 UA3RBR        599 TB02 EI7KD         599 0062
QSO: 14018 CW 2020-08-15 0938 UA3RBR        599 TB02 IR9K          599 0021
QSO: 14018 CW 2020-08-15 0940 UA3RBR        599 TB02 G3TXF         599 0067
QSO: 14018 CW 2020-08-15 0940 UA3RBR        599 TB02 HA6NL         599 0099
QSO: 14018 CW 2020-08-15 0941 UA3RBR        599 TB02 G3RLE         599 0045
QSO: 14018 CW 2020-08-15 0941 UA3RBR        599 TB02 SP5CNA        599 0103
QSO: 14018 CW 2020-08-15 0942 UA3RBR        599 TB02 EA8RM         599 0039
QSO: 14018 CW 2020-08-15 0942 UA3RBR        599 TB02 HG8C          599 0054
QSO: 14000 CW 2020-08-15 0944 UA3RBR        599 TB02 SP2FAP        599 0062
QSO: 14018 CW 2020-08-15 0944 UA3RBR        599 TB02 DM7X          599 0019
QSO: 14018 CW 2020-08-15 0944 UA3RBR        599 TB02 EU1ST         599 0023
QSO: 14000 CW 2020-08-15 0945 UA3RBR        599 TB02 DL8KAC        599 0019
QSO: 14018 CW 2020-08-15 0945 UA3RBR        599 TB02 5B4APL        599 0017
QSO: 14018 CW 2020-08-15 0945 UA3RBR        599 TB02 G3P           599 0067
QSO: 14018 CW 2020-08-15 0947 UA3RBR        599 TB02 DL9NEI        599 0106
QSO: 14009 CW 2020-08-15 0948 UA3RBR        599 TB02 DK3YD         599 0003
QSO: 14000 CW 2020-08-15 0949 UA3RBR        599 TB02 Z35F          599 0030
QSO: 14026 CW 2020-08-15 1029 UA3RBR        599 TB02 EW/R3XA       599 0108
QSO: 21014 CW 2020-08-15 1043 UA3RBR        599 TB02 LZ1ZJ         599 0122
QSO: 21014 CW 2020-08-15 1045 UA3RBR        599 TB02 UP4L          599 0198
QSO: 21014 CW 2020-08-15 1046 UA3RBR        599 TB02 HG1G          599 0235
QSO: 21014 CW 2020-08-15 1046 UA3RBR        599 TB02 OH2ID         599 0035
QSO: 21014 CW 2020-08-15 1047 UA3RBR        599 TB02 SF1Z          599 0055
QSO: 21014 CW 2020-08-15 1047 UA3RBR        599 TB02 YL7X          599 0271
QSO: 21014 CW 2020-08-15 1049 UA3RBR        599 TB02 SP6AEG        599 0093
QSO: 21020 CW 2020-08-15 1051 UA3RBR        599 TB02 YL2QN         599 0095
QSO: 21009 CW 2020-08-15 1054 UA3RBR        599 TB02 4U1A          599 0264
QSO: 21021 CW 2020-08-15 1059 UA3RBR        599 TB02 UR7GO         599 0246
QSO: 21046 CW 2020-08-15 1102 UA3RBR        599 TB02 9A7R          599 0034
QSO: 21023 CW 2020-08-15 1106 UA3RBR        599 TB02 LZ5R          599 0377
QSO: 21039 CW 2020-08-15 1107 UA3RBR        599 TB02 HA9PP         599 0128
QSO: 21020 CW 2020-08-15 1108 UA3RBR        599 TB02 YO9BPX        599 0076
QSO: 21020 CW 2020-08-15 1108 UA3RBR        599 TB02 YT2AAA        599 0212
QSO: 28013 CW 2020-08-15 1117 UA3RBR        599 TB02 OG6N          599 0263
QSO: 28029 CW 2020-08-15 1119 UA3RBR        599 TB02 LZ9W          599 0335
QSO: 14013 CW 2020-08-15 1148 UA3RBR        599 TB02 LY6A          599 0076
QSO: 14037 CW 2020-08-15 1153 UA3RBR        599 TB02 PA3FQA        599 0014
QSO: 14043 CW 2020-08-15 1154 UA3RBR        599 TB02 UP4L          599 0277
QSO: 14000 CW 2020-08-15 1157 UA3RBR        599 TB02 US5VX         599 0068
QSO: 14010 CW 2020-08-15 1158 UA3RBR        599 TB02 F6HKA         599 0110
QSO: 14011 CW 2020-08-15 1159 UA3RBR        599 TB02 YL2QN         599 0160
QSO: 14012 CW 2020-08-15 1201 UA3RBR        599 TB02 DL4WA         599 0136
QSO: 14013 CW 2020-08-15 1207 UA3RBR        599 TB02 JN3SAC        599 0040
QSO: 14015 CW 2020-08-15 1209 UA3RBR        599 TB02 9A5X          599 0302
QSO: 14015 CW 2020-08-15 1210 UA3RBR        599 TB02 SE4E          599 0151
QSO: 14014 CW 2020-08-15 1211 UA3RBR        599 TB02 UR7MZ         599 0175
QSO: 14014 CW 2020-08-15 1212 UA3RBR        599 TB02 UT4LW         599 0316
QSO: 14000 CW 2020-08-15 1213 UA3RBR        599 TB02 K3ZO          599 0057
QSO: 14015 CW 2020-08-15 1214 UA3RBR        599 TB02 NS2N          599 0004
QSO: 14015 CW 2020-08-15 1216 UA3RBR        599 TB02 4X1MM         599 0149
QSO: 14000 CW 2020-08-15 1217 UA3RBR        599 TB02 SP50ENV       599 0111
QSO: 14014 CW 2020-08-15 1217 UA3RBR        599 TB02 LZ1ZJ         599 0205
QSO: 14015 CW 2020-08-15 1217 UA3RBR        599 TB02 UT7CR         599 0308
QSO: 14015 CW 2020-08-15 1218 UA3RBR        599 TB02 DL1EFW        599 0017
QSO: 14014 CW 2020-08-15 1219 UA3RBR        599 TB02 N4AF          599 0042
QSO: 14014 CW 2020-08-15 1219 UA3RBR        599 TB02 P3AA          599 0218
QSO: 14015 CW 2020-08-15 1219 UA3RBR        599 TB02 PA0INA        599 0014
QSO: 14015 CW 2020-08-15 1220 UA3RBR        599 TB02 N3RD          599 0057
QSO: 14015 CW 2020-08-15 1220 UA3RBR        599 TB02 SP2R          599 0146
QSO: 14000 CW 2020-08-15 1221 UA3RBR        599 TB02 PD7CJT        599 0015
QSO: 14000 CW 2020-08-15 1221 UA3RBR        599 TB02 SF6W          599 0126
QSO: 14014 CW 2020-08-15 1222 UA3RBR        599 TB02 DL1THB        599 0033
QSO: 14014 CW 2020-08-15 1223 UA3RBR        599 TB02 9A2NO         599 0242
QSO: 14015 CW 2020-08-15 1224 UA3RBR        599 TB02 PA3HCC        599 0019
QSO: 14015 CW 2020-08-15 1224 UA3RBR        599 TB02 PA4O          599 0199
QSO: 14014 CW 2020-08-15 1225 UA3RBR        599 TB02 YL7X          599 0407
QSO: 14014 CW 2020-08-15 1226 UA3RBR        599 TB02 SM5MX         599 0133
QSO: 14000 CW 2020-08-15 1227 UA3RBR        599 TB02 DF1SD         599 0116
QSO: 14000 CW 2020-08-15 1227 UA3RBR        599 TB02 HA5GY         599 0062
QSO: 14014 CW 2020-08-15 1228 UA3RBR        599 TB02 EU8U          599 0268
QSO: 14015 CW 2020-08-15 1228 UA3RBR        599 TB02 YQ6A          599 0266
QSO: 14014 CW 2020-08-15 1229 UA3RBR        599 TB02 LZ5R          599 0516
QSO: 14006 CW 2020-08-15 1230 UA3RBR        599 TB02 OY1CT         599 0042
QSO: 14007 CW 2020-08-15 1231 UA3RBR        599 TB02 DJ9AO         599 0261
QSO: 14011 CW 2020-08-15 1232 UA3RBR        599 TB02 EA1X          599 0061
QSO: 14000 CW 2020-08-15 1234 UA3RBR        599 TB02 ON4ACW        599 0003
QSO: 14000 CW 2020-08-15 1234 UA3RBR        599 TB02 US3EW         599 0063
QSO: 14015 CW 2020-08-15 1234 UA3RBR        599 TB02 F6IRA         599 0095
QSO: 14000 CW 2020-08-15 1237 UA3RBR        599 TB02 OH1TS         599 0009
QSO: 14000 CW 2020-08-15 1238 UA3RBR        599 TB02 I6FDJ         599 0035
QSO: 14014 CW 2020-08-15 1238 UA3RBR        599 TB02 EU5C          599 0177
QSO: 14015 CW 2020-08-15 1238 UA3RBR        599 TB02 YO4NF         599 0165
QSO: 14014 CW 2020-08-15 1239 UA3RBR        599 TB02 IK8UND        599 0047
QSO: 14014 CW 2020-08-15 1240 UA3RBR        599 TB02 UR5MW         599 0260
QSO: 14015 CW 2020-08-15 1240 UA3RBR        599 TB02 SQ5JUP        599 0158
QSO: 14015 CW 2020-08-15 1241 UA3RBR        599 TB02 IZ2DII        599 0188
QSO: 14015 CW 2020-08-15 1245 UA3RBR        599 TB02 DG0KS         599 0033
QSO: 14015 CW 2020-08-15 1245 UA3RBR        599 TB02 EA4AOC        599 0020
QSO: 14038 CW 2020-08-15 1245 UA3RBR        599 TB02 4U1A          599 0406
QSO: 14015 CW 2020-08-15 1246 UA3RBR        599 TB02 LZ3QE         599 0145
QSO: 14015 CW 2020-08-15 1246 UA3RBR        599 TB02 OZ3SM         599 0017
QSO: 14015 CW 2020-08-15 1247 UA3RBR        599 TB02 DL4ME         599 0063
QSO: 14015 CW 2020-08-15 1248 UA3RBR        599 TB02 KU2M          599 0022
QSO: 14015 CW 2020-08-15 1248 UA3RBR        599 TB02 W2MV          599 0027
QSO: 14000 CW 2020-08-15 1250 UA3RBR        599 TB02 ON4LY         599 0015
QSO: 14015 CW 2020-08-15 1250 UA3RBR        599 TB02 M0TDW         599 0024
QSO: 14014 CW 2020-08-15 1311 UA3RBR        599 TB02 SM6FPC        599 0157
QSO: 14014 CW 2020-08-15 1313 UA3RBR        599 TB02 LA2HFA        599 0077
QSO: 14010 CW 2020-08-15 1314 UA3RBR        599 TB02 YO4DW         599 0031
QSO: 14017 CW 2020-08-15 1315 UA3RBR        599 TB02 ER4A          599 0076
QSO: 14014 CW 2020-08-15 1317 UA3RBR        599 TB02 LY4T          599 0229
QSO: 14000 CW 2020-08-15 1318 UA3RBR        599 TB02 LZ1VKD        599 0071
QSO: 14015 CW 2020-08-15 1319 UA3RBR        599 TB02 I1NVU         599 0048
QSO: 14042 CW 2020-08-15 1322 UA3RBR        599 TB02 LZ9W          599 0447
QSO: 14000 CW 2020-08-15 1325 UA3RBR        599 TB02 DL5SDN        599 0082
QSO: 14015 CW 2020-08-15 1325 UA3RBR        599 TB02 LA8OM         599 0321
QSO: 14014 CW 2020-08-15 1326 UA3RBR        599 TB02 DJ6OZ         599 0054
QSO: 14015 CW 2020-08-15 1328 UA3RBR        599 TB02 LY2TS         599 0137
QSO: 21023 CW 2020-08-15 1330 UA3RBR        599 TB02 SP5CNA        599 0280
QSO: 21013 CW 2020-08-15 1333 UA3RBR        599 TB02 YQ6A          599 0315
QSO: 21000 CW 2020-08-15 1335 UA3RBR        599 TB02 IV3EAD        599 0055
QSO: 21014 CW 2020-08-15 1340 UA3RBR        599 TB02 SN7O          599 0387
QSO: 21014 CW 2020-08-15 1341 UA3RBR        599 TB02 DL4ME         599 0113
QSO: 21019 CW 2020-08-15 1343 UA3RBR        599 TB02 DL2SAX        599 0028
QSO: 14017 CW 2020-08-15 1352 UA3RBR        599 TB02 SP1AEN        599 0115
QSO: 14017 CW 2020-08-15 1353 UA3RBR        599 TB02 DL6KVA        599 0364
QSO: 14017 CW 2020-08-15 1353 UA3RBR        599 TB02 F5NKX         599 0097
QSO: 14000 CW 2020-08-15 1354 UA3RBR        599 TB02 Z33B          599 0047
QSO: 14017 CW 2020-08-15 1354 UA3RBR        599 TB02 DJ9RR         599 0090
QSO: 14017 CW 2020-08-15 1355 UA3RBR        599 TB02 K1XM          599 0045
QSO: 14017 CW 2020-08-15 1356 UA3RBR        599 TB02 I2WIJ         599 0033
QSO: 14017 CW 2020-08-15 1357 UA3RBR        599 TB02 NA3M          599 0019
QSO: 14017 CW 2020-08-15 1357 UA3RBR        599 TB02 OK8AU         599 0228
QSO: 14017 CW 2020-08-15 1359 UA3RBR        599 TB02 DL3DTH        599 0193
QSO: 14017 CW 2020-08-15 1359 UA3RBR        599 TB02 M0BJL         599 0141
QSO: 14017 CW 2020-08-15 1400 UA3RBR        599 TB02 W5GN          599 0035
QSO: 14017 CW 2020-08-15 1401 UA3RBR        599 TB02 PA2REH        599 0067
QSO: 14025 CW 2020-08-15 1404 UA3RBR        599 TB02 OK1AY         599 0045
QSO: 14000 CW 2020-08-15 1406 UA3RBR        599 TB02 IV3KKW        599 0021
QSO: 14000 CW 2020-08-15 1407 UA3RBR        599 MB02 N4MM          599 0024
QSO: 14010 CW 2020-08-15 1408 UA3RBR        599 TB02 OE25BKC       599 0013
QSO: 14018 CW 2020-08-15 1414 UA3RBR        599 TB02 YT2AAA        599 0359
QSO: 14000 CW 2020-08-15 1426 UA3RBR        599 TB02 UR4MGN        599 0048
QSO: 14018 CW 2020-08-15 1426 UA3RBR        599 TB02 YL2CV         599 0206
QSO: 14000 CW 2020-08-15 1427 UA3RBR        599 TB02 G0VWL         599 0014
QSO: 14018 CW 2020-08-15 1427 UA3RBR        599 TB02 LA0CX         599 0088
QSO: 14018 CW 2020-08-15 1428 UA3RBR        599 TB02 UY2IG         599 0012
QSO: 14018 CW 2020-08-15 1429 UA3RBR        599 TB02 VE3FJ         599 0007
QSO: 14018 CW 2020-08-15 1431 UA3RBR        599 TB02 OK1VK         599 0328
QSO: 14018 CW 2020-08-15 1439 UA3RBR        599 TB02 DJ9DZ         599 0253
QSO: 14028 CW 2020-08-15 1447 UA3RBR        599 TB02 HB9CPS        599 0049
QSO:  7000 CW 2020-08-15 1451 UA3RBR        599 TB02 YU5T          599 0007
QSO:  7012 CW 2020-08-15 1452 UA3RBR        599 TB02 OG6N          599 0539
QSO:  7012 CW 2020-08-15 1453 UA3RBR        599 TB02 UT3EK         599 0189
QSO:  7012 CW 2020-08-15 1453 UA3RBR        599 TB02 YL7X          599 0610
QSO:  7013 CW 2020-08-15 1454 UA3RBR        599 TB02 E77EA         599 0017
QSO:  7013 CW 2020-08-15 1455 UA3RBR        599 TB02 UX1UX         599 0289
QSO:  7012 CW 2020-08-15 1456 UA3RBR        599 TB02 UR7QC         599 0204
QSO:  7013 CW 2020-08-15 1456 UA3RBR        599 TB02 OK5SA         599 0111
QSO:  7000 CW 2020-08-15 1458 UA3RBR        599 TB02 E74X          599 0039
QSO:  7000 CW 2020-08-15 1555 UA3RBR        599 TB02 EW6F          599 0030
QSO:  7013 CW 2020-08-15 1604 UA3RBR        599 TB02 OH1XT         599 0448
QSO:  7016 CW 2020-08-15 1608 UA3RBR        599 TB02 UR7GO         599 0587
QSO:  7015 CW 2020-08-15 1610 UA3RBR        599 TB02 LZ5R          599 0828
QSO:  7016 CW 2020-08-15 1611 UA3RBR        599 TB02 SF1Z          599 0182
QSO:  7015 CW 2020-08-15 1612 UA3RBR        599 TB02 HA9A          599 0344
QSO:  7017 CW 2020-08-15 1616 UA3RBR        599 TB02 YO4DW         599 0153
QSO:  7017 CW 2020-08-15 1617 UA3RBR        599 TB02 HA6NL         599 0294
QSO:  7017 CW 2020-08-15 1617 UA3RBR        599 TB02 LZ4AE         599 0365
QSO:  7016 CW 2020-08-15 1620 UA3RBR        599 TB02 YL3CW         599 0443
QSO:  7017 CW 2020-08-15 1621 UA3RBR        599 TB02 LZ7O          599 0081
QSO:  7000 CW 2020-08-15 1626 UA3RBR        599 TB02 YT1A          599 0054
QSO:  7017 CW 2020-08-15 1627 UA3RBR        599 TB02 YO9FYP        599 0069
QSO:  7016 CW 2020-08-15 1628 UA3RBR        599 TB02 LZ1SA         599 0444
