START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: SAC-CW
CALLSIGN: KB8TL
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: KB8TL
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for SAC-CW SAC/CW/2025.
QSO: 28031 CW 2025-09-20 1532 KB8TL         599 SK3W          599 202
QSO: 21042 CW 2025-09-20 1541 KB8TL         599 2 OH3Z          599 324
QSO: 21038 CW 2025-09-20 1545 KB8TL         599 4 OH6CT         599 317
QSO: 21037 CW 2025-09-20 1550 KB8TL         599 5 SK7AX         599 128
QSO: 21000 CW 2025-09-20 1600 KB8TL         599 6 LC5A          599 121
QSO: 21036 CW 2025-09-20 1600 KB8TL         599 7 OG1F          599 527
QSO: 21033 CW 2025-09-20 1605 KB8TL         599 8 SE5T          599 369
QSO: 21011 CW 2025-09-20 2022 KB8TL         599 10 OH7K          599 460
QSO: 14022 CW 2025-09-20 2028 KB8TL         599 11 SK3W          599 549
QSO: 14013 CW 2025-09-20 2033 KB8TL         599 12 OH2BKX        599 420
QSO: 14024 CW 2025-09-20 2037 KB8TL         599 13 OZ5W          599 430
QSO: 14035 CW 2025-09-20 2038 KB8TL         599 14 OH8L          599 591
QSO: 14032 CW 2025-09-20 2040 KB8TL         599 15 SK3GM         599 209
QSO: 14007 CW 2025-09-20 2045 KB8TL         599 16 OH6RX         599 945
QSO: 14001 CW 2025-09-20 2047 KB8TL         599 17 OG5B          599 587
QSO: 14009 CW 2025-09-20 2052 KB8TL         599 19 SJ2W          599 1146
QSO:  7022 CW 2025-09-21 0108 KB8TL         599 20 OZ5W          599 572
QSO:  7019 CW 2025-09-21 0110 KB8TL         599 21 OZ1IKY        599 785
QSO:  7017 CW 2025-09-21 0118 KB8TL         599 22 SK3W          599 481
END-OF-LOG:
