START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: SAC-SSB
CALLSIGN: IK5IFH
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: IK5IFH
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for SAC-SSB SAC/SSB/2025.
QSO: 14212 PH 2025-10-11 1648 IK5IFH        59 OH2KI         59 180
QSO: 14200 PH 2025-10-11 1649 IK5IFH        59 3 SK3W          59 317
QSO: 14205 PH 2025-10-11 1649 IK5IFH        59 2 SJ3A          59 232
QSO: 14180 PH 2025-10-11 1651 IK5IFH        59 5 OZ0MF         59 347
QSO: 14192 PH 2025-10-11 1651 IK5IFH        59 4 OH7TO         59 167
QSO: 14169 PH 2025-10-11 1652 IK5IFH        59 6 OH1NA         59 322
QSO: 14156 PH 2025-10-11 1653 IK5IFH        59 7 OH2XX         59 337
QSO: 14149 PH 2025-10-11 1654 IK5IFH        59 9 OZ4GM         59 150
QSO: 14152 PH 2025-10-11 1654 IK5IFH        59 8 LN8W          59 245
QSO: 14142 PH 2025-10-11 1655 IK5IFH        59 10 SD7X          59 188
QSO: 14000 PH 2025-10-11 1656 IK5IFH        59 11 OH4BCS        59 269
QSO: 14233 PH 2025-10-11 1657 IK5IFH        59 12 SM7SLU        59 79
QSO: 14240 PH 2025-10-11 1658 IK5IFH        59 13 SA2T          59 163
QSO: 14243 PH 2025-10-11 1700 IK5IFH        59 14 SF7X          59 37
QSO: 14254 PH 2025-10-11 1703 IK5IFH        59 15 SK0QO         59 191
QSO: 14272 PH 2025-10-11 1706 IK5IFH        59 16 SM6MVE        59 132
QSO: 14279 PH 2025-10-11 1707 IK5IFH        19 59 8S0C          59 291
QSO: 14273 PH 2025-10-11 1712 IK5IFH        59 19 OH7K          59 239
QSO: 14200 PH 2025-10-11 1713 IK5IFH        59 20 SM6NT         59 220
QSO: 14263 PH 2025-10-11 1715 IK5IFH        59 21 LA7WRA        59 110
QSO: 14253 PH 2025-10-11 1716 IK5IFH        59 22 OH3Z          59 191
QSO: 14245 PH 2025-10-11 1720 IK5IFH        59 24 LA1TV         59 265
QSO: 14250 PH 2025-10-11 1720 IK5IFH        59 23 SE4A          59 288
QSO: 14222 PH 2025-10-11 1722 IK5IFH        59 25 OF9X          59 313
QSO: 14212 PH 2025-10-11 1723 IK5IFH        59 26 OI5AY         59 206
QSO: 14210 PH 2025-10-11 1724 IK5IFH        59 27 LA8OM         59 342
QSO: 14203 PH 2025-10-11 1725 IK5IFH        59 28 LB1UK         59 154
QSO: 14200 PH 2025-10-11 1726 IK5IFH        59 29 LC6C          59 260
QSO: 14196 PH 2025-10-11 1728 IK5IFH        59 30 SM5EPO        59 215
QSO: 14191 PH 2025-10-11 1729 IK5IFH        59 31 OG5O          59 348
QSO: 14165 PH 2025-10-11 1731 IK5IFH        59 32 OH6MSZ        59 353
QSO: 14156 PH 2025-10-11 1733 IK5IFH        59 33 OG100AA       59 196
QSO:  7150 PH 2025-10-11 1737 IK5IFH        59 34 OH2LZC        59 22
QSO:  7164 PH 2025-10-11 1739 IK5IFH        59 35 OZ4GM         59 133
QSO:  7167 PH 2025-10-11 1739 IK5IFH        59 36 OI5AY         59 73
QSO:  7181 PH 2025-10-11 1741 IK5IFH        59 37 SG0X          59 436
QSO:  7186 PH 2025-10-11 1743 IK5IFH        59 38 OH1Z          59 278
QSO:  7189 PH 2025-10-11 1745 IK5IFH        59 39 OH2XX         59 423
QSO:  7190 PH 2025-10-11 1745 IK5IFH        59 40 OH1NA         59 355
QSO:  7199 PH 2025-10-11 1746 IK5IFH        59 41 OH0V          59 347
QSO:  7188 PH 2025-10-11 1749 IK5IFH        59 42 SJ2W          59 678
QSO:  7167 PH 2025-10-11 1751 IK5IFH        59 43 OI5AY         59 91
QSO:  7154 PH 2025-10-11 1752 IK5IFH        59 44 SE5E          59 502
QSO:  7146 PH 2025-10-11 1753 IK5IFH        59 45 OH8K          59 427
QSO:  7142 PH 2025-10-11 1755 IK5IFH        59 46 LB4UH         59 250
QSO:  7137 PH 2025-10-11 1756 IK5IFH        59 47 OG1F          59 677
QSO:  7132 PH 2025-10-11 1800 IK5IFH        59 48 OG5O          59 371
QSO:  7142 PH 2025-10-11 1801 IK5IFH        59 49 LC5A          59 195
QSO:  7144 PH 2025-10-11 1802 IK5IFH        59 50 OH2T          59 513
QSO:  7155 PH 2025-10-11 1804 IK5IFH        59 51 OH2R          59 515
QSO:  7162 PH 2025-10-11 1805 IK5IFH        59 52 SK6AW         59 88
QSO:  7164 PH 2025-10-11 1808 IK5IFH        59 53 OH2OA         59 250
QSO:  7170 PH 2025-10-11 1809 IK5IFH        59 54 OG3B          59 470
QSO:  7175 PH 2025-10-11 1811 IK5IFH        59 55 LN8W          59 118
QSO:  7178 PH 2025-10-11 1811 IK5IFH        59 56 8S8S          59 457
QSO:  7180 PH 2025-10-11 1812 IK5IFH        59 57 OH6DX         59 518
QSO:  7182 PH 2025-10-11 1813 IK5IFH        59 58 SK3W          59 157
QSO:  7197 PH 2025-10-11 1822 IK5IFH        59 59 8S0C          59 333
QSO: 14275 PH 2025-10-12 0854 IK5IFH        59 65 LC4C          59 147
QSO: 21273 PH 2025-10-12 0948 IK5IFH        59 60 OG3B          59 914
QSO: 14180 PH 2025-10-12 0950 IK5IFH        59 61 OH1VR         59 279
QSO: 14202 PH 2025-10-12 0952 IK5IFH        59 62 OH2BKX        59 331
QSO: 14225 PH 2025-10-12 0954 IK5IFH        59 63 OH8X          59 1165
