START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: WAE CW
CALLSIGN: OH2KW
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: OH2KW
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for WAE CW WAE/CW/2022.
QSO:  7032 CW 2022-08-13 0204 OH2KW         599 NA8V          599 122
QSO:  7038 CW 2022-08-13 0208 OH2KW         599 0002 VE3NZ         599 0097
QSO:  7039 CW 2022-08-13 0209 OH2KW         599 0003 K2ZR          599 0022
QSO:  7038 CW 2022-08-13 0210 OH2KW         599 0004 NY3A          599 0115
QSO:  7035 CW 2022-08-13 0215 OH2KW         599 0006 A60A          599 0140
QSO:  7036 CW 2022-08-13 0217 OH2KW         599 007 K1LZ          599 148
QSO:  7036 CW 2022-08-13 0223 OH2KW         599 0008 AA3B          599 0166
QSO:  7036 CW 2022-08-13 0223 OH2KW         599 0009 K3MM          599 0093
QSO:  7036 CW 2022-08-13 0224 OH2KW         599 0010 K3WW          599 0127
QSO:  7036 CW 2022-08-13 0224 OH2KW         599 0011 N5AW          599 0043
QSO:  7036 CW 2022-08-13 0224 OH2KW         599 0012 NS4X          599 0028
QSO:  7036 CW 2022-08-13 0225 OH2KW         599 0013 N4FCG         599 0094
QSO:  7036 CW 2022-08-13 0226 OH2KW         599 0014 N9NC          599 0019
QSO:  7036 CW 2022-08-13 0228 OH2KW         599 0017 WT2J          599 0070
QSO:  7036 CW 2022-08-13 0229 OH2KW         599 0018 W3US          599 0057
QSO:  7036 CW 2022-08-13 0230 OH2KW         599 0021 K9OM          599 0048
QSO:  7036 CW 2022-08-13 0230 OH2KW         599 0020 VE9AA         599 0133
QSO:  7036 CW 2022-08-13 0231 OH2KW         599 0022 P3X           599 0186
QSO:  7036 CW 2022-08-13 0233 OH2KW         599 0024 K2RET         599 0044
QSO:  7036 CW 2022-08-13 0233 OH2KW         599 0025 N2YO          599 0006
QSO:  7036 CW 2022-08-13 0235 OH2KW         599 0027 K7SV          599 0103
QSO:  7036 CW 2022-08-13 0235 OH2KW         599 028 UN9L          599 129
QSO:  7036 CW 2022-08-13 0236 OH2KW         599 29 W1CSM         599 87
QSO:  3501 CW 2022-08-13 0241 OH2KW         599 030 VY2ZM         599 177
QSO:  7038 CW 2022-08-13 0248 OH2KW         599 0031 N4PX          599 0066
QSO:  7038 CW 2022-08-13 0249 OH2KW         599 0032 RO9A          599 0001
QSO:  7038 CW 2022-08-13 0250 OH2KW         599 0034 NS2N          599 0003
QSO:  7038 CW 2022-08-13 0250 OH2KW         599 0033 XR3W          599 0027
QSO:  7038 CW 2022-08-13 0251 OH2KW         599 035 PY4XX         599 053
QSO:  7038 CW 2022-08-13 0253 OH2KW         599 0037 K3ZU          599 0133
QSO:  7044 CW 2022-08-13 0300 OH2KW         599 0038 WT2J          599 0086
QSO:  7037 CW 2022-08-13 0303 OH2KW         599 039 PY4BZ         599 099
QSO:  7036 CW 2022-08-13 0304 OH2KW         599 0040 TA7I          599 0077
QSO:  7039 CW 2022-08-13 0308 OH2KW         599 0042 W1KM          599 0021
QSO:  7039 CW 2022-08-13 0310 OH2KW         599 0043 AD4EB         599 0148
QSO:  7039 CW 2022-08-13 0312 OH2KW         599 0045 VE3DZ         599 0108
QSO:  7029 CW 2022-08-13 0314 OH2KW         599 047 FY5KE         599 0156
QSO:  7036 CW 2022-08-13 0314 OH2KW         599 0046 YV4ABR        599 0015
QSO:  7028 CW 2022-08-13 0325 OH2KW         599 0050 K3UL          599 0061
QSO:  7027 CW 2022-08-13 0339 OH2KW         599 0051 KR2AA         599 0088
QSO:  7037 CW 2022-08-13 0341 OH2KW         599 053 K1XM          599 165
QSO:  7037 CW 2022-08-13 0341 OH2KW         599 0152 W3LL          599 0134
QSO:  7037 CW 2022-08-13 0343 OH2KW         599 0053 KE2D          599 0094
QSO:  7037 CW 2022-08-13 0344 OH2KW         599 0055 K9RS          599 0218
QSO:  7037 CW 2022-08-13 0347 OH2KW         599 0056 AA3R          599 0066
QSO:  7035 CW 2022-08-13 0350 OH2KW         599 0057 ZM1A          599 0034
QSO:  7000 CW 2022-08-13 0352 OH2KW         599 058 TI2OY         599 056
QSO:  7026 CW 2022-08-13 0353 OH2KW         599 0059 ZM4T          599 0016
QSO:  7023 CW 2022-08-13 0355 OH2KW         599 0060 PV2K          599 0127
QSO:  7020 CW 2022-08-13 0356 OH2KW         599 0061 K0EJ          599 0172
QSO:  7015 CW 2022-08-13 0358 OH2KW         599 062 D4L           599 214
QSO: 14022 CW 2022-08-13 0409 OH2KW         599 0063 K3MM          599 0176
QSO: 14022 CW 2022-08-13 0412 OH2KW         599 0064 K9RS          599 0236
QSO: 14022 CW 2022-08-13 0412 OH2KW         599 0065 N9NC          599 0088
QSO: 14022 CW 2022-08-13 0414 OH2KW         599 068 UP7L          599 100
QSO: 14022 CW 2022-08-13 0415 OH2KW         599 70 W9RE          599 196
QSO: 14019 CW 2022-08-13 0416 OH2KW         599 0071 A60A          599 0215
QSO: 14025 CW 2022-08-13 0419 OH2KW         599 0062 VA7XU         599 0024
QSO: 14029 CW 2022-08-13 0419 OH2KW         599 0072 NY3A          599 0197
QSO: 14022 CW 2022-08-13 0420 OH2KW         599 074 VK1A          599 0006
QSO: 14023 CW 2022-08-13 0421 OH2KW         599 75 K5ZD          599 164
QSO: 14022 CW 2022-08-13 0422 OH2KW         599 075 W7VC          599 009
QSO: 14022 CW 2022-08-13 0424 OH2KW         599 0080 HZ7C          599 0007
QSO: 14022 CW 2022-08-13 0424 OH2KW         599 081 K3JO          599 199
QSO: 14023 CW 2022-08-13 0424 OH2KW         599 0079 K0HB          599 0035
QSO: 14022 CW 2022-08-13 0425 OH2KW         599 83 VE3AT         599 220
QSO: 14023 CW 2022-08-13 0425 OH2KW         599 0082 N4PX          599 0137
QSO: 14023 CW 2022-08-13 0426 OH2KW         599 0086 K6MMM         599 0043
QSO: 14022 CW 2022-08-13 0430 OH2KW         599 0088 VE7SAR        599 0011
QSO: 14022 CW 2022-08-13 0432 OH2KW         599 0090 K0ZR          599 0178
QSO: 14023 CW 2022-08-13 0432 OH2KW         599 0091 WT2P          599 0032
QSO: 14022 CW 2022-08-13 0433 OH2KW         599 0092 VE3BR         599 0043
QSO: 14022 CW 2022-08-13 0434 OH2KW         599 193 NE6NE         599 008
QSO: 14022 CW 2022-08-13 0434 OH2KW         599 0093 VK2GR         599 0007
QSO: 14023 CW 2022-08-13 0437 OH2KW         599 0097 N4FCG         599 0158
QSO: 14022 CW 2022-08-13 0438 OH2KW         599 100 NA8V          599 250
QSO: 14023 CW 2022-08-13 0631 OH2KW         599 0102 P3X           599 0483
QSO: 14025 CW 2022-08-13 0632 OH2KW         599 0101 4Z5AF         599 0013
QSO: 14023 CW 2022-08-13 0633 OH2KW         599 0103 RQ9O          599 0038
QSO: 14000 CW 2022-08-13 0638 OH2KW         599 105 UN7LDR        599 041
QSO: 14032 CW 2022-08-13 0640 OH2KW         599 0106 RO9A          599 0138
QSO: 14030 CW 2022-08-13 0641 OH2KW         599 0108 UN4L          599 0167
QSO: 14036 CW 2022-08-13 0641 OH2KW         599 0107 UN0LM         599 0180
QSO: 14019 CW 2022-08-13 0642 OH2KW         599 0110 RZ9L          599 0228
QSO: 14026 CW 2022-08-13 0642 OH2KW         599 109 UN9L          599 307
QSO: 14005 CW 2022-08-13 0646 OH2KW         599 111 CR3DX         599 426
QSO: 14004 CW 2022-08-13 0647 OH2KW         599 112 K1LZ          599 434
QSO: 14006 CW 2022-08-13 0648 OH2KW         599 0113 N4SS          599 0225
QSO: 14011 CW 2022-08-13 0648 OH2KW         599 0114 KP2M          599 0491
QSO: 14013 CW 2022-08-13 0649 OH2KW         599 0115 K8LX          599 0323
QSO: 14030 CW 2022-08-13 0653 OH2KW         599 116 VJ3A          599 136
QSO: 14038 CW 2022-08-13 0654 OH2KW         599 0117 5B4APL        599 0056
QSO: 14021 CW 2022-08-13 0656 OH2KW         599 118 R8LA          599 070
QSO: 14027 CW 2022-08-13 0656 OH2KW         599 119 RC9J          599 131
QSO: 14029 CW 2022-08-13 0657 OH2KW         599 0120 N3AM          599 0097
QSO: 14001 CW 2022-08-13 0659 OH2KW         599 0121 ZM1A          599 0198
QSO: 14007 CW 2022-08-13 0734 OH2KW         599 123 CT9ABV        599 551
QSO: 14024 CW 2022-08-13 0737 OH2KW         599 0125 RA9AP         599 0165
QSO: 14036 CW 2022-08-13 0738 OH2KW         599 0126 KH6AQ         599 0055
QSO: 14008 CW 2022-08-13 0742 OH2KW         599 0127 TC3N          599 0202
QSO: 21017 CW 2022-08-13 0746 OH2KW         599 0128 A60A          599 0460
QSO: 21032 CW 2022-08-13 0748 OH2KW         599 0129 E2WRTC        599 0077
QSO: 21008 CW 2022-08-13 0752 OH2KW         599 130 CR3DX         599 572
QSO: 21010 CW 2022-08-13 0757 OH2KW         599 131 RK8I          599 128
QSO: 14025 CW 2022-08-13 0808 OH2KW         599 0133 EG8HKT        599 0069
QSO: 21032 CW 2022-08-13 0844 OH2KW         599 0134 RO9A          599 0248
QSO: 21047 CW 2022-08-13 0844 OH2KW         599 0135 JH4UTP        599 0112
QSO: 21048 CW 2022-08-13 0850 OH2KW         599 0136 VR2CO         599 0050
