START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: WAE CW
CALLSIGN: N6NT
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: N6NT
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for WAE CW WAE/CW/2023.
QSO: 21000 CW 2023-08-12 1356 N6NT          599 DL1VDL        599 180
QSO: 21020 CW 2023-08-12 1400 N6NT          599 0002 OM2VL         599 0363
QSO: 21019 CW 2023-08-12 1401 N6NT          599 003 DK9PY         599 443
QSO: 21041 CW 2023-08-12 1402 N6NT          599 004 DL5YM         599 0338
QSO: 21018 CW 2023-08-12 1414 N6NT          599 0006 SM6F          599 0253
QSO: 21000 CW 2023-08-12 1416 N6NT          599 007 DL1BUG        599 330
QSO: 21001 CW 2023-08-12 1431 N6NT          599 010 OM3GI         599 544
QSO: 21009 CW 2023-08-12 1434 N6NT          599 011 DJ9AO         599 0205
QSO: 21018 CW 2023-08-12 1438 N6NT          599 0012 ER3R          599 0437
QSO: 21030 CW 2023-08-12 1444 N6NT          599 0015 OG3B          599 0139
QSO: 21030 CW 2023-08-12 1445 N6NT          599 0016 DL7JV         599 0241
QSO: 21039 CW 2023-08-12 1449 N6NT          599 018 DL5AXX        599 528
QSO: 14037 CW 2023-08-12 2025 N6NT          599 0019 YL9T          599 0085
QSO: 14033 CW 2023-08-12 2027 N6NT          599 020 PA2A          599 0387
QSO: 14029 CW 2023-08-12 2029 N6NT          599 021 E74A          599 397
QSO: 21037 CW 2023-08-13 1514 N6NT          599 0023 DL6KVA        599 0451
QSO: 21036 CW 2023-08-13 1515 N6NT          599 024 DD2D          599 1008
QSO: 21024 CW 2023-08-13 1522 N6NT          599 027 EI5KF         599 809
QSO: 21019 CW 2023-08-13 1525 N6NT          599 028 IR2Q          599 1032
QSO: 21023 CW 2023-08-13 1535 N6NT          599 030 TM7A          599 1419
END-OF-LOG:
