START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: WAE RTTY
CALLSIGN: AJ4A
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: AJ4A
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for WAE RTTY WAE/RTTY/2021.
QSO:  7039 RY 2021-11-13 0134 AJ4A          599 W7RN          599 125
QSO:  7044 RY 2021-11-13 0140 AJ4A          599 0002 N6AR          599 0107
QSO:  7062 RY 2021-11-13 0141 AJ4A          599 0003 K6VHF         599 0052
QSO:  7039 RY 2021-11-13 0142 AJ4A          599 0004 CO2CW         599 0018
QSO:  7063 RY 2021-11-13 0148 AJ4A          599 0005 CO8BYT        599 0008
QSO:  7051 RY 2021-11-13 0154 AJ4A          599 0007 OM5M          599 0101
QSO:  7048 RY 2021-11-13 0155 AJ4A          599 008 DM6DX         599 0088
QSO:  7047 RY 2021-11-13 0159 AJ4A          599 0009 CT7AJL        599 0076
QSO:  7043 RY 2021-11-13 0201 AJ4A          599 0010 WQ5OO         599 0279
QSO:  7044 RY 2021-11-13 0203 AJ4A          599 0011 EA4BAS        599 0051
QSO:  7064 RY 2021-11-13 0205 AJ4A          599 0012 EA5HYJ        599 0036
QSO:  7053 RY 2021-11-13 0214 AJ4A          599 0013 S53X          599 0160
QSO:  7054 RY 2021-11-13 0216 AJ4A          599 0014 S51A          599 0147
QSO:  7048 RY 2021-11-13 0240 AJ4A          599 0016 YU5R          599 0087
QSO:  7059 RY 2021-11-13 0414 AJ4A          599 17 KH6ZM         599 120
QSO:  7060 RY 2021-11-13 0415 AJ4A          599 0018 DQ2C          599 0185
QSO:  7063 RY 2021-11-13 0433 AJ4A          599 0019 TI2YO         599 0070
QSO:  7056 RY 2021-11-13 0436 AJ4A          599 20 W8LYJ         599 026
QSO:  7059 RY 2021-11-13 0500 AJ4A          599 21 HC7AE/1       599 039
QSO:  7046 RY 2021-11-13 0503 AJ4A          599 0022 IK0FMB        599 0057
QSO:  7049 RY 2021-11-13 0526 AJ4A          599 0024 IK1PMR        599 0026
QSO:  7047 RY 2021-11-13 0527 AJ4A          599 0025 DR5Z          599 0163
QSO:  3582 RY 2021-11-13 0531 AJ4A          599 0027 NN5O          599 0089
QSO:  3584 RY 2021-11-13 0532 AJ4A          599 28 W7RN          599 331
QSO:  3578 RY 2021-11-13 0533 AJ4A          599 0029 K0ZR          599 0197
QSO:  3577 RY 2021-11-13 0534 AJ4A          599 0030 AB8M          599 0115
QSO: 21090 RY 2021-11-14 2026 AJ4A          599 0033 PU1JSV        599 0314
QSO: 21090 RY 2021-11-14 2116 AJ4A          599 0031 PY1FI         599 0305
QSO: 21098 RY 2021-11-14 2123 AJ4A          599 0032 PY2ZR         599 0123
QSO: 14096 RY 2021-11-14 2139 AJ4A          599 0034 CX7SS         599 0678
QSO: 14100 RY 2021-11-14 2146 AJ4A          599 35 PV8AAS        599 093
QSO: 14080 RY 2021-11-14 2147 AJ4A          599 0036 CO2CW         599 0247
QSO: 14101 RY 2021-11-14 2155 AJ4A          599 37 JA7IC         599 217
QSO: 14102 RY 2021-11-14 2200 AJ4A          599 0038 KG7VIZ        599 0123
QSO: 14107 RY 2021-11-14 2201 AJ4A          599 0039 AI9T          599 0308
QSO: 14090 RY 2021-11-14 2212 AJ4A          599 41 4A5E          599 184
QSO: 14093 RY 2021-11-14 2216 AJ4A          599 0043 CX7SS         599 0689
QSO: 14096 RY 2021-11-14 2219 AJ4A          599 0043 PY2QT         599 0374
QSO: 14102 RY 2021-11-14 2223 AJ4A          599 0044 JH4UYB        599 0636
END-OF-LOG:
