START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: WW_PMC
CALLSIGN: K1RM
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: K1RM
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for WW_PMC WW_PMC/2022.
QSO: 21000 CW 2022-01-01 1325 K1RM          599 5 R5QQ          599 16
QSO: 21000 CW 2022-01-01 1326 K1RM          599 5 EA3FZT        599 BCA
QSO: 21000 CW 2022-01-01 1326 K1RM          599 5 OK1OA         599 PRA
QSO: 21000 CW 2022-01-01 1326 K1RM          599 5 OM4MW         599 15
QSO: 21000 CW 2022-01-01 1328 K1RM          599 5 IV3SKB        599 15
QSO: 21000 CW 2022-01-01 1330 K1RM          599 5 DL1DTL        599 14
QSO: 21000 CW 2022-01-01 1331 K1RM          599 5 OK2MBP        599 15
QSO: 21000 CW 2022-01-01 1333 K1RM          599 5 E71W          599 SAR
QSO: 21000 CW 2022-01-01 1333 K1RM          599 5 S59AA         599 LJA
QSO: 21000 CW 2022-01-01 1334 K1RM          599 5 S52WD         599 15
QSO: 21000 CW 2022-01-01 1334 K1RM          599 5 YL7X          599 15
QSO: 21000 CW 2022-01-01 1335 K1RM          599 5 I2WIJ         599 MIL
QSO: 21000 CW 2022-01-01 1337 K1RM          599 5 HA5CRT        599 15
QSO: 21000 CW 2022-01-01 1338 K1RM          599 5 MW0SAW        599 14
QSO: 21000 CW 2022-01-01 1339 K1RM          599 5 HA8QZ         599 15
QSO: 21000 CW 2022-01-01 1339 K1RM          599 5 OY1CT         599 14
QSO: 21000 CW 2022-01-01 1341 K1RM          599 5 S54X          599 SLG
QSO: 21000 CW 2022-01-01 1344 K1RM          599 5 YL2CV         599 15
QSO: 21000 CW 2022-01-01 1345 K1RM          599 5 DJ2AX         599 14
QSO: 21000 CW 2022-01-01 1346 K1RM          599 5 HG7J          599 15
QSO: 21000 CW 2022-01-01 1346 K1RM          599 5 SQ6JNX        599 WRO
QSO: 21000 CW 2022-01-01 1347 K1RM          599 5 4X1ST         599 20
QSO: 21000 CW 2022-01-01 1347 K1RM          599 5 SE0B          599 14
QSO: 21000 CW 2022-01-01 1349 K1RM          599 5 YO3GCL        599 20
QSO: 21000 CW 2022-01-01 1352 K1RM          599 5 SM5CSS        599 14
END-OF-LOG:
