START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: YOTA-CONTEST
CALLSIGN: 9A3J
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: 9A3J
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for YOTA-CONTEST YOTA_Contest/2025/Round_1.
QSO: 14200 PH 2025-03-09 1507 9A3J          59 DC6QL         59 62
QSO: 14221 PH 2025-03-09 1554 9A3J          59 50 SM5X          59 65
QSO: 14211 PH 2025-03-09 1555 9A3J          59 50 PE1AVG        59 69
QSO: 14000 PH 2025-03-09 1558 9A3J          59 50 DF5GV         59 68
QSO: 14210 PH 2025-03-09 1558 9A3J          59 50 PE2K          59 61
QSO: 14000 PH 2025-03-09 1600 9A3J          59 50 PA3GVQ        59 54
QSO: 14200 PH 2025-03-09 1602 9A3J          59 50 YO2ABO        59 48
QSO: 14000 PH 2025-03-09 1603 9A3J          59 50 RW3AI         59 72
QSO: 14210 PH 2025-03-09 1603 9A3J          59 50 GU0UVH        59 78
QSO: 14211 PH 2025-03-09 1604 9A3J          59 50 SM5ACQ        59 81
QSO: 14210 PH 2025-03-09 1605 9A3J          59 50 EI0YOTA       59 18
QSO: 14000 PH 2025-03-09 1606 9A3J          59 50 DG6KBG        59 61
QSO: 14211 PH 2025-03-09 1606 9A3J          59 50 9A5Y          59 17
QSO: 14211 PH 2025-03-09 1607 9A3J          59 50 F4DXP         59 73
QSO: 14210 PH 2025-03-09 1608 9A3J          59 50 9A3LED        59 18
QSO: 14200 PH 2025-03-09 1609 9A3J          59 50 F4JTH         59 60
QSO: 14211 PH 2025-03-09 1609 9A3J          59 50 PE1FTV        59 69
QSO: 14250 PH 2025-03-09 1612 9A3J          59 50 SV2TCB        59 16
QSO: 14296 PH 2025-03-09 1612 9A3J          59 50 HA1TMP        59 20
QSO: 14203 PH 2025-03-09 1613 9A3J          59 50 OE8DDX        59 16
QSO: 14010 CW 2025-03-09 1614 9A3J          599 50 RG5A          599 68
QSO: 14016 CW 2025-03-09 1614 9A3J          599 50 HG5D          599 68
QSO: 14280 PH 2025-03-09 1615 9A3J          59 50 S52WW         59 42
QSO: 14215 PH 2025-03-09 1616 9A3J          59 50 HA3MAR        59 15
QSO: 14218 PH 2025-03-09 1616 9A3J          59 50 SN1T          59 69
QSO: 14034 CW 2025-03-09 1617 9A3J          599 50 HA7MF         599 73
QSO: 14013 CW 2025-03-09 1618 9A3J          599 50 LZ4R          599 64
QSO: 14024 CW 2025-03-09 1618 9A3J          599 50 IK0YVV        599 51
QSO: 14000 PH 2025-03-09 1619 9A3J          59 50 IV3KKW        59 49
QSO: 14224 PH 2025-03-09 1619 9A3J          59 50 TM1A          59 24
QSO: 14238 PH 2025-03-09 1619 9A3J          59 50 K2SSS         59 54
QSO: 14019 CW 2025-03-09 1620 9A3J          599 50 S51YOTA       599 25
QSO: 14200 PH 2025-03-09 1620 9A3J          59 50 US2YAA        59 23
QSO: 14000 PH 2025-03-09 1621 9A3J          59 50 DL1EBN        59 68
QSO: 14277 PH 2025-03-09 1622 9A3J          59 50 OM4AIM        59 18
QSO: 14243 PH 2025-03-09 1624 9A3J          59 50 E7Y           59 20
QSO:     0 PH 2025-03-09 1625 9A3J          59 50 PE1BBT        59 66
QSO: 14211 PH 2025-03-09 1628 9A3J          59 50 ON2ZX         59 62
QSO: 14000 PH 2025-03-09 1629 9A3J          59 50 F5MLJ         59 57
QSO: 14210 PH 2025-03-09 1630 9A3J          59 50 DF0WB         59 31
QSO: 14210 PH 2025-03-09 1632 9A3J          59 50 UA4FDK        59 71
QSO: 14211 PH 2025-03-09 1632 9A3J          59 50 PD0YL         59 61
QSO: 14210 PH 2025-03-09 1636 9A3J          59 50 HA5BEN        59 11
QSO: 14211 PH 2025-03-09 1637 9A3J          59 50 2E0LMI        59 52
QSO: 14211 PH 2025-03-09 1640 9A3J          59 50 2E0HEV        59 50
QSO: 14211 PH 2025-03-09 1641 9A3J          59 50 9A1DR         59 61
QSO: 14211 PH 2025-03-09 1642 9A3J          59 50 S58W          59 18
QSO: 14210 PH 2025-03-09 1643 9A3J          59 50 RG5A          59 68
QSO: 14211 PH 2025-03-09 1645 9A3J          59 50 F4ADZ         59 75
QSO: 14000 PH 2025-03-09 1646 9A3J          59 50 DL4YAY        59 66
QSO: 14211 PH 2025-03-09 1647 9A3J          59 50 OT1X          59 57
QSO: 14211 PH 2025-03-09 1648 9A3J          59 50 DH8GHH        59 42
QSO: 14211 PH 2025-03-09 1650 9A3J          59 50 PB7TT         59 56
QSO: 14211 PH 2025-03-09 1651 9A3J          59 50 S56A          59 79
QSO: 14211 PH 2025-03-09 1652 9A3J          59 50 EI8KW         59 15
QSO:  7110 PH 2025-03-09 1657 9A3J          59 50 9A1A          59 19
QSO:  7152 PH 2025-03-09 1657 9A3J          59 50 E77EA         59 53
QSO:  7089 PH 2025-03-09 1658 9A3J          59 50 US2YAA        59 23
QSO:  7108 PH 2025-03-09 1658 9A3J          59 50 HA4NI         59 10
QSO:  7144 PH 2025-03-09 1659 9A3J          59 50 S52WW         59 42
QSO:  7158 PH 2025-03-09 1659 9A3J          59 50 OE3JOO        59 18
QSO:  7172 PH 2025-03-09 1659 9A3J          59 50 S56V          59 18
QSO:  7100 PH 2025-03-09 1700 9A3J          59 50 S51YOTA       59 25
QSO:  7124 PH 2025-03-09 1700 9A3J          59 50 TM1A          59 24
QSO:  7137 PH 2025-03-09 1700 9A3J          59 50 9A3LED        59 18
END-OF-LOG:
