START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: YURI-GAGARIN-DX
CALLSIGN: S59SV
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: S59SV
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for YURI-GAGARIN-DX YuriGagarinDXContest/2026.
QSO: 14215 PH 2026-04-11 1259 S59SV         59 27 RT2C          59 CU
QSO: 14204 PH 2026-04-11 1301 S59SV         59 28 RW1A          59 PR
QSO: 14187 PH 2026-04-11 1303 S59SV         59 28 RT3F          59 CP
QSO: 14193 PH 2026-04-11 1304 S59SV         59 28 RW0A          59 SA
QSO: 14196 PH 2026-04-11 1313 S59SV         59 28 RT4F          59 FI
QSO: 14140 PH 2026-04-11 1315 S59SV         59 28 R6BT          59 29
QSO: 14185 PH 2026-04-11 1320 S59SV         59 28 UA1OLM        59 KP
QSO: 14121 PH 2026-04-11 1354 S59SV         59 28 RN4K          59 PG
QSO: 14148 PH 2026-04-11 1356 S59SV         59 28 RT1S          59 29
QSO: 14172 PH 2026-04-11 1402 S59SV         59 28 R4FCJ         59 29
QSO: 14179 PH 2026-04-11 1403 S59SV         59 28 RC6U          59 29
QSO: 14200 PH 2026-04-11 1405 S59SV         59 28 U4MIR         59 CV
QSO: 14215 PH 2026-04-11 1406 S59SV         59 28 RD1T          59 RA
QSO: 14135 PH 2026-04-11 1409 S59SV         59 28 R8TT          59 AU
QSO: 14145 PH 2026-04-11 1412 S59SV         59 28 RC5Z          59 29
QSO: 14180 PH 2026-04-11 1412 S59SV         59 28 R4BD          59 29
QSO: 14134 CW 2026-04-11 1414 S59SV         599 28 RA3Y          599 29
QSO: 14226 PH 2026-04-11 1419 S59SV         59 28 RF9C          59 AM
QSO: 14142 PH 2026-04-11 1438 S59SV         59 28 RK5K          59 HA
QSO: 14165 PH 2026-04-11 1440 S59SV         59 28 UA5L          59 YG
QSO: 14202 PH 2026-04-11 1441 S59SV         59 28 RG2X          59 RK
QSO: 14151 PH 2026-04-11 1444 S59SV         59 28 UA8A          59 MK
QSO: 14188 PH 2026-04-11 1447 S59SV         59 28 R8IZ          59 PL
QSO: 14147 PH 2026-04-11 1457 S59SV         59 28 UF5A          59 29
QSO: 14159 PH 2026-04-11 1458 S59SV         59 28 R7AW          59 29
QSO: 14190 PH 2026-04-11 1516 S59SV         59 28 R5AV          59 29
QSO: 14197 PH 2026-04-11 1522 S59SV         59 28 UA7K          59 29
QSO: 14220 PH 2026-04-11 1526 S59SV         59 28 RA3OA         59 29
QSO: 14178 PH 2026-04-12 0525 S59SV         59 28 R9TV          59 30
QSO: 14116 PH 2026-04-12 0528 S59SV         59 28 UA9W          59 SZ
QSO: 14154 PH 2026-04-12 0532 S59SV         59 28 RA8CP         59 30
QSO: 14159 PH 2026-04-12 0533 S59SV         59 28 RA9SDT        59 30
QSO: 14202 PH 2026-04-12 0535 S59SV         59 28 RA9V          59 31
QSO: 14181 PH 2026-04-12 0540 S59SV         59 28 RO3M          59 YR
QSO: 21232 PH 2026-04-12 0541 S59SV         59 28 RW0A          59 SA
QSO: 21216 PH 2026-04-12 0542 S59SV         59 28 RF9C          59 AM
QSO: 21170 PH 2026-04-12 0543 S59SV         59 28 RK0S          59 32
QSO: 21203 PH 2026-04-12 0544 S59SV         59 28 R8IZ          59 PL
QSO: 21220 PH 2026-04-12 0545 S59SV         59 28 UA8A          59 MK
QSO: 21202 PH 2026-04-12 0609 S59SV         59 28 UA9UR         59 31
QSO: 14000 PH 2026-04-12 0615 S59SV         59 28 RA3DSV        59 29
QSO: 14179 PH 2026-04-12 0616 S59SV         59 28 RU9CC         59 30
QSO: 21202 PH 2026-04-12 0812 S59SV         59 28 UA9UR         59 31
QSO: 14178 PH 2026-04-12 0815 S59SV         59 28 RW1F          59 29
QSO: 14134 PH 2026-04-12 0828 S59SV         59 28 RZ9WU         59 30
QSO: 14148 PH 2026-04-12 0830 S59SV         59 28 R2ZU          59 29
QSO: 21164 PH 2026-04-12 0832 S59SV         59 28 RA9V          59 31
QSO: 21183 PH 2026-04-12 0834 S59SV         59 28 RM4HZ         59 30
QSO: 21192 PH 2026-04-12 0835 S59SV         59 28 RA8CP         59 30
QSO: 21197 PH 2026-04-12 0836 S59SV         59 28 UA9AX         59 30
QSO: 14163 PH 2026-04-12 0905 S59SV         59 28 RZ9L          59 30
QSO: 14150 PH 2026-04-12 0906 S59SV         59 28 RK3E          59 29
QSO: 14142 PH 2026-04-12 0909 S59SV         59 28 RL3QI         59 29
QSO: 14181 PH 2026-04-12 0912 S59SV         59 28 UA3BL         59 29
QSO: 14148 PH 2026-04-12 0914 S59SV         59 28 R4RB          59 30
QSO: 14216 PH 2026-04-12 1126 S59SV         59 28 R2FK          59 29
QSO: 14207 PH 2026-04-12 1129 S59SV         59 28 RL9M          59 30
QSO: 14195 PH 2026-04-12 1157 S59SV         59 28 R3RZ          59 29
END-OF-LOG:
